date,open,high,low,close,volume
1999-03-10,51.125,51.156,50.281,43.074,5232000
1999-03-11,51.438,51.734,50.312,43.285,9688600
1999-03-12,51.125,51.156,49.656,42.231,8743600
1999-03-15,50.438,51.562,49.906,43.443,6369000
1999-03-16,51.719,52.156,51.156,43.812,4905800
1999-03-17,51.938,52.000,51.406,43.496,3965000
1999-03-18,51.500,52.594,51.484,44.340,4848400
1999-03-19,53.250,53.250,51.188,43.206,7160400
1999-03-22,51.438,51.562,50.500,42.679,5024800
1999-03-23,50.312,50.500,48.719,41.176,10962400
1999-03-24,49.250,50.500,48.500,42.573,8447000
1999-03-25,51.250,52.312,50.914,44.129,8133800
1999-03-26,51.875,52.469,51.531,43.654,8256200
1999-03-29,52.375,53.656,52.062,45.236,5113800
1999-03-30,53.562,54.000,53.031,44.920,4940600
1999-03-31,54.125,54.188,52.312,44.261,8256600
1999-04-01,54.000,54.062,52.688,45.183,8715800
1999-04-05,54.430,55.578,54.094,46.818,5697200
1999-04-06,55.438,56.219,54.969,46.910,7522400
1999-04-07,56.125,56.250,53.844,46.422,11923600
1999-04-08,54.938,55.734,53.812,46.791,7952400
1999-04-09,55.375,55.938,55.219,47.081,4946800
1999-04-12,54.500,55.812,54.438,46.765,10934000
1999-04-13,55.781,55.906,54.250,46.132,9962200
1999-04-14,55.375,55.438,52.508,44.551,21253800
1999-04-15,53.000,53.617,51.125,45.157,17650600
1999-04-16,53.406,53.406,51.688,43.839,17274000
1999-04-19,52.312,52.750,49.008,41.783,19460600
1999-04-20,49.312,51.062,48.844,42.732,17413600
1999-04-21,51.125,53.188,50.438,44.841,10940400
1999-04-22,53.656,54.750,53.305,46.053,13630600
1999-04-23,54.312,55.719,53.750,46.659,7064400
1999-04-26,55.688,57.000,55.508,47.734,5421000
1999-04-27,57.000,57.281,55.008,47.002,16482800
1999-04-28,55.250,55.438,53.570,45.394,7676800
1999-04-29,53.562,53.875,52.250,45.025,19148200
1999-04-30,54.125,54.406,51.812,45.315,15295200
1999-05-03,53.562,53.781,52.539,45.078,11109800
1999-05-04,53.531,54.375,52.281,44.366,15428400
1999-05-05,52.625,54.188,51.031,45.710,12642600
1999-05-06,53.688,54.156,51.719,44.050,15173400
1999-05-07,52.688,53.125,51.562,44.682,16430400
1999-05-10,53.312,53.859,52.688,45.131,10604200
1999-05-11,53.938,54.625,53.625,45.842,8800800
1999-05-12,54.594,55.656,53.000,46.791,12507400
1999-05-13,55.906,56.000,54.188,45.921,9864000
1999-05-14,53.375,54.000,53.000,45.051,12205400
1999-05-17,52.938,54.531,52.414,45.862,9906800
1999-05-18,54.312,54.625,53.500,45.658,9267800
1999-05-19,54.344,54.906,53.500,46.290,7985600
1999-05-20,54.992,54.992,53.281,45.018,5997200
1999-05-21,53.531,53.688,52.594,44.603,10958600
1999-05-24,52.969,53.062,51.188,43.470,9569800
1999-05-25,51.469,52.219,49.625,42.046,17771200
1999-05-26,50.500,51.438,48.938,43.219,26772000
1999-05-27,51.031,51.930,50.375,43.180,23334800
1999-05-28,51.500,52.312,50.844,43.892,12969800
1999-06-01,51.938,52.188,50.594,42.916,6960200
1999-06-02,50.844,52.000,49.570,43.641,11996600
1999-06-03,52.125,52.125,50.688,43.022,11147800
1999-06-04,51.375,52.742,51.375,44.340,12987200
1999-06-07,52.930,53.992,52.812,45.262,11491800
1999-06-08,53.781,54.031,52.039,44.129,8134800
1999-06-09,52.500,53.336,52.469,44.867,8384400
1999-06-10,52.625,52.938,51.945,44.353,9392400
1999-06-11,52.938,52.992,51.312,43.681,16567600
1999-06-14,51.969,51.969,50.688,42.857,14136800
1999-06-15,50.930,51.867,50.781,43.496,9147800
1999-06-16,52.844,54.211,52.781,45.730,15060200
1999-06-17,53.500,55.062,53.500,46.238,16278200
1999-06-18,54.312,55.219,54.219,46.449,5392800
1999-06-21,55.438,56.742,55.344,47.839,10565200
1999-06-22,56.375,57.094,55.000,46.396,10862800
1999-06-23,55.008,56.000,54.656,47.127,9607000
1999-06-24,55.844,55.875,54.500,46.192,14988800
1999-06-25,55.125,55.562,54.188,46.132,8635600
1999-06-28,55.156,56.062,54.703,47.226,7666200
1999-06-29,55.938,56.969,55.656,47.872,9000400
1999-06-30,56.805,59.938,56.133,48.610,19467600
1999-07-01,57.812,58.344,56.812,48.940,6822600
1999-07-02,58.000,58.812,58.000,49.559,3302000
1999-07-06,59.062,59.656,58.062,49.243,8794800
1999-07-07,58.344,58.719,57.938,49.322,10520000
1999-07-08,58.469,59.492,58.188,49.981,11225000
1999-07-09,59.469,59.906,59.031,50.482,4206800
1999-07-12,60.062,60.375,59.188,50.218,7816200
1999-07-13,59.250,59.469,58.781,49.981,6230000
1999-07-14,59.844,60.375,59.000,50.831,6909400
1999-07-15,60.469,60.812,60.133,51.299,6539800
1999-07-16,60.844,61.719,60.820,51.774,4913800
1999-07-19,61.625,61.625,60.508,51.246,6833000
1999-07-20,60.008,60.094,58.250,49.269,14837400
1999-07-21,58.531,59.195,58.062,49.507,10980400
1999-07-22,58.688,58.688,57.031,48.248,15148400
1999-07-23,57.625,57.867,56.688,48.320,12115000
1999-07-26,56.500,57.125,55.781,47.134,10720000
1999-07-27,57.000,57.875,56.516,48.083,13732800
1999-07-28,57.688,58.438,56.945,49.025,10161800
1999-07-29,57.031,57.500,56.312,47.978,13033800
1999-07-30,57.125,57.750,56.508,47.740,10947400
1999-08-02,56.688,57.812,56.219,47.608,9642400
1999-08-03,57.211,57.219,55.250,47.299,13005000
1999-08-04,56.070,56.492,55.008,46.442,13227600
1999-08-05,55.062,55.930,53.750,47.180,18695200
1999-08-06,55.531,56.562,54.938,46.673,12392200
1999-08-09,55.531,55.688,54.508,46.073,7983400
1999-08-10,54.469,54.867,52.938,45.658,16767200
1999-08-11,55.094,56.000,54.266,47.160,13101400
1999-08-12,56.125,56.500,55.125,46.607,12715000
1999-08-13,56.406,57.719,56.312,48.637,14342600
