date,open,high,low,close,volume
2000-08-30,4.650,4.815,4.630,4.805,34954
2000-08-31,4.820,4.870,4.740,4.780,25787
2000-09-01,4.750,4.860,4.750,4.835,113
2000-09-05,4.850,4.975,4.840,4.960,26096
2000-09-06,4.990,5.110,4.960,5.065,32764
2000-09-07,4.960,5.040,4.890,4.998,38100
2000-09-08,4.910,4.925,4.840,4.880,33310
2000-09-11,4.910,5.100,4.900,5.015,40097
2000-09-12,5.065,5.065,4.950,5.005,36076
2000-09-13,5.080,5.175,4.900,5.055,47053
2000-09-14,5.100,5.223,5.080,5.195,35201
2000-09-15,5.280,5.340,5.170,5.205,36629
2000-09-18,5.110,5.310,5.080,5.295,36605
2000-09-19,5.270,5.385,5.220,5.370,39144
2000-09-20,5.340,5.380,5.250,5.320,36654
2000-09-21,5.270,5.330,5.210,5.287,31859
2000-09-22,5.230,5.320,5.100,5.131,45414
2000-09-25,5.100,5.305,5.090,5.276,44157
2000-09-26,5.230,5.445,5.230,5.360,67957
2000-09-27,5.300,5.425,5.280,5.330,26906
2000-09-28,5.390,5.400,5.100,5.140,43663
2000-09-29,5.280,5.290,5.130,5.200,28723
2000-10-02,5.300,5.370,5.255,5.352,28278
2000-10-03,5.350,5.380,5.290,5.348,25577
2000-10-04,5.280,5.300,5.130,5.290,34750
2000-10-05,5.300,5.320,5.045,5.152,47400
2000-10-06,5.110,5.120,4.980,5.000,33821
2000-10-09,5.070,5.165,5.015,5.150,24637
2000-10-10,5.130,5.165,5.100,5.134,23193
2000-10-11,5.180,5.585,5.165,5.585,52190
2000-10-12,5.520,5.840,5.510,5.625,39905
2000-10-13,5.570,5.590,5.490,5.535,0
2000-10-16,5.550,5.550,5.350,5.355,25927
2000-10-17,5.350,5.460,5.335,5.460,31515
2000-10-18,5.480,5.500,5.200,5.210,37825
2000-10-19,5.140,5.180,4.910,4.960,54408
2000-10-20,4.980,5.000,4.860,4.937,27863
2000-10-23,4.940,5.120,4.855,5.072,33460
2000-10-24,5.095,5.095,4.770,4.820,39130
2000-10-25,4.770,4.825,4.600,4.650,37428
2000-10-26,4.705,4.735,4.640,4.655,43040
2000-10-27,4.700,4.700,4.500,4.530,28706
2000-10-30,4.610,4.760,4.460,4.480,48646
2000-10-31,4.530,4.580,4.380,4.500,41474
2000-11-01,4.610,4.750,4.510,4.686,46311
2000-11-02,4.670,4.850,4.640,4.760,39520
2000-11-03,4.780,4.975,4.780,4.910,34096
2000-11-06,4.950,4.970,4.800,4.849,30905
2000-11-07,5.010,5.100,4.980,5.080,36844
2000-11-08,5.170,5.440,5.160,5.340,52606
2000-11-09,5.500,5.550,5.400,5.445,45285
2000-11-10,5.390,5.525,5.380,5.460,36278
2000-11-13,5.650,5.740,5.610,5.690,40117
2000-11-14,5.860,6.030,5.800,6.020,51820
2000-11-15,6.070,6.320,5.915,6.240,56113
2000-11-16,6.070,6.120,5.780,5.790,57983
2000-11-17,5.690,6.140,5.620,6.120,54986
2000-11-20,6.250,6.360,6.210,6.240,36286
2000-11-21,6.280,6.520,6.280,6.410,0
2000-11-22,6.340,6.620,6.300,6.577,31692
2000-11-27,6.410,6.580,6.340,6.380,49815
2000-11-28,6.120,6.120,5.900,6.070,31254
2000-11-29,6.240,6.560,6.130,6.180,41391
2000-11-30,6.560,6.750,6.490,6.580,42208
2000-12-01,6.800,6.821,6.570,6.675,37180
2000-12-04,7.240,8.000,7.200,7.450,36594
2000-12-05,7.660,7.950,7.280,7.410,35278
2000-12-06,8.800,8.800,8.000,8.450,27613
2000-12-07,8.950,9.000,8.100,8.400,22797
2000-12-08,8.250,8.700,7.905,8.585,20167
2000-12-11,9.600,9.650,9.200,9.420,17827
2000-12-12,8.900,8.950,8.000,8.200,22760
2000-12-13,7.820,8.350,7.450,7.600,26358
2000-12-14,7.540,7.850,7.300,7.413,18893
2000-12-15,7.850,8.560,7.750,8.400,19198
2000-12-18,9.200,9.200,8.370,8.527,18872
2000-12-19,8.850,9.150,8.780,9.102,14489
2000-12-20,9.450,9.750,9.250,9.360,21300
2000-12-21,9.850,9.950,9.650,9.850,17374
2000-12-22,9.800,9.860,9.400,9.579,13551
2000-12-26,10.000,10.000,9.500,9.800,21977
2000-12-27,9.700,10.200,9.400,10.040,14648
2000-12-28,8.850,9.450,8.800,9.263,10329
2000-12-29,9.420,9.930,9.400,9.775,7870
2001-01-02,8.650,9.450,8.250,8.364,13754
2001-01-03,8.340,8.700,8.100,8.220,18106
2001-01-04,8.370,9.189,8.350,9.000,20678
2001-01-05,9.100,9.350,8.900,9.250,21118
2001-01-08,9.700,9.890,9.580,9.700,16344
2001-01-09,9.520,9.870,9.430,9.800,18730
2001-01-10,9.600,9.810,9.000,9.180,22694
2001-01-11,8.850,8.900,8.580,8.710,21258
2001-01-12,8.680,8.850,8.200,8.472,20673
2001-01-16,8.120,8.250,7.920,8.103,20122
2001-01-17,7.720,7.900,6.800,6.909,28581
2001-01-18,7.150,7.250,6.830,7.136,18752
2001-01-19,7.500,7.620,7.300,7.480,19158
2001-01-22,7.700,7.770,7.400,7.457,15666
2001-01-23,7.050,7.090,6.900,6.946,21176
2001-01-24,6.880,7.210,6.780,7.120,24393
2001-01-25,7.300,7.400,7.140,7.270,22261
2001-01-26,7.100,7.300,7.010,7.280,33333
2001-01-29,6.800,6.850,6.050,6.620,20373
2001-01-30,6.000,6.230,5.800,6.097,27868
2001-01-31,5.850,6.250,5.650,5.650,29444
2001-02-01,5.870,6.420,5.740,6.400,30314
2001-02-02,6.720,6.970,6.420,6.743,29891
2001-02-05,6.200,6.750,5.650,5.706,24825
2001-02-06,5.700,5.880,5.610,5.764,22045
2001-02-07,5.850,6.260,5.830,6.250,25839
2001-02-08,6.450,6.540,6.050,6.170,28652
2001-02-09,6.240,6.280,6.120,6.210,14151
2001-02-12,5.850,5.860,5.730,5.810,16222
2001-02-13,5.750,6.050,5.645,6.020,24435
2001-02-14,6.010,6.090,5.470,5.510,31601
2001-02-15,5.530,5.610,5.430,5.595,23229
2001-02-16,5.560,5.575,5.540,5.568,19695
2001-02-20,5.350,5.420,5.260,5.270,18588
2001-02-21,5.330,5.360,5.060,5.150,27447
2001-02-22,5.210,5.230,5.110,5.140,21780
2001-02-23,5.150,5.150,5.150,5.150,30535
2001-02-26,5.100,5.190,4.930,5.060,18731
2001-02-27,5.090,5.330,5.070,5.290,27014
2001-02-28,5.330,5.400,5.170,5.245,26912
