date,open,high,low,close,volume
1990-01-02,136.520,136.520,136.520,136.520,0
1990-01-03,138.240,138.240,138.240,138.240,0
1990-01-04,137.040,137.040,137.040,137.040,0
1990-01-05,134.910,134.910,134.910,134.910,0
1990-01-08,134.350,134.350,134.350,134.350,0
1990-01-09,136.370,136.370,136.370,136.370,0
1990-01-10,135.750,135.750,135.750,135.750,0
1990-01-11,135.810,135.810,135.810,135.810,0
1990-01-12,131.850,131.850,131.850,131.850,0
1990-01-15,131.750,131.750,131.750,131.750,0
1990-01-16,129.140,129.140,129.140,129.140,0
1990-01-17,130.130,130.130,130.130,130.130,0
1990-01-18,128.880,128.880,128.880,128.880,0
1990-01-19,129.360,129.360,129.360,129.360,0
1990-01-22,129.050,129.050,129.050,129.050,0
1990-01-23,129.170,129.170,129.170,129.170,0
1990-01-24,125.810,125.810,125.810,125.810,0
1990-01-25,126.920,126.920,126.920,126.920,0
1990-01-26,126.160,126.160,126.160,126.160,0
1990-01-29,126.860,126.860,126.860,126.860,0
1990-01-30,127.970,127.970,127.970,127.970,0
1990-01-31,127.390,127.390,127.390,127.390,0
1990-02-01,128.040,128.040,128.040,128.040,0
1990-02-02,129.270,129.270,129.270,129.270,0
1990-02-05,128.850,128.850,128.850,128.850,0
1990-02-06,126.650,126.650,126.650,126.650,0
1990-02-07,124.500,124.500,124.500,124.500,0
1990-02-08,125.880,125.880,125.880,125.880,0
1990-02-09,124.950,124.950,124.950,124.950,0
1990-02-12,123.220,123.220,123.220,123.220,0
1990-02-13,123.400,123.400,123.400,123.400,0
1990-02-14,123.420,123.420,123.420,123.420,0
1990-02-15,124.290,124.290,124.290,124.290,0
1990-02-16,125.090,125.090,125.090,125.090,0
1990-02-19,123.490,123.490,123.490,123.490,0
1990-02-20,121.440,121.440,121.440,121.440,0
1990-02-21,120.160,120.160,120.160,120.160,0
1990-02-22,121.320,121.320,121.320,121.320,0
1990-02-23,119.130,119.130,119.130,119.130,0
1990-02-26,118.010,118.010,118.010,118.010,0
1990-02-27,120.350,120.350,120.350,120.350,0
1990-02-28,120.470,120.470,120.470,120.470,0
1990-03-01,119.330,119.330,119.330,119.330,0
1990-03-02,120.910,120.910,120.910,120.910,0
1990-03-05,121.010,121.010,121.010,121.010,0
1990-03-06,121.330,121.330,121.330,121.330,0
1990-03-07,123.750,123.750,123.750,123.750,0
1990-03-08,126.030,126.030,126.030,126.030,0
1990-03-09,126.050,126.050,126.050,126.050,0
1990-03-12,126.500,126.500,126.500,126.500,0
1990-03-13,127.670,127.670,127.670,127.670,0
1990-03-14,128.940,128.940,128.940,128.940,0
1990-03-15,129.870,129.870,129.870,129.870,0
1990-03-16,130.980,130.980,130.980,130.980,0
1990-03-19,128.450,128.450,128.450,128.450,0
1990-03-20,129.140,129.140,129.140,129.140,0
1990-03-21,129.550,129.550,129.550,129.550,0
1990-03-22,128.270,128.270,128.270,128.270,0
1990-03-23,129.080,129.080,129.080,129.080,0
1990-03-26,130.650,130.650,130.650,130.650,0
1990-03-27,129.770,129.770,129.770,129.770,0
1990-03-28,130.600,130.600,130.600,130.600,0
1990-03-29,130.870,130.870,130.870,130.870,0
1990-03-30,131.040,131.040,131.040,131.040,0
1990-04-02,128.740,128.740,128.740,128.740,0
1990-04-03,130.440,130.440,130.440,130.440,0
1990-04-04,130.610,130.610,130.610,130.610,0
1990-04-05,131.000,131.000,131.000,131.000,0
1990-04-06,131.560,131.560,131.560,131.560,0
1990-04-09,131.040,131.040,131.040,131.040,0
1990-04-10,129.740,129.740,129.740,129.740,0
1990-04-11,130.270,130.270,130.270,130.270,0
1990-04-12,131.320,131.320,131.320,131.320,0
1990-04-17,132.750,132.750,132.750,132.750,0
1990-04-18,133.620,133.620,133.620,133.620,0
1990-04-19,131.920,131.920,131.920,131.920,0
1990-04-20,131.900,131.900,131.900,131.900,0
1990-04-23,129.430,129.430,129.430,129.430,0
1990-04-24,130.090,130.090,130.090,130.090,0
1990-04-25,129.980,129.980,129.980,129.980,0
1990-04-26,128.950,128.950,128.950,128.950,0
1990-04-27,127.530,127.530,127.530,127.530,0
1990-05-01,127.210,127.210,127.210,127.210,0
1990-05-02,126.780,126.780,126.780,126.780,0
1990-05-03,127.400,127.400,127.400,127.400,0
1990-05-04,127.660,127.660,127.660,127.660,0
1990-05-07,128.260,128.260,128.260,128.260,0
1990-05-08,128.160,128.160,128.160,128.160,0
1990-05-09,127.450,127.450,127.450,127.450,0
1990-05-10,126.550,126.550,126.550,126.550,0
1990-05-11,127.100,127.100,127.100,127.100,0
1990-05-14,128.650,128.650,128.650,128.650,0
1990-05-15,128.520,128.520,128.520,128.520,0
1990-05-16,129.270,129.270,129.270,129.270,0
1990-05-17,130.610,130.610,130.610,130.610,0
1990-05-18,129.730,129.730,129.730,129.730,0
1990-05-21,128.870,128.870,128.870,128.870,0
1990-05-22,130.110,130.110,130.110,130.110,0
1990-05-23,130.090,130.090,130.090,130.090,0
1990-05-25,130.340,130.340,130.340,130.340,0
1990-05-28,130.270,130.270,130.270,130.270,0
1990-05-29,130.940,130.940,130.940,130.940,0
1990-05-30,131.340,131.340,131.340,131.340,0
1990-05-31,131.070,131.070,131.070,131.070,0
1990-06-01,131.810,131.810,131.810,131.810,0
1990-06-05,131.920,131.920,131.920,131.920,0
1990-06-06,131.280,131.280,131.280,131.280,0
1990-06-07,132.000,132.000,132.000,132.000,0
1990-06-08,131.610,131.610,131.610,131.610,0
1990-06-11,130.920,130.920,130.920,130.920,0
1990-06-12,131.280,131.280,131.280,131.280,0
1990-06-13,131.490,131.490,131.490,131.490,0
1990-06-14,131.440,131.440,131.440,131.440,0
1990-06-15,130.690,130.690,130.690,130.690,0
1990-06-18,129.590,129.590,129.590,129.590,0
1990-06-19,130.410,130.410,130.410,130.410,0
1990-06-20,131.110,131.110,131.110,131.110,0
1990-06-21,131.390,131.390,131.390,131.390,0
1990-06-22,132.130,132.130,132.130,132.130,0
1990-06-25,132.250,132.250,132.250,132.250,0
1990-06-26,132.940,132.940,132.940,132.940,0
1990-06-27,132.490,132.490,132.490,132.490,0
1990-06-28,132.790,132.790,132.790,132.790,0
