date,open,high,low,close,volume
2005-02-25,15.380,15.530,15.300,15.428,30477
2005-02-28,15.570,15.570,15.342,15.437,57412
2005-03-01,15.485,15.536,15.404,15.404,57287
2005-03-02,15.380,15.420,15.300,15.359,35281
2005-03-03,15.372,15.469,15.342,15.454,130630
2005-03-04,15.562,15.746,15.536,15.729,32752
2005-03-07,15.737,15.768,15.690,15.737,164015
2005-03-08,15.737,15.784,15.608,15.690,186778
2005-03-09,16.014,16.014,15.585,15.585,25292
2005-03-10,15.649,15.649,15.428,15.530,36671
2005-03-11,15.544,15.594,15.485,15.530,26049
2005-03-14,15.530,15.585,15.404,15.485,265683
2005-03-15,15.501,15.617,15.372,15.446,31235
2005-03-16,15.365,15.454,15.316,15.342,21371
2005-03-17,15.342,15.411,15.228,15.326,42614
2005-03-18,15.359,15.365,15.228,15.228,76507
2005-03-21,15.228,15.309,15.111,15.120,86368
2005-03-22,15.184,15.292,14.859,14.859,59308
2005-03-23,14.811,14.890,14.734,14.740,51720
2005-03-24,14.826,14.905,14.805,14.852,18967
2005-03-28,14.923,14.931,14.826,14.905,16059
2005-03-29,14.826,14.852,14.748,14.834,22760
2005-03-30,14.826,15.103,14.805,15.054,38441
2005-03-31,15.054,15.103,14.859,14.890,24028
2005-04-01,15.017,15.063,14.675,14.685,42361
2005-04-04,14.693,14.811,14.654,14.811,43247
2005-04-05,14.797,14.818,14.748,14.811,10117
2005-04-06,14.923,15.001,14.852,14.970,100784
2005-04-07,15.063,15.169,14.970,14.970,37938
2005-04-08,15.087,15.169,14.961,15.054,46030
2005-04-11,15.042,15.103,15.026,15.079,25292
2005-04-12,14.961,15.245,14.946,15.079,19222
2005-04-13,14.946,14.946,14.797,14.811,27947
2005-04-14,14.905,14.905,14.725,14.755,35662
2005-04-15,14.638,14.734,14.589,14.589,26807
2005-04-18,14.480,14.560,14.480,14.489,31108
2005-04-19,14.551,14.596,14.511,14.596,15430
2005-04-20,14.534,14.534,14.456,14.456,5691
2005-04-21,14.511,14.580,14.511,14.580,3669
2005-04-22,14.629,14.660,14.471,14.471,16184
2005-04-25,14.519,14.646,14.511,14.580,9610
2005-04-26,14.567,14.589,14.429,14.463,12519
2005-04-27,14.354,14.376,14.271,14.304,19602
2005-04-28,14.234,14.234,14.037,14.108,34518
2005-04-29,14.219,14.322,14.195,14.240,19978
2005-05-02,14.188,14.240,14.100,14.131,11761
2005-05-03,14.155,14.280,14.155,14.172,74736
2005-05-04,14.361,14.392,14.248,14.376,56146
2005-05-05,14.551,14.589,14.392,14.497,61077
2005-05-06,14.504,14.534,14.429,14.463,9992
2005-05-09,14.471,14.480,14.384,14.480,26049
2005-05-10,14.384,14.400,14.339,14.392,11382
2005-05-11,14.280,14.330,14.258,14.304,39456
2005-05-12,14.240,14.280,14.131,14.131,19731
2005-05-13,14.074,14.195,14.037,14.068,17198
2005-05-16,14.046,14.164,14.004,14.100,44765
2005-05-17,14.100,14.195,14.100,14.131,14796
2005-05-18,14.313,14.400,14.271,14.304,7968
2005-05-19,14.392,14.422,14.368,14.384,6322
2005-05-20,14.471,14.497,14.376,14.456,11131
2005-05-23,14.392,14.567,14.392,14.551,68919
2005-05-24,14.392,14.504,14.392,14.447,27187
2005-05-25,14.534,14.551,14.489,14.551,1267
2005-05-26,14.480,14.580,14.456,14.497,10749
2005-05-27,14.511,14.660,14.511,14.580,11253
2005-05-31,14.392,14.392,14.179,14.240,16184
2005-06-01,14.188,14.408,14.188,14.354,6196
2005-06-02,14.392,14.526,14.376,14.526,13026
2005-06-03,14.447,14.480,14.354,14.376,27063
2005-06-06,14.376,14.400,14.304,14.346,104073
2005-06-07,14.392,14.605,14.368,14.463,40973
2005-06-08,14.526,14.629,14.422,14.456,33259
2005-06-09,14.354,14.489,14.354,14.437,17706
2005-06-10,14.489,14.526,14.368,14.456,17072
2005-06-13,14.361,14.408,14.354,14.408,6955
2005-06-14,14.376,14.429,14.361,14.361,8852
2005-06-15,14.497,14.497,14.392,14.422,14796
2005-06-16,14.422,14.526,14.422,14.526,37433
2005-06-17,14.526,14.826,14.526,14.818,27443
2005-06-20,14.709,14.709,14.560,14.709,163382
2005-06-21,14.718,14.797,14.667,14.797,24028
2005-06-22,14.826,14.984,14.734,14.834,28327
2005-06-23,14.613,14.718,14.560,14.560,20613
2005-06-24,14.574,14.660,14.551,14.551,6703
2005-06-27,14.667,14.700,14.574,14.580,10876
2005-06-28,14.734,14.818,14.725,14.781,15302
2005-06-29,14.734,14.781,14.629,14.781,25292
2005-06-30,14.781,14.797,14.718,14.773,8725
2005-07-01,14.755,14.826,14.725,14.725,6450
2005-07-05,14.629,14.875,14.629,14.859,23902
2005-07-06,14.931,14.978,14.805,14.826,36548
2005-07-07,14.526,14.755,14.339,14.693,58168
