date,open,high,low,close,volume
2010-09-02,26.000,26.140,25.930,14.927,108600
2010-09-03,26.600,26.710,26.360,15.110,157600
2010-09-07,27.220,27.220,26.900,15.390,135800
2010-09-08,26.990,27.200,26.980,15.487,223700
2010-09-09,27.370,27.370,27.020,15.510,123000
2010-09-10,27.240,27.240,27.100,15.550,119900
2010-09-13,27.610,27.640,27.400,15.790,129400
2010-09-14,27.500,27.980,27.450,15.916,73300
2010-09-15,27.560,27.570,27.380,15.733,118600
2010-09-16,27.280,27.280,27.080,15.544,124000
2010-09-17,27.290,27.360,27.250,15.619,110100
2010-09-20,27.670,27.830,27.520,15.876,118600
2010-09-21,27.770,28.090,27.660,15.944,156800
2010-09-22,27.870,28.230,27.840,16.007,62500
2010-09-23,27.520,27.780,27.500,15.739,67600
2010-09-24,27.800,27.870,27.770,15.921,113100
2010-09-27,28.180,28.180,27.800,15.950,8800
2010-09-28,27.800,28.110,27.700,16.064,9500
2010-09-29,27.800,27.880,27.750,15.899,7800
2010-09-30,27.700,27.700,27.150,15.596,26000
2010-10-01,27.960,30.740,27.930,16.133,33900
2010-10-04,28.170,28.210,27.840,15.967,20200
2010-10-05,28.540,28.600,28.230,16.322,20600
2010-10-06,28.790,28.790,27.560,16.316,29900
2010-10-07,28.730,28.730,28.170,16.190,20200
2010-10-08,28.380,28.630,28.350,16.356,23400
2010-10-11,28.700,28.700,28.430,16.259,16800
2010-10-12,28.430,28.700,28.420,16.407,15700
2010-10-13,28.850,29.120,28.800,16.568,13200
2010-10-14,29.050,29.060,28.830,16.539,69300
2010-10-15,28.950,28.950,28.680,16.476,19500
2010-10-18,28.920,29.230,28.920,16.676,11900
2010-10-19,28.380,28.410,28.100,16.064,15000
2010-10-20,28.150,28.770,28.150,16.390,22600
2010-10-21,28.580,28.840,28.290,16.259,21100
2010-10-22,28.850,28.850,28.600,16.385,2600
2010-10-25,29.030,29.310,29.030,16.619,29400
2010-10-26,28.600,28.660,28.500,16.362,22900
2010-10-27,28.430,28.430,28.160,16.207,10700
2010-10-28,28.900,28.950,28.820,16.499,36100
2010-10-29,29.360,29.460,29.300,16.813,16600
2010-11-01,29.660,29.660,29.220,16.705,6000
2010-11-02,29.930,30.030,29.910,17.128,10300
2010-11-03,30.100,30.300,29.920,17.316,30000
2010-11-04,31.200,31.200,31.070,17.808,20900
2010-11-05,30.880,30.970,30.620,17.694,19300
2010-11-08,30.430,30.520,30.200,17.414,36600
2010-11-09,30.820,30.820,29.910,17.099,29300
2010-11-10,30.550,30.630,30.190,17.511,21100
2010-11-11,30.370,30.370,30.120,17.282,70200
2010-11-12,30.050,30.140,29.690,17.093,20500
2010-11-15,30.320,30.380,30.010,17.185,24600
2010-11-16,29.850,29.850,29.380,16.882,38000
2010-11-17,29.520,29.680,29.470,16.888,23600
2010-11-18,29.880,30.000,29.840,17.145,8100
2010-11-19,29.630,29.820,29.520,17.048,9800
2010-11-22,29.600,29.810,29.460,17.042,12800
2010-11-23,29.120,29.140,28.680,16.413,26900
2010-11-24,29.010,29.390,28.940,16.750,36500
2010-11-26,28.690,28.710,28.580,16.339,17400
2010-11-29,28.500,28.680,28.280,16.396,13000
2010-11-30,28.290,28.550,28.290,16.253,7300
2010-12-01,28.600,28.920,28.600,16.522,8700
2010-12-02,28.580,29.160,28.580,16.648,12900
2010-12-03,29.050,29.500,29.050,16.819,17300
2010-12-06,29.250,29.320,29.180,16.762,9200
2010-12-07,29.420,29.540,29.090,16.636,16100
2010-12-08,28.980,28.980,28.720,16.442,68000
2010-12-09,28.660,28.660,28.470,16.379,50100
2010-12-10,28.570,28.570,28.460,16.282,14300
2010-12-13,28.820,29.060,28.820,16.516,18400
