date,open,high,low,close,volume
2005-02-25,35.681,35.883,35.574,35.814,1594174
2005-02-28,36.282,36.384,36.022,36.185,3779008
2005-03-01,36.320,36.485,36.320,36.452,2205183
2005-03-02,36.082,36.452,36.082,36.282,2233444
2005-03-03,36.384,36.418,35.986,36.185,2253011
2005-03-04,36.518,36.891,36.518,36.755,4151314
2005-03-07,36.485,36.755,36.485,36.684,2221134
2005-03-08,36.719,36.719,36.485,36.518,1578788
2005-03-09,36.755,37.051,36.650,36.650,2576621
2005-03-10,36.755,36.951,36.684,36.926,1587362
2005-03-11,37.014,37.116,36.926,36.987,1409395
2005-03-14,36.586,36.684,36.418,36.550,2566673
2005-03-15,36.550,36.684,36.352,36.384,2204792
2005-03-16,36.586,36.650,36.320,36.384,1824543
2005-03-17,36.282,36.485,36.149,36.418,1473777
2005-03-18,36.616,36.650,36.418,36.586,1786449
2005-03-21,36.452,36.518,36.352,36.452,1206840
2005-03-22,36.452,36.825,36.115,36.215,3851396
2005-03-23,35.986,36.082,35.850,35.951,1988019
2005-03-24,35.782,35.918,35.612,35.850,1842616
2005-03-28,35.918,36.022,35.749,35.850,1751169
2005-03-29,35.015,35.244,34.709,34.778,6478894
2005-03-30,34.913,35.111,34.811,35.052,2898047
2005-03-31,35.244,35.281,35.015,35.111,2568553
2005-04-01,35.574,35.574,34.982,35.015,2695851
2005-04-04,34.982,35.111,34.811,34.982,3116224
2005-04-05,35.210,35.416,35.111,35.383,2085739
2005-04-06,35.416,35.486,35.281,35.383,3181384
2005-04-07,35.547,35.646,35.416,35.519,2016189
2005-04-08,35.519,35.612,35.348,35.416,2782462
2005-04-11,35.348,35.451,35.312,35.312,1274867
2005-04-12,35.015,35.383,34.641,35.312,3618459
2005-04-13,35.144,35.174,34.879,34.913,3926353
2005-04-14,34.573,34.742,34.276,34.411,3503738
2005-04-15,33.980,34.172,33.672,33.706,7734102
2005-04-18,33.172,33.406,33.004,33.270,5871888
2005-04-19,33.604,33.980,33.604,33.944,3414231
2005-04-20,33.672,33.774,33.304,33.440,4507366
2005-04-21,33.842,34.205,33.672,34.138,5155420
