date,open,high,low,close,volume
2013-03-05,472.570,479.270,472.570,479.040,0
2013-03-06,479.020,480.130,477.070,477.090,0
2013-03-07,477.090,479.300,475.880,475.880,0
2013-03-08,475.850,480.650,475.850,478.940,0
2013-03-11,478.960,479.370,476.790,479.370,0
2013-03-12,479.090,482.340,477.980,480.920,0
2013-03-13,480.920,481.620,478.370,478.510,0
2013-03-14,478.530,482.080,477.990,482.080,0
2013-03-15,482.090,483.830,479.050,480.450,0
2013-03-18,480.440,480.440,473.770,479.100,0
2013-03-19,479.140,480.850,477.450,477.490,0
2013-03-20,477.490,479.970,475.120,475.880,0
2013-03-21,475.880,478.280,472.490,474.130,0
2013-03-22,474.120,475.790,472.440,474.610,0
2013-03-25,474.600,477.940,471.330,471.340,0
2013-03-26,471.360,473.910,470.410,472.300,0
2013-03-27,472.330,474.190,470.100,471.210,0
2013-04-02,471.220,476.020,470.140,475.020,0
2013-04-03,475.030,478.490,473.700,476.410,0
2013-04-04,476.390,476.420,470.690,471.090,0
2013-04-05,471.120,472.610,461.830,463.100,0
2013-04-08,463.150,467.380,463.150,466.380,0
2013-04-09,466.630,470.210,466.560,468.090,0
2013-04-10,468.100,472.540,468.100,472.520,0
2013-04-11,472.520,475.800,472.520,473.540,0
2013-04-12,473.580,473.580,469.610,470.250,0
2013-04-15,470.250,470.830,462.850,463.160,0
2013-04-16,463.130,463.430,458.520,462.860,0
2013-04-17,462.950,465.610,457.230,457.230,0
2013-04-18,457.250,462.890,457.000,460.730,0
2013-04-19,460.760,466.980,460.760,465.990,0
2013-04-22,465.970,468.030,464.910,465.010,0
2013-04-23,465.220,471.370,464.870,471.370,0
2013-04-24,471.280,475.040,471.140,474.460,0
2013-04-25,474.540,480.330,473.830,480.330,0
2013-04-26,480.320,480.900,477.370,480.680,0
2013-04-29,480.670,481.190,476.510,477.930,0
2013-04-30,478.000,480.350,477.570,480.130,0
2013-05-02,480.020,480.020,474.350,476.500,0
2013-05-03,476.500,483.710,476.500,483.710,0
2013-05-06,483.700,485.860,482.830,485.110,0
2013-05-07,485.070,486.600,483.290,485.970,0
2013-05-08,485.980,489.340,485.930,487.830,0
2013-05-10,487.800,490.940,487.530,488.160,0
2013-05-13,488.170,489.860,487.950,489.460,0
2013-05-14,489.510,491.020,486.070,488.870,0
2013-05-15,488.980,489.800,486.450,488.500,0
2013-05-16,488.520,490.690,488.250,489.270,0
2013-05-21,489.310,494.490,489.280,494.360,0
2013-05-22,494.410,495.510,492.640,494.450,0
2013-05-23,494.220,494.220,483.410,486.120,0
2013-05-24,486.140,490.280,486.140,487.150,0
2013-05-27,487.150,491.260,487.150,491.260,0
2013-05-28,491.270,496.690,491.260,496.230,0
2013-05-29,496.240,496.240,491.650,491.750,0
2013-05-30,491.580,494.600,490.640,491.970,0
2013-05-31,492.860,493.750,488.890,491.710,0
2013-06-03,491.710,491.810,486.510,488.510,0
2013-06-04,488.710,491.850,486.140,486.570,0
2013-06-05,486.510,487.470,482.870,482.890,0
2013-06-06,482.890,484.040,479.410,479.700,0
2013-06-07,479.730,481.580,474.050,480.780,0
2013-06-10,480.780,482.730,477.900,478.350,0
2013-06-11,478.360,478.660,470.000,470.010,0
2013-06-12,470.030,476.700,469.970,474.030,0
