date,open,high,low,close,volume
2012-05-31,19.652,19.700,19.430,19.445,1467
2012-06-01,19.045,19.045,19.045,19.045,610
2012-06-04,18.864,18.864,18.757,18.757,3663
2012-06-06,19.372,19.673,19.372,19.673,19281
2012-06-07,20.182,20.182,19.954,20.018,869
2012-06-08,19.840,19.840,19.840,19.840,243
2012-06-11,20.208,20.208,19.740,19.740,7996
2012-06-12,19.570,19.692,19.570,19.692,366
2012-06-13,19.593,19.716,19.593,19.593,5946
2012-06-14,19.757,19.889,19.757,19.889,2664
2012-06-15,19.970,20.085,19.970,20.085,366
2012-06-18,20.036,20.157,19.970,20.157,4523
2012-06-20,20.828,20.837,20.708,20.708,3439
2012-06-21,20.149,20.182,19.643,19.643,16158
2012-06-22,19.452,19.452,19.452,19.452,124
2012-06-25,18.986,19.021,18.986,19.021,1952
2012-06-26,19.110,19.184,19.110,19.184,1393
2012-06-27,19.242,19.460,19.225,19.460,3923
2012-06-28,19.349,19.349,19.276,19.276,1068
2012-06-29,20.215,20.470,20.215,20.437,2981
2012-07-02,20.657,20.657,20.657,20.657,488
2012-07-03,20.921,20.921,20.911,20.911,1221
2012-07-05,20.477,20.477,20.290,20.477,2706
2012-07-06,19.889,19.889,19.831,19.831,4452
2012-07-09,19.896,19.978,19.840,19.970,6065
2012-07-10,20.312,20.386,20.077,20.118,14103
2012-07-12,19.961,20.006,19.961,20.006,4051
2012-07-13,20.405,20.731,20.386,20.444,17144
2012-07-16,20.454,20.454,20.454,20.454,733
2012-07-17,20.737,20.861,20.722,20.861,14606
2012-07-18,20.879,20.879,20.879,20.879,243
2012-07-24,19.954,20.102,19.921,20.102,7454
2012-07-25,20.444,20.444,20.264,20.273,831
2012-07-26,20.976,20.976,20.887,20.887,610
2012-07-27,21.188,21.206,21.107,21.206,3979
2012-07-30,21.073,21.092,21.073,21.092,4837
2012-07-31,20.945,20.945,20.903,20.921,19477
2012-08-01,21.025,21.115,21.018,21.073,6597
2012-08-03,21.263,21.467,21.263,21.467,3734
2012-08-06,21.615,21.615,21.615,21.615,366
2012-08-08,21.916,21.916,21.868,21.868,2516
2012-08-09,21.908,21.908,21.769,21.769,1582
2012-08-10,21.777,21.777,21.731,21.731,733
2012-08-13,21.704,21.704,21.704,21.704,124
2012-08-15,21.951,21.960,21.951,21.960,1308
2012-08-16,22.015,22.237,22.015,22.237,4801
2012-08-17,22.180,22.295,22.180,22.295,630
2012-08-21,22.295,22.295,22.295,22.295,488
2012-08-22,22.180,22.253,22.180,22.253,5494
2012-08-23,22.244,22.260,22.244,22.260,4887
2012-08-24,21.977,22.374,21.977,22.367,5500
2012-08-27,22.342,22.342,22.286,22.286,1221
2012-08-28,22.220,22.220,22.220,22.220,2199
2012-08-29,22.229,22.286,22.229,22.286,2330
2012-08-30,22.008,22.091,21.916,22.091,3164
2012-09-04,22.540,22.540,22.351,22.451,3311
2012-09-05,22.321,22.383,22.130,22.147,7547
2012-09-06,22.187,22.803,22.187,22.803,5248
2012-09-07,23.006,23.097,23.006,23.097,856
2012-09-10,23.087,23.087,22.917,22.924,985
2012-09-11,23.235,23.334,23.235,23.334,5035
2012-09-12,23.243,23.243,23.243,23.243,587
2012-09-13,23.163,23.765,23.163,23.765,9853
2012-09-14,24.308,24.314,24.152,24.152,4523
2012-09-17,23.981,23.981,23.981,23.981,243
2012-09-18,23.850,23.850,23.793,23.816,5815
2012-09-19,23.933,23.933,23.735,23.898,11351
2012-09-21,23.735,23.759,23.735,23.759,2212
2012-09-24,23.449,23.456,23.439,23.439,2304
2012-09-25,23.759,23.759,23.595,23.595,7177
2012-09-26,23.204,23.204,22.917,23.015,17633
2012-09-27,23.226,23.604,23.204,23.604,5582
2012-09-28,23.375,23.375,23.097,23.097,2567
2012-10-02,23.588,23.595,23.439,23.439,3514
2012-10-03,23.235,23.334,23.171,23.195,3155
2012-10-04,23.491,23.491,23.491,23.491,124
2012-10-05,23.735,23.735,23.726,23.735,856
2012-10-08,23.620,23.620,23.538,23.546,7087
2012-10-09,23.523,23.523,23.285,23.285,13998
2012-10-10,23.235,23.235,23.163,23.163,3866
2012-10-11,23.407,23.407,23.407,23.407,2443
2012-10-12,23.276,23.276,23.276,23.276,19549
2012-10-15,23.588,23.588,23.530,23.530,1283
2012-10-16,23.663,23.873,23.663,23.858,5131
2012-10-17,23.842,23.998,23.842,23.998,56871
2012-10-18,23.939,24.028,23.842,23.923,16985
2012-10-22,23.449,23.449,23.424,23.439,2443
2012-10-23,22.811,22.811,22.572,22.729,16129
2012-10-24,22.982,22.982,22.752,22.818,5743
2012-10-25,23.079,23.087,22.834,22.973,7943
2012-10-26,22.948,22.958,22.834,22.948,2388
2012-10-31,22.990,23.087,22.990,23.079,12879
2012-11-01,23.276,23.325,23.276,23.325,1589
2012-11-02,23.069,23.069,23.069,23.069,243
2012-11-05,22.794,22.825,22.785,22.818,2825
2012-11-06,22.939,23.062,22.932,23.062,733
2012-11-07,22.761,22.825,22.736,22.825,2079
2012-11-08,22.671,22.671,22.613,22.613,2933
2012-11-12,22.613,22.613,22.613,22.613,366
2012-11-13,22.286,22.383,22.253,22.253,5504
2012-11-14,22.467,22.467,22.100,22.100,3178
2012-11-15,22.000,22.100,21.902,21.902,4855
2012-11-16,21.908,21.942,21.908,21.942,1347
2012-11-19,22.598,22.688,22.548,22.688,8228
2012-11-21,22.785,22.794,22.736,22.736,1467
2012-11-26,23.138,23.138,23.112,23.112,2079
2012-11-27,23.104,23.104,23.006,23.006,377
2012-11-28,22.606,22.917,22.606,22.917,4974
2012-11-29,23.079,23.079,23.079,23.079,1221
2012-11-30,23.057,23.112,23.057,23.112,590
2012-12-04,23.032,23.154,22.998,23.154,2457
2012-12-06,23.325,23.375,23.267,23.375,21293
2012-12-07,23.138,23.178,23.138,23.178,17351
