date,open,high,low,close,volume
1999-01-22,0.044,0.049,0.039,0.038,2714688000
1999-01-25,0.044,0.046,0.041,0.042,510480000
1999-01-26,0.046,0.047,0.041,0.038,343200000
1999-01-27,0.042,0.043,0.040,0.038,244368000
1999-01-28,0.042,0.042,0.041,0.038,227520000
1999-01-29,0.042,0.042,0.040,0.036,244032000
1999-02-01,0.040,0.041,0.040,0.037,154704000
1999-02-02,0.040,0.041,0.036,0.034,264096000
1999-02-03,0.037,0.039,0.036,0.035,75120000
1999-02-04,0.039,0.041,0.038,0.037,181920000
1999-02-05,0.041,0.042,0.040,0.038,136848000
1999-02-08,0.042,0.042,0.040,0.037,154080000
1999-02-09,0.041,0.041,0.038,0.035,86976000
1999-02-10,0.038,0.039,0.037,0.035,148224000
1999-02-11,0.038,0.043,0.038,0.038,132240000
1999-02-12,0.042,0.044,0.042,0.040,109728000
1999-02-16,0.044,0.046,0.039,0.040,211008000
1999-02-17,0.043,0.043,0.041,0.038,67728000
1999-02-18,0.043,0.043,0.041,0.039,70704000
1999-02-19,0.042,0.044,0.041,0.040,75360000
1999-02-22,0.044,0.045,0.041,0.040,205248000
1999-02-23,0.045,0.047,0.042,0.042,138096000
1999-02-24,0.053,0.055,0.048,0.045,612768000
1999-02-25,0.052,0.053,0.047,0.044,149136000
1999-02-26,0.048,0.050,0.045,0.042,172608000
1999-03-01,0.047,0.048,0.044,0.042,92160000
1999-03-02,0.046,0.046,0.045,0.042,55248000
1999-03-03,0.046,0.046,0.042,0.039,61392000
1999-03-04,0.045,0.045,0.041,0.038,57360000
1999-03-05,0.042,0.044,0.042,0.040,78768000
1999-03-08,0.043,0.046,0.042,0.041,75888000
1999-03-09,0.044,0.047,0.044,0.042,143184000
1999-03-10,0.047,0.047,0.045,0.041,235344000
1999-03-11,0.044,0.045,0.043,0.040,54288000
1999-03-12,0.043,0.043,0.042,0.039,90768000
1999-03-15,0.043,0.045,0.043,0.041,108816000
1999-03-16,0.045,0.045,0.042,0.039,79152000
1999-03-17,0.043,0.044,0.042,0.040,51360000
1999-03-18,0.043,0.044,0.042,0.040,46320000
1999-03-19,0.043,0.045,0.043,0.040,105312000
1999-03-22,0.045,0.045,0.042,0.039,36672000
1999-03-23,0.043,0.043,0.039,0.037,163968000
1999-03-24,0.040,0.040,0.038,0.036,60864000
1999-03-25,0.039,0.042,0.039,0.037,40320000
1999-03-26,0.041,0.044,0.041,0.040,88272000
1999-03-29,0.045,0.046,0.044,0.041,65952000
1999-03-30,0.045,0.045,0.041,0.038,69504000
1999-03-31,0.042,0.045,0.040,0.040,153600000
1999-04-01,0.044,0.044,0.042,0.039,30432000
1999-04-05,0.042,0.043,0.041,0.038,98640000
1999-04-06,0.042,0.042,0.040,0.037,69696000
1999-04-07,0.041,0.044,0.040,0.040,89280000
1999-04-08,0.044,0.046,0.043,0.041,130128000
1999-04-09,0.045,0.045,0.043,0.040,48624000
1999-04-12,0.043,0.043,0.041,0.038,33312000
1999-04-13,0.043,0.043,0.040,0.037,36144000
1999-04-14,0.040,0.041,0.039,0.036,48288000
1999-04-15,0.040,0.040,0.039,0.037,35856000
1999-04-16,0.040,0.042,0.040,0.038,38928000
1999-04-19,0.042,0.042,0.039,0.036,31296000
1999-04-20,0.040,0.041,0.038,0.036,67680000
1999-04-21,0.039,0.040,0.039,0.036,37488000
1999-04-22,0.040,0.040,0.037,0.035,227184000
1999-04-23,0.038,0.038,0.036,0.033,126048000
1999-04-26,0.036,0.036,0.033,0.031,123504000
1999-04-27,0.035,0.038,0.034,0.035,226944000
1999-04-28,0.038,0.038,0.036,0.034,120096000
1999-04-29,0.038,0.038,0.037,0.034,48144000
1999-04-30,0.038,0.040,0.038,0.035,99312000
1999-05-03,0.038,0.038,0.037,0.035,33840000
1999-05-04,0.038,0.038,0.035,0.033,96048000
