date,open,high,low,close,volume
2010-10-04,23.353,23.437,23.181,23.290,133154
2010-10-05,23.900,23.900,23.353,23.683,59458
2010-10-06,23.565,23.663,23.454,23.663,45342
2010-10-07,23.967,24.004,23.575,23.692,73608
2010-10-08,23.592,23.720,23.502,23.692,17552
2010-10-11,23.599,23.599,23.316,23.363,31755
2010-10-12,23.007,23.088,22.851,23.070,73906
2010-10-13,23.088,23.363,23.088,23.344,73000
2010-10-14,23.565,23.565,23.334,23.454,39719
2010-10-15,23.618,23.618,23.200,23.363,29258
2010-10-18,23.237,23.502,23.237,23.492,56569
2010-10-19,22.971,23.052,22.813,22.886,40507
2010-10-20,22.876,23.274,22.876,23.162,67003
2010-10-21,23.540,23.592,23.274,23.417,28667
2010-10-22,23.720,23.720,23.548,23.599,20122
2010-10-25,23.918,23.918,23.774,23.838,57166
2010-10-26,23.636,23.711,23.502,23.653,39195
2010-10-27,23.417,23.636,23.417,23.636,28361
2010-10-28,23.848,23.848,23.556,23.618,16855
2010-10-29,23.729,23.866,23.729,23.857,12212
2010-11-01,24.032,24.085,23.683,23.774,66335
2010-11-02,24.516,24.516,24.360,24.441,33077
2010-11-03,24.746,24.782,24.560,24.727,40084
2010-11-04,25.116,25.165,25.010,25.145,34933
2010-11-05,24.441,24.535,24.370,24.516,46057
2010-11-08,23.838,23.838,23.683,23.774,63874
2010-11-09,23.774,23.774,23.363,23.454,63418
2010-11-10,23.281,23.281,22.868,23.200,26966
2010-11-11,22.421,22.430,22.265,22.412,50844
2010-11-12,22.166,22.166,21.781,21.854,64723
2010-11-15,22.183,22.487,22.183,22.301,27011
2010-11-16,22.274,22.274,21.835,21.882,34310
2010-11-17,21.863,21.948,21.845,21.882,7810
2010-11-18,22.265,22.365,22.240,22.320,134821
2010-11-19,22.487,22.487,22.292,22.487,20580
2010-11-22,22.118,22.193,22.028,22.137,23088
2010-11-23,21.938,21.938,21.710,21.771,28700
2010-11-24,21.746,22.074,21.746,22.057,29424
2010-11-26,21.377,21.377,21.022,21.306,17042
2010-11-29,21.298,21.396,21.160,21.387,43793
2010-11-30,20.949,21.061,20.758,20.949,48941
2010-12-01,21.453,21.719,21.453,21.644,40762
2010-12-02,22.118,22.346,22.018,22.346,87666
2010-12-03,22.203,22.356,22.193,22.356,57561
2010-12-06,22.593,22.649,22.532,22.621,78450
2010-12-07,22.759,22.759,22.593,22.602,100306
2010-12-08,22.659,22.749,22.621,22.724,28217
2010-12-09,22.742,22.795,22.576,22.749,27889
2010-12-10,22.328,22.421,22.231,22.403,17600
2010-12-13,22.057,22.282,22.057,22.222,54491
2010-12-14,22.412,22.458,22.292,22.393,23084
2010-12-15,21.919,22.037,21.835,21.854,67040
2010-12-16,21.524,21.571,21.396,21.571,63519
2010-12-17,21.495,21.552,21.444,21.552,16874
2010-12-20,21.571,21.626,21.495,21.590,11563
2010-12-21,21.652,21.728,21.617,21.719,12927
2010-12-22,21.845,21.938,21.845,21.892,20730
2010-12-23,22.212,22.212,22.118,22.157,9493
2010-12-27,22.157,22.301,22.147,22.256,8935
2010-12-28,22.310,22.310,22.240,22.265,22130
2010-12-29,22.640,22.640,22.495,22.522,12631
2010-12-30,22.742,22.742,22.585,22.679,47226
2010-12-31,22.724,22.813,22.686,22.795,18059
2011-01-03,22.906,23.034,22.896,22.981,42223
2011-01-04,23.025,23.025,22.813,22.944,32152
2011-01-05,22.786,22.953,22.759,22.953,47135
2011-01-06,22.832,22.832,22.696,22.822,35831
2011-01-07,22.621,22.679,22.477,22.549,27292
2011-01-10,21.854,21.901,21.762,21.892,39030
2011-01-11,21.691,21.691,21.562,21.597,44641
2011-01-12,21.882,21.965,21.854,21.965,22171
2011-01-13,21.892,21.892,21.762,21.781,36042
2011-01-14,21.892,22.183,21.892,22.109,41281
2011-01-18,21.562,21.626,21.524,21.562,39093
2011-01-19,21.495,21.505,21.278,21.288,8407
2011-01-20,21.052,21.132,20.993,21.132,23279
2011-01-21,20.905,20.940,20.758,20.776,34577
2011-01-24,20.538,20.593,20.382,20.530,54441
2011-01-25,20.693,20.766,20.618,20.729,12448
2011-01-26,20.858,20.905,20.749,20.876,37532
2011-01-27,21.123,21.198,21.104,21.123,32418
2011-01-28,21.061,21.061,20.610,20.654,69677
2011-01-31,20.511,20.574,20.300,20.420,50563
2011-02-01,20.217,20.420,20.181,20.411,29029
2011-02-02,20.574,20.693,20.574,20.646,53732
2011-02-03,20.637,20.766,20.637,20.758,47296
2011-02-04,20.709,20.776,20.637,20.758,22429
2011-02-07,20.876,21.003,20.876,20.964,46797
2011-02-08,20.914,21.042,20.876,21.042,10355
2011-02-09,20.683,20.701,20.574,20.693,103294
2011-02-10,19.934,19.934,19.743,19.934,119606
2011-02-11,19.926,19.998,19.780,19.988,31297
2011-02-14,20.181,20.198,20.054,20.116,33867
2011-02-15,20.116,20.116,20.024,20.072,11221
2011-02-16,20.270,20.420,20.188,20.309,13568
2011-02-18,20.701,20.794,20.637,20.766,28859
2011-02-22,20.135,20.318,19.961,19.988,34555
2011-02-23,20.016,20.034,19.826,19.908,64161
2011-02-24,19.676,19.714,19.534,19.676,31995
2011-02-25,19.771,19.952,19.771,19.889,21455
2011-02-28,20.217,20.263,20.125,20.236,22486
2011-03-01,20.143,20.143,19.780,19.817,76395
2011-03-02,19.917,20.024,19.889,19.978,18848
2011-03-03,20.245,20.530,20.245,20.530,36428
2011-03-04,20.574,20.610,20.401,20.520,21539
2011-03-07,20.749,20.886,20.430,20.520,30530
2011-03-08,20.511,20.719,20.482,20.654,17256
2011-03-09,20.749,20.831,20.719,20.831,19030
2011-03-10,20.841,20.868,20.701,20.701,23560
2011-03-11,20.758,20.914,20.701,20.905,32545
2011-03-14,20.850,20.993,20.812,20.956,137327
2011-03-15,20.538,20.895,20.482,20.831,87872
2011-03-16,20.565,20.664,20.217,20.336,70738
2011-03-17,20.336,20.346,20.207,20.346,76565
2011-03-18,20.374,20.401,20.198,20.254,23817
2011-03-21,20.420,20.584,20.401,20.420,133547
2011-03-22,20.618,20.654,20.511,20.511,15599
2011-03-23,20.520,20.618,20.454,20.618,25061
2011-03-24,20.593,20.786,20.565,20.776,109702
2011-03-25,20.822,20.905,20.802,20.822,7774
2011-03-28,21.012,21.012,20.886,20.886,3794
2011-03-29,20.922,21.022,20.868,21.012,17211
2011-03-30,21.534,21.644,21.444,21.542,299232
2011-03-31,21.746,21.826,21.710,21.710,40398
2011-04-01,22.256,22.448,22.256,22.412,77753
2011-04-04,22.686,22.804,22.557,22.759,33145
2011-04-05,22.403,22.532,22.346,22.412,49063
2011-04-06,22.679,22.851,22.669,22.732,147208
2011-04-07,22.768,22.896,22.742,22.804,33388
2011-04-08,22.832,22.999,22.759,22.842,58445
2011-04-11,22.649,22.749,22.576,22.686,45465
2011-04-12,22.495,22.602,22.421,22.448,44930
2011-04-13,22.549,22.621,22.383,22.477,71409
2011-04-14,22.557,22.795,22.514,22.732,40866
2011-04-15,22.659,22.906,22.630,22.804,72680
2011-04-18,22.542,22.542,22.256,22.375,75695
2011-04-19,22.403,22.585,22.393,22.585,38484
2011-04-20,22.724,22.851,22.686,22.777,73092
2011-04-21,22.786,22.953,22.786,22.886,30058
2011-04-25,22.953,22.999,22.860,22.990,170897
2011-04-26,22.999,23.118,22.981,23.108,342913
2011-04-27,23.062,23.152,22.924,23.118,110477
2011-04-28,22.876,22.896,22.768,22.795,13809
2011-04-29,23.134,23.307,23.134,23.181,56751
2011-05-02,23.228,23.281,23.043,23.062,86532
2011-05-03,23.034,23.118,22.842,22.944,37347
2011-05-04,22.886,22.886,22.669,22.704,103669
2011-05-05,22.282,22.567,22.203,22.346,138980
2011-05-06,22.274,22.421,22.157,22.240,90737
2011-05-09,22.336,22.576,22.328,22.557,84898
2011-05-10,22.621,22.906,22.621,22.860,49844
2011-05-11,22.876,22.896,22.542,22.679,58300
2011-05-12,22.532,22.759,22.403,22.749,111410
2011-05-13,22.585,22.585,22.282,22.439,32843
2011-05-16,22.458,22.532,22.282,22.320,33188
2011-05-17,22.320,22.430,22.240,22.430,88398
2011-05-18,22.612,22.786,22.532,22.777,25283
2011-05-19,22.669,22.724,22.522,22.612,22311
2011-05-20,22.522,22.567,22.336,22.421,14643
2011-05-23,22.212,22.212,22.018,22.082,96143
2011-05-24,22.193,22.240,22.000,22.082,13542
2011-05-25,21.835,22.166,21.800,22.127,62444
2011-05-26,22.222,22.403,22.203,22.375,558791
2011-05-27,22.403,22.532,22.403,22.504,114170
2011-05-31,22.542,22.542,22.301,22.383,163508
2011-06-01,22.403,22.477,21.992,22.028,64867
2011-06-02,22.557,22.659,22.467,22.602,163425
2011-06-03,22.356,22.412,22.292,22.320,40725
2011-06-06,22.193,22.328,22.147,22.231,122337
2011-06-07,22.265,22.292,22.109,22.109,43786
2011-06-08,22.249,22.249,22.074,22.074,43940
2011-06-09,22.137,22.193,21.957,22.183,28571
2011-06-10,21.992,21.992,21.808,21.854,32197
2011-06-13,21.826,21.835,21.644,21.791,54148
2011-06-14,21.590,21.754,21.542,21.671,108437
2011-06-15,21.746,21.762,21.534,21.597,23178
2011-06-16,21.514,21.691,21.485,21.617,25317
2011-06-17,21.617,21.746,21.562,21.626,186235
2011-06-20,21.485,21.728,21.485,21.597,32240
2011-06-21,22.109,22.147,21.984,22.057,61720
2011-06-22,22.018,22.101,21.762,21.762,46399
2011-06-23,21.542,21.854,21.514,21.800,51764
2011-06-24,21.910,21.992,21.746,21.781,45370
2011-06-27,21.719,22.109,21.681,22.037,31674
2011-06-28,21.882,22.356,21.882,22.356,586709
2011-06-29,22.074,22.231,21.957,22.212,307090
2011-06-30,22.320,22.458,22.265,22.448,86479
2011-07-01,22.777,22.795,22.585,22.777,50309
2011-07-05,23.209,23.209,23.043,23.143,61877
2011-07-06,22.962,22.962,22.851,22.953,43141
2011-07-07,22.990,23.098,22.962,23.080,23361
2011-07-08,22.896,22.981,22.768,22.981,18405
2011-07-11,22.813,22.813,22.567,22.649,84312
2011-07-12,22.504,22.842,22.495,22.732,428925
2011-07-13,22.953,23.043,22.804,22.822,91504
2011-07-14,23.218,23.218,22.822,22.876,141344
2011-07-15,23.108,23.162,22.981,22.981,49015
2011-07-18,23.228,23.228,22.934,23.007,25097
2011-07-19,23.281,23.399,23.237,23.334,96554
2011-07-20,23.334,23.437,23.316,23.334,60384
2011-07-21,23.389,23.592,23.389,23.502,69418
2011-07-22,23.548,23.548,23.464,23.473,31431
2011-07-25,23.492,23.663,23.492,23.645,26841
2011-07-26,23.575,23.599,23.437,23.483,16415
2011-07-27,23.653,23.653,23.427,23.540,72007
2011-07-28,23.692,23.838,23.618,23.711,44617
2011-07-29,23.720,24.004,23.653,23.866,96123
2011-08-01,24.232,24.232,23.792,24.085,87153
2011-08-02,23.974,24.095,23.711,23.711,114985
2011-08-03,23.766,23.766,23.381,23.729,97062
2011-08-04,23.389,23.548,22.832,22.886,427928
2011-08-05,23.344,23.344,22.487,22.886,121468
2011-08-08,22.393,22.542,21.644,21.644,101140
2011-08-09,21.919,22.448,21.485,22.403,131714
2011-08-10,21.901,22.173,21.691,21.771,37843
2011-08-11,22.147,22.832,22.000,22.696,19777
2011-08-12,22.777,22.777,22.430,22.495,31886
2011-08-15,22.467,22.696,22.458,22.576,34832
2011-08-16,22.532,22.621,22.336,22.421,89532
2011-08-17,22.669,22.669,22.383,22.477,31951
2011-08-18,22.495,22.495,22.066,22.328,64621
2011-08-19,22.256,22.630,22.166,22.310,9397
2011-08-22,22.487,22.487,22.066,22.173,21477
2011-08-23,22.393,22.924,22.393,22.924,31063
2011-08-24,22.714,22.822,22.504,22.822,41434
2011-08-25,22.777,22.777,22.240,22.265,70775
2011-08-26,22.127,22.458,21.957,22.346,34209
2011-08-29,22.732,22.768,22.532,22.749,8785
2011-08-30,22.724,22.906,22.557,22.832,13753
2011-08-31,22.804,23.025,22.768,22.804,127662
2011-09-01,22.822,22.962,22.630,22.630,62967
2011-09-02,22.832,23.007,22.704,22.724,22408
2011-09-06,22.292,22.777,22.265,22.768,21005
2011-09-07,22.795,22.953,22.768,22.953,59800
2011-09-08,22.777,22.906,22.567,22.659,20066
2011-09-09,22.477,22.495,22.157,22.173,61887
2011-09-12,22.074,22.375,22.037,22.356,52393
2011-09-13,22.265,22.265,22.037,22.249,17882
2011-09-14,22.157,22.282,21.901,22.091,58494
2011-09-15,22.328,22.328,22.091,22.193,79511
2011-09-16,22.203,22.203,21.992,22.137,34388
2011-09-19,21.948,22.137,21.835,22.118,142484
2011-09-20,21.791,21.882,21.626,21.691,52122
2011-09-21,21.463,21.463,20.956,21.094,62507
2011-09-22,20.482,20.574,20.082,20.309,71977
2011-09-23,19.612,19.872,19.550,19.733,64304
2011-09-26,19.102,19.268,18.838,19.248,105750
2011-09-27,19.569,19.978,19.321,19.605,1765063
2011-09-28,19.704,20.016,19.477,19.524,178060
2011-09-29,19.862,19.926,19.477,19.632,49812
2011-09-30,19.978,20.153,19.395,19.438,157902
2011-10-03,19.385,19.578,19.156,19.238,192674
2011-10-04,18.802,19.550,18.380,19.550,160020
2011-10-05,19.366,19.780,19.064,19.704,82672
2011-10-06,19.817,20.100,19.649,20.054,89410
2011-10-07,20.454,20.530,20.024,20.254,75653
2011-10-10,20.454,21.032,20.454,21.012,34813
2011-10-11,20.850,20.973,20.794,20.973,1693
2011-10-12,21.269,21.691,21.269,21.514,64983
2011-10-13,21.061,21.141,20.822,21.061,62627
2011-10-14,21.170,21.524,21.170,21.426,61178
2011-10-17,21.581,21.581,21.151,21.160,84234
2011-10-18,21.123,21.635,21.032,21.524,69720
2011-10-19,21.808,21.808,21.325,21.453,13436
2011-10-20,21.325,21.495,21.042,21.230,57404
2011-10-21,21.416,21.552,21.259,21.505,118980
2011-10-24,21.315,21.524,21.306,21.524,134966
2011-10-25,21.470,21.661,21.315,21.341,44480
2011-10-26,21.406,21.552,21.259,21.552,7769
2011-10-27,21.719,22.704,21.719,22.549,174840
2011-10-28,22.403,22.439,22.231,22.383,110250
2011-10-31,21.928,22.010,21.771,21.863,53475
2011-11-01,21.416,21.617,21.416,21.524,34107
2011-11-02,21.975,22.183,21.835,22.147,46383
2011-11-03,22.118,22.118,21.854,22.028,13668
2011-11-04,21.762,21.791,21.444,21.552,171039
2011-11-07,21.426,21.736,21.426,21.736,30088
2011-11-08,22.082,22.166,21.835,22.047,56683
2011-11-09,21.681,21.854,21.350,21.416,58811
2011-11-10,21.762,21.817,21.495,21.728,48961
2011-11-11,21.781,21.992,21.762,21.975,2438
2011-11-14,21.746,21.771,21.597,21.617,14018
2011-11-15,21.873,22.066,21.719,22.066,10440
