date,open,high,low,close,volume
2013-11-12,14.950,14.950,14.950,14.950,0
2013-11-13,14.950,14.950,14.920,14.950,568
2013-11-14,14.950,14.950,14.950,14.950,0
2013-11-15,15.090,15.090,15.050,15.050,1400
2013-11-18,15.220,15.220,15.190,15.190,1000
2013-11-19,15.190,15.190,15.190,15.190,0
2013-11-20,15.160,15.160,14.950,14.950,800
2013-11-21,14.990,14.990,14.990,14.990,168
2013-11-22,14.990,14.990,14.990,14.990,0
2013-11-25,15.170,15.200,15.170,15.190,2500
2013-11-26,15.230,15.270,15.229,15.270,3600
2013-11-27,15.480,15.490,15.450,15.490,4740
2013-11-29,15.720,15.790,15.720,15.790,17150
2013-12-02,15.650,15.680,15.599,15.640,3886
2013-12-03,15.630,15.630,15.610,15.610,2756
2013-12-04,15.330,15.340,15.180,15.340,2030
2013-12-05,15.430,15.430,15.360,15.370,2403
2013-12-06,15.250,15.430,15.250,15.430,1270
2013-12-09,15.490,15.490,15.490,15.490,1601
2013-12-10,15.710,15.710,15.660,15.660,2100
2013-12-11,15.640,15.640,15.590,15.590,3566
2013-12-12,15.540,15.540,15.400,15.410,3520
2013-12-13,15.340,15.390,15.340,15.390,1231
2013-12-16,15.490,15.490,15.460,15.460,920
2013-12-17,15.460,15.460,15.420,15.420,3316
2013-12-18,15.430,15.430,15.420,15.420,410
2013-12-19,15.410,15.430,15.400,15.400,3020
2013-12-20,15.540,15.550,15.540,15.550,1856
2013-12-23,15.740,15.740,15.740,15.740,1633
2013-12-24,15.690,15.690,15.690,15.690,300
2013-12-26,15.780,15.799,15.760,15.799,2328
2013-12-27,15.850,15.880,15.830,15.830,3203
2013-12-30,15.870,15.880,15.869,15.880,840
2013-12-31,15.840,15.840,15.820,15.820,1039
2014-01-02,15.740,15.790,15.722,15.790,12754
2014-01-03,16.080,16.080,16.040,16.040,4909
2014-01-06,16.130,16.130,16.050,16.070,5332
2014-01-07,16.360,16.390,16.260,16.336,7049
2014-01-08,16.540,16.590,16.540,16.560,30826
2014-01-09,16.780,16.810,16.705,16.740,13074
2014-01-10,16.850,16.850,16.789,16.850,19303
2014-01-13,16.910,17.010,16.910,17.005,21765
2014-01-14,16.770,16.820,16.650,16.740,14100
2014-01-15,16.850,16.850,16.789,16.824,26705
2014-01-16,16.870,16.890,16.750,16.810,36537
2014-01-17,16.820,16.820,16.640,16.640,17037
2014-01-21,16.750,16.760,16.620,16.640,13740
2014-01-22,16.490,16.490,16.170,16.280,126403
2014-01-23,16.590,16.590,16.342,16.380,419519
2014-01-24,16.280,16.320,16.110,16.230,18204
2014-01-27,16.170,16.170,15.970,16.050,5362
2014-01-28,16.200,16.280,16.190,16.210,18511
2014-01-29,16.120,16.198,15.950,16.178,25782
2014-01-30,16.120,16.138,16.000,16.080,2792
2014-01-31,15.830,15.879,15.700,15.825,4696
2014-02-03,15.870,15.870,15.520,15.540,14055
2014-02-04,15.640,15.800,15.640,15.710,16422
2014-02-05,15.820,15.890,15.761,15.870,11258
2014-02-06,16.269,16.330,16.256,16.280,8554
2014-02-07,16.410,16.470,16.370,16.430,12629
2014-02-10,16.490,16.490,16.341,16.430,7983
2014-02-11,16.600,16.660,16.571,16.660,7545
2014-02-12,16.570,16.600,16.508,16.508,8936
2014-02-13,16.680,16.680,16.680,16.680,3096
2014-02-14,16.817,16.980,16.817,16.900,6166
2014-02-18,17.090,17.190,17.070,17.160,17039
2014-02-19,17.110,17.160,16.990,16.990,5930
2014-02-20,16.861,17.060,16.861,17.000,2307
2014-02-21,17.170,17.200,17.090,17.160,2642
2014-02-24,17.240,17.420,17.230,17.230,18878
2014-02-25,17.480,17.490,17.330,17.369,9106
2014-02-26,17.140,17.160,17.070,17.120,11381
2014-02-27,17.140,17.300,17.140,17.300,2114
2014-02-28,17.540,17.570,17.330,17.451,30614
2014-03-03,17.210,17.210,16.970,16.999,25427
2014-03-04,17.450,17.450,17.352,17.360,3785
2014-03-05,17.400,17.590,17.400,17.570,90289
2014-03-06,17.910,17.970,17.780,17.900,83418
2014-03-07,17.910,17.920,17.822,17.910,6513
2014-03-10,17.870,17.990,17.850,17.920,6425
2014-03-11,18.080,18.100,17.930,18.010,13982
2014-03-12,18.040,18.040,17.790,17.870,47054
2014-03-13,18.060,18.060,17.350,17.490,28050
2014-03-14,17.380,17.531,17.350,17.520,2563
2014-03-17,17.840,17.840,17.830,17.830,877
2014-03-18,17.990,18.070,17.960,18.070,69282
2014-03-19,18.050,18.050,17.780,17.820,36488
2014-03-20,17.770,17.820,17.590,17.820,2473
2014-03-21,17.990,17.990,17.700,17.750,13558
2014-03-24,17.900,17.900,17.600,17.760,16046
2014-03-25,17.780,17.970,17.635,17.810,24921
2014-03-26,17.980,18.040,17.840,17.879,33501
2014-03-27,17.970,17.970,17.850,17.890,36976
2014-03-28,18.070,18.148,18.050,18.050,8653
2014-03-31,18.260,18.260,18.100,18.168,9200
2014-04-01,18.530,18.530,18.373,18.479,39056
2014-04-02,18.380,18.380,18.220,18.250,44013
2014-04-03,18.310,18.310,18.150,18.250,42863
2014-04-04,18.100,18.100,17.880,17.880,24858
2014-04-07,18.000,18.020,17.890,17.940,24714
2014-04-08,17.720,17.780,17.650,17.680,26695
2014-04-09,17.890,17.959,17.890,17.911,961
2014-04-10,17.920,17.920,17.610,17.610,14955
2014-04-11,17.600,17.700,17.290,17.680,3066
2014-04-14,17.630,17.630,17.420,17.420,4299
2014-04-15,17.500,17.500,17.160,17.280,4029
2014-04-16,17.588,17.730,17.530,17.718,17876
2014-04-17,17.870,17.880,17.720,17.760,43168
2014-04-21,17.940,17.989,17.728,17.989,5490
2014-04-22,18.050,18.050,17.880,18.040,5080
2014-04-23,18.090,18.210,17.900,17.989,6882
2014-04-24,18.020,18.060,17.770,17.871,37562
2014-04-25,17.940,17.940,17.620,17.867,30048
2014-04-28,17.870,17.880,17.780,17.840,8199
2014-04-29,18.080,18.080,17.940,17.940,10265
2014-04-30,18.050,18.220,17.950,18.220,5738
2014-05-01,18.260,18.450,17.770,18.190,19461
2014-05-02,18.170,18.280,18.090,18.240,10858
2014-05-05,18.250,18.394,17.981,18.220,14874
2014-05-06,18.200,18.460,18.200,18.430,12314
2014-05-07,18.300,18.300,17.990,18.080,4212
2014-05-08,18.200,18.340,18.020,18.020,10409
2014-05-09,17.800,17.834,17.680,17.760,5040
2014-05-12,17.940,17.970,17.782,17.782,12697
2014-05-13,17.580,17.830,17.580,17.780,11268
2014-05-14,17.360,17.360,17.120,17.260,28056
2014-05-15,16.910,16.949,16.690,16.750,12071
2014-05-16,16.710,16.980,16.710,16.930,35282
2014-05-19,16.820,17.000,16.820,17.000,41029
2014-05-20,17.050,17.160,16.750,16.750,21012
2014-05-21,16.900,17.010,16.770,17.010,41259
2014-05-22,16.750,16.910,16.750,16.850,25525
2014-05-23,16.950,17.100,16.950,17.100,6523
2014-05-27,17.410,17.410,17.240,17.261,21032
2014-05-28,17.590,17.590,17.460,17.500,30414
2014-05-29,17.470,17.470,17.380,17.410,9500
2014-05-30,17.650,17.670,17.570,17.670,2070
2014-06-02,17.800,17.820,17.701,17.790,29062
2014-06-03,17.760,17.770,17.690,17.720,14402
2014-06-04,17.720,17.770,17.660,17.770,26881
2014-06-05,17.950,18.030,17.920,18.030,3421
2014-06-06,18.250,18.258,18.110,18.200,9785
2014-06-09,18.280,18.377,18.190,18.320,23828
2014-06-10,18.400,18.430,18.350,18.420,9541
2014-06-11,18.102,18.110,18.040,18.040,7748
2014-06-12,18.110,18.180,17.961,17.961,10069
2014-06-13,17.885,18.040,17.885,17.910,7696
2014-06-16,17.870,17.960,17.870,17.910,7445
2014-06-17,17.790,17.932,17.770,17.880,19450
2014-06-18,17.790,18.050,17.790,18.040,11892
2014-06-19,18.070,18.090,18.012,18.060,6548
2014-06-20,17.858,17.990,17.814,17.814,3250
2014-06-23,17.680,17.745,17.638,17.740,4590
2014-06-24,17.570,17.650,17.500,17.516,6966
2014-06-25,17.530,17.660,17.500,17.660,13275
2014-06-26,17.520,17.650,17.450,17.640,16910
2014-06-27,17.350,17.460,17.310,17.449,1732
2014-06-30,17.240,17.340,17.130,17.140,39318
