date,open,high,low,close,volume
2014-05-01,24.720,24.720,24.705,16.083,205700
2014-05-02,24.700,24.710,24.700,16.077,700
2014-05-05,25.420,25.420,25.160,16.454,1400
2014-05-06,25.250,25.250,25.010,16.272,3200
2014-05-07,25.040,25.060,25.000,16.305,1300
2014-05-08,25.280,25.280,25.200,16.396,1500
2014-05-09,25.100,25.140,25.100,16.357,1100
2014-05-12,25.510,25.510,25.430,16.565,1400
2014-05-13,25.520,25.590,25.490,16.584,1600
2014-05-14,25.580,25.580,25.470,16.584,2400
2014-05-15,25.460,25.460,25.350,16.513,3000
2014-05-16,25.300,25.340,25.290,16.487,1100
2014-05-19,24.860,24.930,24.860,16.200,7600
2014-05-20,24.820,24.820,24.370,15.875,7300
2014-05-21,24.370,24.640,24.370,15.973,3400
2014-05-22,25.190,25.230,25.050,16.331,3700
2014-05-23,25.010,25.200,25.010,16.311,4700
2014-05-27,26.260,26.260,25.760,16.923,70200
2014-05-28,26.200,26.200,25.500,16.825,7000
2014-05-29,26.380,26.650,26.120,17.183,326900
2014-05-30,26.440,27.150,26.440,17.664,738800
2014-06-02,26.940,26.940,26.491,17.236,112800
2014-06-03,26.000,26.000,25.700,16.864,75300
2014-06-04,25.650,25.760,25.650,16.753,112500
2014-06-05,26.015,26.540,25.940,17.267,48300
2014-06-06,26.960,26.960,26.010,17.326,134100
2014-06-09,25.480,25.850,25.060,16.819,44500
2014-06-10,25.380,25.410,25.010,16.519,4900
2014-06-11,25.340,25.340,24.990,16.259,7600
2014-06-12,25.001,25.001,25.001,16.266,400
2014-06-13,25.353,25.660,25.150,16.695,4600
2014-06-16,24.790,24.790,23.990,15.797,151400
2014-06-17,23.980,24.170,23.950,15.589,74700
2014-06-18,24.070,24.320,23.980,15.791,72000
2014-06-19,24.270,24.270,23.830,15.504,15700
2014-06-20,23.810,23.960,23.760,15.524,7500
2014-06-23,23.780,23.780,23.610,15.368,54800
2014-06-24,23.610,23.800,23.581,15.355,6200
2014-06-25,23.410,23.410,23.031,15.159,1900
2014-06-26,22.920,22.920,22.440,14.789,13400
2014-06-27,22.860,22.880,22.750,14.841,13900
2014-06-30,22.060,22.060,21.790,14.216,41700
2014-07-01,22.740,23.300,22.740,14.958,55200
2014-07-02,23.140,23.787,23.140,15.290,8200
2014-07-03,23.550,23.710,23.400,15.329,13200
2014-07-07,23.810,23.810,23.520,15.303,1600
2014-07-08,23.600,24.120,23.600,15.625,21800
2014-07-09,24.540,24.610,24.400,16.012,4500
2014-07-10,24.940,24.950,24.811,16.148,6300
2014-07-11,24.990,25.000,24.900,16.200,2800
2014-07-14,25.060,25.098,25.000,16.324,119000
2014-07-15,25.100,25.580,25.100,16.617,207800
2014-07-16,25.900,25.900,25.670,16.740,30400
2014-07-17,25.820,26.050,25.690,16.727,9900
2014-07-18,25.710,25.930,25.710,16.864,13600
2014-07-21,25.500,25.520,25.340,16.506,10800
2014-07-22,25.810,25.950,25.750,16.753,700
2014-07-23,26.040,26.040,25.610,16.662,1300
2014-07-24,25.360,25.360,24.880,16.383,16300
