date,open,high,low,close,volume
2000-10-31,528.940,528.940,528.940,528.940,0
2000-11-01,527.240,527.240,527.240,527.240,0
2000-11-02,528.650,528.650,528.650,528.650,0
2000-11-03,525.090,525.090,525.090,525.090,0
2000-11-06,521.200,521.200,521.200,521.200,0
2000-11-07,517.800,517.800,517.800,517.800,0
2000-11-08,527.240,527.240,527.240,527.240,0
2000-11-09,522.880,522.880,522.880,522.880,0
2000-11-10,526.940,526.940,526.940,526.940,0
2000-11-13,525.670,525.670,525.670,525.670,0
2000-11-14,523.440,523.440,523.440,523.440,0
2000-11-15,516.880,516.880,516.880,516.880,0
2000-11-16,516.940,516.940,516.940,516.940,0
2000-11-17,514.750,514.750,514.750,514.750,0
2000-11-20,518.460,518.460,518.460,518.460,0
2000-11-21,509.410,509.410,509.410,509.410,0
2000-11-22,506.830,506.830,506.830,506.830,0
2000-11-23,512.180,512.180,512.180,512.180,0
2000-11-24,516.370,516.370,516.370,516.370,0
2000-11-27,505.850,505.850,505.850,505.850,0
2000-11-28,505.020,505.020,505.020,505.020,0
2000-11-29,504.620,504.620,504.620,504.620,0
2000-11-30,506.220,506.220,506.220,506.220,0
2000-12-04,502.510,502.510,502.510,502.510,0
2000-12-05,501.180,501.180,501.180,501.180,0
2000-12-06,519.970,519.970,519.970,519.970,0
2000-12-07,518.060,518.060,518.060,518.060,0
2000-12-08,516.960,516.960,516.960,516.960,0
2000-12-11,529.550,529.550,529.550,529.550,0
2000-12-12,547.190,547.190,547.190,547.190,0
2000-12-13,543.890,543.890,543.890,543.890,0
2000-12-14,540.970,540.970,540.970,540.970,0
2000-12-15,531.650,531.650,531.650,531.650,0
2000-12-18,534.120,534.120,534.120,534.120,0
2000-12-19,543.190,543.190,543.190,543.190,0
2000-12-20,553.480,553.480,553.480,553.480,0
2000-12-21,543.150,543.150,543.150,543.150,0
2000-12-22,544.720,544.720,544.720,544.720,0
2001-01-03,556.230,556.230,556.230,556.230,0
2001-01-04,586.010,586.010,586.010,586.010,0
2001-01-05,611.520,611.520,611.520,611.520,0
2001-01-08,601.820,601.820,601.820,601.820,0
2001-01-09,612.110,612.110,612.110,612.110,0
2001-01-10,607.160,607.160,607.160,607.160,0
2001-01-11,629.910,629.910,629.910,629.910,0
2001-01-12,627.080,627.080,627.080,627.080,0
2001-01-15,615.610,615.610,615.610,615.610,0
2001-01-16,620.520,620.520,620.520,620.520,0
2001-01-17,630.670,630.670,630.670,630.670,0
2001-01-18,637.430,637.430,637.430,637.430,0
2001-01-19,643.100,643.100,643.100,643.100,0
2001-01-22,627.850,627.850,627.850,627.850,0
2001-01-23,625.290,625.290,625.290,625.290,0
2001-01-24,617.920,617.920,617.920,617.920,0
2001-01-25,601.260,601.260,601.260,601.260,0
2001-01-26,601.410,601.410,601.410,601.410,0
2001-01-29,616.220,616.220,616.220,616.220,0
2001-01-30,604.290,604.290,604.290,604.290,0
2001-01-31,603.730,603.730,603.730,603.730,0
2001-02-01,602.360,602.360,602.360,602.360,0
2001-02-02,585.180,585.180,585.180,585.180,0
2001-02-05,574.900,574.900,574.900,574.900,0
2001-02-06,583.340,583.340,583.340,583.340,0
2001-02-07,566.880,566.880,566.880,566.880,0
2001-02-08,577.250,577.250,577.250,577.250,0
2001-02-09,572.800,572.800,572.800,572.800,0
2001-02-12,564.050,564.050,564.050,564.050,0
2001-02-13,577.430,577.430,577.430,577.430,0
2001-02-14,589.950,589.950,589.950,589.950,0
2001-02-15,602.330,602.330,602.330,602.330,0
2001-02-16,606.570,606.570,606.570,606.570,0
2001-02-19,593.410,593.410,593.410,593.410,0
2001-02-20,588.320,588.320,588.320,588.320,0
2001-02-21,590.750,590.750,590.750,590.750,0
2001-02-22,590.730,590.730,590.730,590.730,0
2001-02-23,607.200,607.200,607.200,607.200,0
2001-02-26,605.280,605.280,605.280,605.280,0
2001-02-27,605.020,605.020,605.020,605.020,0
2001-02-28,598.090,598.090,598.090,598.090,0
2001-03-01,589.840,589.840,589.840,589.840,0
2001-03-02,597.110,597.110,597.110,597.110,0
2001-03-05,610.590,610.590,610.590,610.590,0
2001-03-06,602.470,602.470,602.470,602.470,0
2001-03-07,606.580,606.580,606.580,606.580,0
2001-03-08,601.630,601.630,601.630,601.630,0
2001-03-09,600.720,600.720,600.720,600.720,0
2001-03-12,599.550,599.550,599.550,599.550,0
2001-03-13,609.200,609.200,609.200,609.200,0
2001-03-14,615.130,615.130,615.130,615.130,0
2001-03-15,616.580,616.580,616.580,616.580,0
2001-03-16,633.450,633.450,633.450,633.450,0
2001-03-19,637.000,637.000,637.000,637.000,0
2001-03-20,615.480,615.480,615.480,615.480,0
2001-03-21,602.260,602.260,602.260,602.260,0
2001-03-22,591.250,591.250,591.250,591.250,0
2001-03-23,581.640,581.640,581.640,581.640,0
2001-03-26,566.090,566.090,566.090,566.090,0
2001-03-27,590.280,590.280,590.280,590.280,0
2001-03-28,578.160,578.160,578.160,578.160,0
2001-03-29,558.790,558.790,558.790,558.790,0
2001-03-30,554.190,554.190,554.190,554.190,0
2001-04-02,560.670,560.670,560.670,560.670,0
2001-04-03,552.240,552.240,552.240,552.240,0
2001-04-04,534.140,534.140,534.140,534.140,0
2001-04-05,538.330,538.330,538.330,538.330,0
2001-04-06,533.820,533.820,533.820,533.820,0
2001-04-09,536.440,536.440,536.440,536.440,0
2001-04-10,531.720,531.720,531.720,531.720,0
2001-04-11,538.980,538.980,538.980,538.980,0
2001-04-12,544.110,544.110,544.110,544.110,0
2001-04-13,542.140,542.140,542.140,542.140,0
2001-04-17,550.900,550.900,550.900,550.900,0
2001-04-18,551.070,551.070,551.070,551.070,0
2001-04-19,543.770,543.770,543.770,543.770,0
2001-04-20,541.950,541.950,541.950,541.950,0
2001-04-23,539.040,539.040,539.040,539.040,0
2001-04-24,541.200,541.200,541.200,541.200,0
2001-04-25,553.190,553.190,553.190,553.190,0
2001-04-26,560.530,560.530,560.530,560.530,0
2001-04-27,562.480,562.480,562.480,562.480,0
2001-05-02,568.150,568.150,568.150,568.150,0
2001-05-03,555.450,555.450,555.450,555.450,0
2001-05-04,552.440,552.440,552.440,552.440,0
2001-05-07,562.640,562.640,562.640,562.640,0
2001-05-08,560.740,560.740,560.740,560.740,0
2001-05-09,562.380,562.380,562.380,562.380,0
2001-05-10,554.940,554.940,554.940,554.940,0
2001-05-11,565.990,565.990,565.990,565.990,0
2001-05-14,569.400,569.400,569.400,569.400,0
2001-05-15,593.030,593.030,593.030,593.030,0
2001-05-16,581.710,581.710,581.710,581.710,0
2001-05-17,588.420,588.420,588.420,588.420,0
2001-05-18,611.680,611.680,611.680,611.680,0
2001-05-21,590.010,590.010,590.010,590.010,0
2001-05-22,575.390,575.390,575.390,575.390,0
2001-05-23,567.510,567.510,567.510,567.510,0
2001-05-24,567.200,567.200,567.200,567.200,0
2001-05-25,566.590,566.590,566.590,566.590,0
2001-05-28,568.240,568.240,568.240,568.240,0
2001-05-29,568.390,568.390,568.390,568.390,0
2001-05-30,579.240,579.240,579.240,579.240,0
2001-05-31,582.950,582.950,582.950,582.950,0
2001-06-01,584.990,584.990,584.990,584.990,0
2001-06-04,599.730,599.730,599.730,599.730,0
2001-06-05,603.880,603.880,603.880,603.880,0
2001-06-06,615.600,615.600,615.600,615.600,0
2001-06-07,609.550,609.550,609.550,609.550,0
2001-06-08,606.460,606.460,606.460,606.460,0
2001-06-11,600.640,600.640,600.640,600.640,0
2001-06-12,601.770,601.770,601.770,601.770,0
2001-06-13,599.700,599.700,599.700,599.700,0
2001-06-14,597.590,597.590,597.590,597.590,0
2001-06-15,604.790,604.790,604.790,604.790,0
2001-06-18,611.840,611.840,611.840,611.840,0
2001-06-19,627.690,627.690,627.690,627.690,0
2001-06-20,632.500,632.500,632.500,632.500,0
2001-06-21,627.870,627.870,627.870,627.870,0
2001-06-22,631.590,631.590,631.590,631.590,0
2001-06-25,647.450,647.450,647.450,647.450,0
2001-06-26,647.300,647.300,647.300,647.300,0
2001-06-27,652.110,652.110,652.110,652.110,0
2001-06-28,652.860,652.860,652.860,652.860,0
2001-06-29,648.570,648.570,648.570,648.570,0
2001-07-02,643.650,643.650,643.650,643.650,0
2001-07-03,642.630,642.630,642.630,642.630,0
2001-07-04,637.040,637.040,637.040,637.040,0
2001-07-05,631.310,631.310,631.310,631.310,0
2001-07-06,631.580,631.580,631.580,631.580,0
2001-07-09,623.680,623.680,623.680,623.680,0
2001-07-10,622.540,622.540,622.540,622.540,0
2001-07-11,626.820,626.820,626.820,626.820,0
2001-07-12,625.640,625.640,625.640,625.640,0
2001-07-13,628.490,628.490,628.490,628.490,0
2001-07-16,638.480,638.480,638.480,638.480,0
2001-07-17,650.930,650.930,650.930,650.930,0
2001-07-18,635.870,635.870,635.870,635.870,0
2001-07-19,628.120,628.120,628.120,628.120,0
2001-07-20,629.810,629.810,629.810,629.810,0
2001-07-23,633.280,633.280,633.280,633.280,0
2001-07-24,649.520,649.520,649.520,649.520,0
2001-07-25,648.920,648.920,648.920,648.920,0
2001-07-26,653.430,653.430,653.430,653.430,0
2001-07-27,660.440,660.440,660.440,660.440,0
2001-07-30,655.470,655.470,655.470,655.470,0
2001-07-31,668.710,668.710,668.710,668.710,0
2001-08-01,667.390,667.390,667.390,667.390,0
2001-08-02,675.060,675.060,675.060,675.060,0
2001-08-03,670.340,670.340,670.340,670.340,0
2001-08-06,667.810,667.810,667.810,667.810,0
2001-08-07,682.790,682.790,682.790,682.790,0
2001-08-08,691.120,691.120,691.120,691.120,0
2001-08-09,721.010,721.010,721.010,721.010,0
2001-08-10,755.210,755.210,755.210,755.210,0
2001-08-13,761.140,761.140,761.140,761.140,0
2001-08-14,758.520,758.520,758.520,758.520,0
2001-08-15,762.750,762.750,762.750,762.750,0
2001-08-16,762.320,762.320,762.320,762.320,0
2001-08-17,756.100,756.100,756.100,756.100,0
2001-08-20,771.810,771.810,771.810,771.810,0
2001-08-21,780.310,780.310,780.310,780.310,0
2001-08-22,781.050,781.050,781.050,781.050,0
2001-08-23,778.740,778.740,778.740,778.740,0
2001-08-24,771.430,771.430,771.430,771.430,0
2001-08-27,770.260,770.260,770.260,770.260,0
2001-08-28,769.880,769.880,769.880,769.880,0
2001-08-29,764.230,764.230,764.230,764.230,0
2001-08-30,771.800,771.800,771.800,771.800,0
2001-08-31,776.070,776.070,776.070,776.070,0
2001-09-03,780.610,780.610,780.610,780.610,0
2001-09-04,773.800,773.800,773.800,773.800,0
2001-09-05,773.120,773.120,773.120,773.120,0
2001-09-06,776.090,776.090,776.090,776.090,0
2001-09-07,767.460,767.460,767.460,767.460,0
2001-09-10,758.760,758.760,758.760,758.760,0
2001-09-11,754.170,754.170,754.170,754.170,0
2001-09-12,740.510,740.510,740.510,740.510,0
2001-09-13,769.070,769.070,769.070,769.070,0
2001-09-14,757.500,757.500,757.500,757.500,0
2001-09-17,737.800,737.800,737.800,737.800,0
2001-09-18,734.730,734.730,734.730,734.730,0
2001-09-19,729.970,729.970,729.970,729.970,0
2001-09-20,719.350,719.350,719.350,719.350,0
2001-09-21,706.580,706.580,706.580,706.580,0
2001-09-24,685.970,685.970,685.970,685.970,0
2001-09-25,701.290,701.290,701.290,701.290,0
2001-09-26,713.890,713.890,713.890,713.890,0
2001-09-27,715.830,715.830,715.830,715.830,0
2001-09-28,713.750,713.750,713.750,713.750,0
2001-10-01,708.310,708.310,708.310,708.310,0
2001-10-02,719.480,719.480,719.480,719.480,0
2001-10-03,713.930,713.930,713.930,713.930,0
2001-10-04,707.590,707.590,707.590,707.590,0
2001-10-05,708.560,708.560,708.560,708.560,0
2001-10-08,704.720,704.720,704.720,704.720,0
2001-10-09,712.300,712.300,712.300,712.300,0
2001-10-10,696.640,696.640,696.640,696.640,0
2001-10-11,688.500,688.500,688.500,688.500,0
2001-10-12,684.820,684.820,684.820,684.820,0
2001-10-15,673.830,673.830,673.830,673.830,0
2001-10-16,693.170,693.170,693.170,693.170,0
2001-10-17,689.830,689.830,689.830,689.830,0
2001-10-18,704.280,704.280,704.280,704.280,0
2001-10-19,709.930,709.930,709.930,709.930,0
2001-10-22,710.680,710.680,710.680,710.680,0
2001-10-23,716.990,716.990,716.990,716.990,0
2001-10-24,712.970,712.970,712.970,712.970,0
2001-10-25,722.030,722.030,722.030,722.030,0
2001-10-26,722.130,722.130,722.130,722.130,0
2001-10-29,716.460,716.460,716.460,716.460,0
