date,open,high,low,close,volume
2007-02-01,2.102,2.102,2.102,2.102,6464
2007-02-02,2.126,2.126,2.110,2.116,324416
2007-02-05,2.122,2.125,2.117,2.121,330896
2007-02-06,2.111,2.111,2.088,2.108,201160
2007-02-07,2.128,2.152,2.128,2.137,227128
2007-02-08,2.128,2.151,2.128,2.151,434728
2007-02-09,2.153,2.153,2.086,2.086,304928
2007-02-12,2.070,2.078,2.068,2.074,227128
2007-02-13,2.082,2.082,2.067,2.079,32400
2007-02-14,2.096,2.147,2.096,2.140,210864
2007-02-15,2.147,2.156,2.141,2.154,266032
2007-02-16,2.125,2.125,2.125,2.125,97288
2007-02-20,2.118,2.158,2.112,2.157,74640
2007-02-21,2.141,2.145,2.141,2.145,171944
2007-02-22,2.181,2.192,2.157,2.162,992728
2007-02-23,2.168,2.170,2.158,2.169,499600
2007-02-26,2.157,2.157,2.141,2.141,655352
2007-02-27,2.054,2.082,1.963,1.969,3224720
2007-02-28,1.963,2.009,1.963,2.009,42208
2007-03-01,1.973,1.973,1.973,1.973,6464
2007-03-02,1.969,1.969,1.954,1.954,9688
2007-03-05,1.894,1.928,1.893,1.893,55152
2007-03-06,1.936,1.952,1.936,1.952,12936
2007-03-07,1.952,1.956,1.942,1.942,48688
2007-03-12,1.984,1.989,1.984,1.989,9688
2007-03-13,1.971,1.982,1.921,1.921,16192
2007-03-14,1.955,1.955,1.955,1.955,6464
2007-03-15,1.955,1.955,1.951,1.951,19432
2007-03-20,1.981,2.007,1.981,1.991,51928
2007-03-21,2.016,2.064,2.000,2.064,120080
2007-03-22,2.055,2.055,2.044,2.044,38936
2007-03-23,2.055,2.055,2.055,2.055,6464
2007-03-26,2.048,2.048,2.048,2.048,9688
2007-03-28,2.019,2.019,2.019,2.019,3216
2007-04-03,2.021,2.037,2.021,2.037,22688
2007-04-10,2.064,2.064,2.059,2.063,12936
2007-04-13,2.046,2.084,2.046,2.079,68144
2007-04-16,2.103,2.110,2.103,2.110,9688
2007-04-17,2.128,2.128,2.121,2.121,55152
2007-04-18,2.121,2.129,2.116,2.116,197888
2007-04-19,2.113,2.127,2.112,2.112,220608
2007-04-20,2.129,2.142,2.129,2.142,35664
2007-04-23,2.147,2.147,2.146,2.146,12936
2007-04-24,2.145,2.161,2.145,2.161,22688
2007-04-25,2.184,2.210,2.166,2.206,25936
2007-04-26,2.223,2.223,2.210,2.210,29184
2007-04-27,2.222,2.233,2.222,2.223,107024
2007-04-30,2.221,2.221,2.186,2.186,12936
2007-05-01,2.178,2.194,2.154,2.194,149240
2007-05-02,2.207,2.221,2.207,2.221,58392
2007-05-03,2.259,2.259,2.242,2.247,25936
2007-05-04,2.259,2.264,2.252,2.264,77880
2007-05-07,2.272,2.272,2.264,2.264,9688
2007-05-08,2.254,2.284,2.254,2.280,155744
2007-05-09,2.268,2.292,2.264,2.291,25936
2007-05-10,2.252,2.256,2.242,2.242,392536
2007-05-11,2.303,2.312,2.303,2.312,97288
2007-05-14,2.312,2.312,2.256,2.256,165416
2007-05-15,2.286,2.291,2.238,2.238,68144
2007-05-16,2.245,2.277,2.244,2.275,29184
2007-05-17,2.276,2.276,2.221,2.271,45480
2007-05-18,2.280,2.301,2.272,2.298,129776
2007-05-21,2.308,2.341,2.308,2.318,56544
2007-05-22,2.329,2.343,2.327,2.341,97288
2007-05-23,2.332,2.340,2.300,2.301,103784
2007-05-24,2.279,2.298,2.184,2.196,74640
2007-05-25,2.221,2.254,2.221,2.245,42208
2007-05-29,2.294,2.294,2.280,2.280,648840
2007-05-30,2.264,2.311,2.264,2.310,12936
2007-05-31,2.322,2.352,2.322,2.340,736416
2007-06-01,2.383,2.383,2.358,2.360,58392
2007-06-04,2.354,2.365,2.350,2.365,51928
2007-06-05,2.355,2.358,2.355,2.358,9688
2007-06-06,2.324,2.324,2.151,2.322,45480
2007-06-07,2.295,2.458,2.242,2.242,210864
2007-06-08,2.246,2.303,2.246,2.303,587192
2007-06-11,2.312,2.321,2.294,2.296,389296
2007-06-12,2.257,2.269,2.257,2.269,74640
2007-06-13,2.276,2.297,2.276,2.297,29184
2007-06-14,2.319,2.356,2.319,2.354,90800
2007-06-15,2.382,2.394,2.378,2.389,129776
2007-06-18,2.404,2.404,2.382,2.399,269264
2007-06-19,2.379,2.409,2.379,2.408,84352
2007-06-20,2.410,2.410,2.371,2.382,126552
2007-06-21,2.380,2.405,2.380,2.404,25936
2007-06-22,2.362,2.365,2.357,2.361,295200
2007-06-25,2.372,2.381,2.316,2.330,295200
2007-06-26,2.326,2.340,2.300,2.300,12936
2007-06-27,2.326,2.378,2.326,2.378,817544
2007-06-29,2.403,2.403,2.349,2.349,55152
2007-07-02,2.388,2.393,2.388,2.393,402264
2007-07-03,2.409,2.432,2.409,2.432,35664
2007-07-05,2.439,2.464,2.432,2.464,61640
2007-07-06,2.449,2.469,2.449,2.462,94080
2007-07-09,2.480,2.483,2.475,2.479,204400
2007-07-10,2.464,2.475,2.436,2.444,201160
2007-07-11,2.449,2.454,2.438,2.454,162184
2007-07-12,2.487,2.568,2.487,2.564,337432
2007-07-13,2.565,2.574,2.551,2.574,616392
2007-07-16,2.570,2.590,2.560,2.573,275736
2007-07-17,2.597,2.636,2.587,2.621,1508568
2007-07-18,2.574,2.574,2.527,2.574,382792
2007-07-19,2.633,2.658,2.628,2.649,1524776
2007-07-20,2.622,2.622,2.567,2.590,814312
2007-07-23,2.602,2.627,2.600,2.615,327632
2007-07-24,2.557,2.602,2.506,2.514,733192
2007-07-25,2.528,2.545,2.485,2.518,548232
2007-07-26,2.487,2.517,2.392,2.455,704000
2007-07-27,2.483,2.545,2.372,2.372,1310640
2007-07-30,2.358,2.410,2.358,2.386,434728
2007-07-31,2.423,2.426,2.297,2.297,1816760
2007-08-01,2.292,2.363,2.275,2.347,905104
2007-08-02,2.372,2.404,2.357,2.394,266032
2007-08-03,2.388,2.388,2.280,2.282,295200
2007-08-06,2.283,2.328,2.249,2.328,665072
2007-08-07,2.318,2.360,2.273,2.325,402264
2007-08-08,2.387,2.430,2.375,2.383,742912
2007-08-09,2.375,2.421,2.300,2.300,470408
2007-08-10,2.252,2.333,2.206,2.310,1959536
2007-08-13,2.326,2.354,2.317,2.317,506112
2007-08-14,2.341,2.341,2.243,2.252,700768
2007-08-15,2.138,2.272,2.138,2.145,434728
2007-08-16,2.129,2.163,2.020,2.132,1466392
2007-08-17,2.612,2.612,2.117,2.204,1213320
2007-08-20,2.210,2.229,2.184,2.208,259560
2007-08-21,2.222,2.247,2.196,2.229,262784
2007-08-22,2.258,2.284,2.253,2.284,609920
2007-08-23,2.294,2.294,2.252,2.273,447688
2007-08-24,2.276,2.346,2.276,2.342,522344
2007-08-27,2.328,2.345,2.314,2.314,587192
2007-08-28,2.300,2.300,2.211,2.211,298448
2007-08-29,2.270,2.339,2.251,2.338,778608
2007-08-30,2.328,2.403,2.324,2.360,1433936
2007-08-31,2.404,2.426,2.385,2.426,622840
2007-09-04,2.426,2.525,2.426,2.496,1813520
2007-09-05,2.456,2.475,2.420,2.452,1015432
2007-09-06,2.445,2.466,2.421,2.462,509376
2007-09-07,2.369,2.394,2.339,2.365,1472896
2007-09-10,2.406,2.411,2.324,2.364,960264
2007-09-11,2.384,2.434,2.384,2.417,778608
2007-09-12,2.412,2.448,2.394,2.402,1261960
2007-09-13,2.402,2.422,2.387,2.394,723440
2007-09-14,2.350,2.384,2.342,2.376,1287928
2007-09-17,2.362,2.366,2.342,2.352,343920
2007-09-18,2.377,2.445,2.360,2.433,421784
2007-09-19,2.484,2.499,2.448,2.460,1077120
2007-09-20,2.465,2.487,2.465,2.476,463928
2007-09-21,2.511,2.527,2.499,2.515,551528
2007-09-24,2.528,2.567,2.511,2.519,570976
2007-09-25,2.514,2.569,2.512,2.569,1158136
2007-09-26,2.604,2.614,2.571,2.581,908344
2007-09-27,2.604,2.607,2.585,2.597,230352
2007-09-28,2.598,2.598,2.564,2.580,704000
2007-10-01,2.582,2.659,2.582,2.647,1265184
2007-10-02,2.656,2.666,2.638,2.662,535264
2007-10-03,2.626,2.632,2.584,2.604,3208512
2007-10-04,2.576,2.602,2.569,2.602,1180880
2007-10-05,2.646,2.676,2.626,2.667,1463168
2007-10-08,2.667,2.707,2.667,2.706,603456
2007-10-09,2.735,2.736,2.693,2.735,969976
2007-10-10,2.746,2.754,2.720,2.752,736416
2007-10-11,2.779,2.801,2.637,2.683,1310640
2007-10-12,2.690,2.740,2.690,2.724,616392
2007-10-15,2.726,2.740,2.665,2.689,729936
2007-10-16,2.677,2.706,2.668,2.684,759128
2007-10-17,2.750,2.766,2.692,2.759,1077120
2007-10-18,2.750,2.783,2.723,2.768,622840
2007-10-19,2.731,2.731,2.622,2.627,1440416
2007-10-22,2.612,2.685,2.612,2.670,1651320
2007-10-23,2.732,2.761,2.697,2.760,924632
2007-10-24,2.706,2.716,2.581,2.688,3734088
2007-10-25,2.698,2.728,2.633,2.678,2543456
2007-10-26,2.792,2.793,2.750,2.791,2329328
2007-10-29,2.828,2.845,2.794,2.820,1531280
2007-10-30,2.810,2.858,2.801,2.838,1229584
2007-10-31,2.873,2.998,2.823,2.927,3065784
2007-11-01,2.898,2.920,2.830,2.846,2319640
2007-11-02,2.893,2.900,2.809,2.879,1553976
2007-11-05,2.705,2.892,2.705,2.875,1025960
2007-11-06,2.922,2.924,2.846,2.917,1021904
2007-11-07,2.869,2.893,2.764,2.791,1881688
2007-11-08,2.642,2.702,2.468,2.568,5784432
2007-11-09,2.484,2.484,2.388,2.406,4730128
2007-11-12,2.376,2.431,2.319,2.322,1738944
2007-11-13,2.361,2.505,2.361,2.493,2232040
2007-11-14,2.541,2.541,2.417,2.447,1077120
2007-11-15,2.426,2.455,2.372,2.402,720192
2007-11-16,2.432,2.458,2.374,2.451,509376
2007-11-19,2.438,2.463,2.371,2.432,681312
2007-11-20,2.432,2.462,2.312,2.404,2822704
2007-11-21,2.354,2.404,2.296,2.321,1879040
