date,open,high,low,close,volume
1990-01-02,168.310,169.960,168.220,169.950,162070000
1990-01-03,169.960,170.800,169.960,170.790,192330000
1990-01-04,170.780,170.790,169.580,170.090,177000000
1990-01-05,170.090,170.120,169.440,169.650,158530000
1990-01-08,169.670,169.680,169.050,169.550,140110000
1990-01-09,169.540,169.860,169.240,169.300,155210000
1990-01-10,169.310,169.310,167.810,167.940,175990000
1990-01-11,167.930,168.370,167.820,168.010,154390000
1990-01-12,168.020,168.020,164.230,164.370,183880000
1990-01-15,164.370,164.370,162.850,162.930,140590000
1990-01-16,162.940,163.300,161.340,163.300,186070000
1990-01-17,163.310,164.260,163.310,163.510,170470000
1990-01-18,163.500,163.500,162.330,162.760,178590000
1990-01-19,162.770,163.590,162.770,163.570,185590000
1990-01-22,163.570,163.690,161.030,161.130,148380000
1990-01-23,161.140,161.370,159.930,160.410,179300000
1990-01-24,160.420,160.420,156.980,158.160,207830000
1990-01-25,158.170,158.930,157.790,157.990,172270000
1990-01-26,157.980,157.980,156.220,156.610,198190000
1990-01-29,156.600,156.750,154.690,154.940,150770000
1990-01-30,154.950,154.970,152.440,152.620,186030000
1990-01-31,152.610,153.530,152.610,153.270,189660000
1990-02-01,153.270,154.360,153.270,154.360,154580000
1990-02-02,154.370,156.030,154.200,156.000,164400000
1990-02-05,156.000,156.890,156.000,156.890,130950000
1990-02-06,156.470,156.900,156.330,156.900,134070000
1990-02-07,156.890,158.250,156.370,158.250,186710000
1990-02-08,158.230,159.220,158.230,158.590,176240000
1990-02-09,158.630,159.140,158.630,159.130,146910000
1990-02-12,159.130,159.200,158.340,158.500,118390000
1990-02-13,158.500,158.590,157.920,158.190,144490000
1990-02-14,158.180,158.570,157.960,158.220,138530000
1990-02-15,158.230,159.200,158.230,159.200,174620000
1990-02-16,159.200,160.350,159.200,159.300,166840000
1990-02-20,159.310,159.310,157.380,157.860,147300000
1990-02-21,157.850,157.850,156.150,157.050,159240000
1990-02-22,157.050,158.270,157.050,157.800,184320000
1990-02-23,157.790,157.790,156.200,156.640,148490000
1990-02-26,156.640,156.640,155.970,156.350,148900000
1990-02-27,156.350,156.980,156.350,156.840,152590000
1990-02-28,156.840,157.880,156.830,157.720,184400000
1990-03-01,157.710,158.060,157.390,158.040,157930000
1990-03-02,158.040,159.190,158.040,159.190,164330000
1990-03-05,159.190,159.470,159.060,159.290,140110000
1990-03-06,159.300,160.400,159.290,160.400,143640000
1990-03-07,160.380,160.920,160.380,160.900,163580000
1990-03-08,160.890,162.070,160.890,162.070,170900000
1990-03-09,162.080,162.200,161.720,162.080,150410000
1990-03-12,162.070,162.230,161.730,162.230,114790000
1990-03-13,162.230,162.630,161.960,162.060,145440000
1990-03-14,162.060,162.790,162.060,162.780,145060000
1990-03-15,162.790,163.320,162.790,163.260,144410000
1990-03-16,163.260,164.290,163.240,164.210,222520000
1990-03-19,164.210,164.380,163.420,164.380,142300000
1990-03-20,164.510,164.840,164.090,164.240,177320000
1990-03-21,164.260,164.350,164.050,164.240,130990000
1990-03-22,164.240,164.250,162.320,162.740,175930000
1990-03-23,162.740,163.630,162.740,163.620,132070000
1990-03-26,163.620,164.120,163.620,163.820,116110000
1990-03-27,163.810,164.080,163.350,164.070,131610000
1990-03-28,164.070,164.080,163.510,163.800,142300000
1990-03-29,163.790,163.810,163.230,163.410,132190000
1990-03-30,163.410,163.640,162.660,163.630,139340000
1990-04-02,163.630,163.630,161.840,162.340,124360000
1990-04-03,162.340,163.440,162.340,163.400,154310000
1990-04-04,163.390,163.670,162.760,162.840,159530000
1990-04-05,162.840,163.140,162.720,162.780,144170000
1990-04-06,162.770,163.000,162.190,162.380,137490000
1990-04-09,162.380,162.400,161.460,161.460,114970000
1990-04-10,161.460,161.950,161.450,161.910,136020000
1990-04-11,161.920,162.170,161.850,162.170,141080000
1990-04-12,162.170,162.630,162.170,162.580,142470000
1990-04-16,162.570,163.060,162.410,162.520,142810000
1990-04-17,162.530,162.530,161.710,162.240,127990000
1990-04-18,162.250,162.440,161.170,161.400,147130000
1990-04-19,161.400,161.400,160.720,160.820,152930000
1990-04-20,160.810,160.930,159.630,160.060,174260000
1990-04-23,160.050,160.080,158.060,158.480,136150000
1990-04-24,158.480,159.000,158.210,158.360,137360000
1990-04-25,158.340,158.630,158.330,158.620,133480000
1990-04-26,158.630,159.070,158.310,158.730,141330000
1990-04-27,158.720,158.790,157.660,157.820,130630000
1990-04-30,157.800,158.090,157.410,158.090,122750000
1990-05-01,158.090,158.540,158.090,158.490,149020000
1990-05-02,158.500,159.140,158.500,159.130,141610000
1990-05-03,159.120,159.960,159.120,159.720,145560000
1990-05-04,159.710,160.390,159.710,160.390,140550000
1990-05-07,160.400,160.740,160.390,160.730,132760000
1990-05-08,160.730,160.930,160.650,160.690,144230000
1990-05-09,160.900,161.130,160.790,161.080,152220000
1990-05-10,161.060,161.680,160.920,161.670,158460000
1990-05-11,161.680,163.140,161.680,163.120,234040000
1990-05-14,163.130,164.220,163.130,163.840,225410000
1990-05-15,163.850,163.860,163.400,163.660,165730000
1990-05-16,163.660,163.860,163.130,163.860,159810000
1990-05-17,163.870,164.910,163.850,164.810,164770000
1990-05-18,164.910,165.440,164.630,165.440,162520000
1990-05-21,165.430,166.650,165.420,166.650,166280000
1990-05-22,166.650,167.410,166.630,167.220,203350000
1990-05-23,167.220,167.810,166.970,167.800,172330000
1990-05-24,167.810,168.250,167.770,167.940,155140000
1990-05-25,168.050,168.050,166.810,167.290,120250000
1990-05-29,167.300,168.200,167.270,168.200,137410000
1990-05-30,168.200,168.930,168.200,168.670,199540000
1990-05-31,168.680,169.110,168.300,168.910,165690000
1990-06-01,168.910,169.830,168.910,169.700,187860000
1990-06-04,169.710,170.650,169.580,170.620,175520000
1990-06-05,170.630,171.080,170.100,170.230,199720000
1990-06-06,170.230,170.230,169.690,169.910,164030000
1990-06-07,169.900,170.290,169.330,169.800,160360000
1990-06-08,169.800,169.810,168.510,168.930,142600000
1990-06-11,168.930,169.090,168.410,169.090,119550000
1990-06-12,169.090,170.030,169.080,170.030,157100000
1990-06-13,170.030,170.980,170.030,170.870,158910000
1990-06-14,170.870,170.880,170.260,170.630,135770000
1990-06-15,170.630,170.960,170.300,170.900,205130000
1990-06-18,170.900,170.900,168.680,168.720,133470000
1990-06-19,168.730,168.740,168.380,168.380,134930000
1990-06-20,168.370,168.740,167.950,168.120,137420000
1990-06-21,168.210,168.450,168.000,168.440,138570000
1990-06-22,168.440,168.820,168.000,168.010,172570000
1990-06-25,168.000,168.130,167.100,167.130,133100000
1990-06-26,167.130,167.660,166.870,166.890,141420000
1990-06-27,166.880,167.250,166.530,167.240,146620000
1990-06-28,167.240,168.410,167.240,168.410,136120000
1990-06-29,168.400,169.140,168.400,169.120,145510000
1990-07-02,169.120,169.120,168.680,169.000,130200000
1990-07-03,169.000,169.010,168.720,168.940,130050000
1990-07-05,168.940,168.940,167.820,168.020,128320000
1990-07-06,168.010,168.200,167.600,168.200,111730000
1990-07-09,168.200,168.310,167.890,168.110,119390000
1990-07-10,168.120,168.230,167.630,167.690,147630000
1990-07-11,167.680,168.680,167.680,168.660,162220000
1990-07-12,168.670,169.430,168.580,169.430,211510000
1990-07-13,169.430,170.470,169.420,170.040,215600000
1990-07-16,170.060,170.230,169.870,169.970,149450000
1990-07-17,170.030,170.040,168.490,168.890,176790000
1990-07-18,168.890,168.920,167.520,167.860,168760000
1990-07-19,167.860,167.860,166.430,167.020,161990000
1990-07-20,167.040,167.550,166.810,166.820,177810000
1990-07-23,166.820,166.820,161.900,162.870,209030000
1990-07-24,162.890,163.240,162.190,163.240,181920000
1990-07-25,163.250,163.790,163.190,163.690,163530000
1990-07-26,163.690,164.550,163.680,164.080,155040000
1990-07-27,164.080,164.090,162.980,163.170,149070000
1990-07-30,163.170,163.170,161.450,161.950,146470000
1990-07-31,161.950,162.160,161.220,161.510,173810000
1990-08-01,161.500,161.650,160.520,160.760,176810000
1990-08-02,160.780,160.780,158.150,158.580,253090000
1990-08-03,158.600,158.600,152.280,154.350,292360000
1990-08-06,154.350,154.350,148.740,149.010,240400000
