date,open,high,low,close,volume
2000-05-26,45.531,45.719,45.312,32.668,74800
2000-05-30,46.375,47.406,46.375,33.874,57600
2000-05-31,47.562,48.188,47.562,33.997,36000
2000-06-01,48.555,48.656,48.555,34.767,7000
2000-06-02,50.859,51.188,50.859,36.576,29400
2000-06-05,51.062,51.562,50.938,36.442,48400
2000-06-06,51.805,52.406,51.344,36.799,151800
2000-06-07,51.188,51.562,50.719,36.844,131000
2000-06-08,52.125,52.125,51.438,36.754,91400
2000-06-09,51.938,52.344,51.906,37.402,41600
2000-06-12,52.500,52.500,50.750,36.291,85200
2000-06-13,50.664,51.438,50.188,36.754,168200
2000-06-14,51.859,51.859,51.188,36.576,43200
2000-06-15,50.875,51.250,50.383,36.620,26800
2000-06-16,51.469,51.500,50.969,36.419,30200
2000-06-19,51.250,52.250,51.016,37.335,59200
2000-06-20,52.328,52.672,52.125,37.581,47000
2000-06-21,52.125,52.938,52.125,37.781,66800
2000-06-22,53.000,53.000,51.250,36.641,139600
2000-06-23,51.750,51.750,50.500,36.396,235800
2000-06-26,51.109,51.531,50.875,36.842,93600
2000-06-27,51.609,52.062,50.719,36.262,112800
2000-06-28,50.938,52.188,50.938,37.178,170600
2000-06-29,51.750,51.844,51.031,36.597,212200
2000-06-30,51.219,51.680,50.797,36.949,1171800
2000-07-03,51.562,52.406,51.500,37.468,15800
2000-07-05,52.109,52.125,51.633,37.044,138800
2000-07-06,51.828,52.422,51.344,37.479,154600
2000-07-07,52.430,52.953,52.430,37.714,71800
2000-07-10,52.719,53.281,52.719,37.960,44800
2000-07-11,53.000,53.297,52.844,37.915,253200
2000-07-12,53.312,54.094,53.250,38.675,45200
2000-07-13,54.141,54.266,54.000,38.797,102600
2000-07-14,54.547,54.547,53.875,38.831,54800
2000-07-17,54.359,54.594,54.219,38.965,46600
2000-07-18,54.141,54.141,53.562,38.295,235400
2000-07-19,53.391,53.391,52.625,37.624,35400
2000-07-20,53.125,53.500,53.125,38.250,150400
2000-07-21,53.188,53.188,52.031,37.200,150600
2000-07-24,52.312,52.312,51.164,36.658,37000
2000-07-25,51.680,51.680,51.062,36.731,36800
2000-07-26,51.000,51.281,50.469,36.664,15800
2000-07-27,51.180,51.180,49.875,35.658,275000
2000-07-28,50.164,50.164,48.875,35.033,171600
2000-07-31,49.250,50.250,48.688,35.926,166400
2000-08-01,49.875,50.062,49.641,35.692,263400
2000-08-02,49.625,50.281,49.500,35.748,388600
2000-08-03,49.031,50.062,49.031,35.725,1084200
2000-08-04,50.562,50.578,49.922,35.904,570400
2000-08-07,50.406,51.148,50.406,36.569,88200
2000-08-08,51.000,51.156,50.906,36.396,49600
2000-08-09,51.281,51.281,50.539,36.133,23000
2000-08-10,50.547,50.594,50.094,35.926,43000
2000-08-11,49.750,51.125,49.750,36.552,176000
2000-08-14,50.969,51.656,50.938,36.932,56800
2000-08-15,51.547,51.625,50.906,36.396,189200
2000-08-16,51.125,51.531,50.938,36.574,219400
2000-08-17,51.344,51.844,51.219,36.909,358800
2000-08-18,51.812,51.938,51.438,36.854,52200
2000-08-21,51.875,51.922,51.406,36.988,129200
2000-08-22,51.766,52.094,51.656,36.932,195600
2000-08-23,51.594,51.750,51.375,36.876,153000
2000-08-24,51.859,52.625,51.859,37.423,276200
2000-08-25,52.375,52.688,52.219,37.580,208600
2000-08-28,52.812,53.125,52.562,37.647,156000
2000-08-29,52.781,53.156,52.625,38.004,140200
2000-08-30,53.109,53.406,52.922,38.049,619000
2000-08-31,53.406,54.156,53.406,38.429,151200
2000-09-01,54.000,54.281,53.742,38.742,186800
2000-09-05,54.117,54.281,53.812,38.473,110400
2000-09-06,54.062,54.062,53.500,38.306,217800
2000-09-07,53.812,54.406,53.812,38.876,213800
2000-09-08,54.102,54.219,53.438,38.205,128600
2000-09-11,53.711,53.914,53.312,38.250,314600
2000-09-12,53.812,53.812,53.250,38.127,93000
2000-09-13,53.094,53.688,53.094,38.317,81200
2000-09-14,53.828,54.109,53.586,38.540,114000
2000-09-15,53.625,53.688,52.812,37.826,67000
2000-09-18,53.141,53.141,51.508,36.932,201400
2000-09-19,51.984,52.719,51.633,37.535,54800
2000-09-20,52.312,52.312,51.625,37.237,40400
2000-09-21,52.000,52.000,50.938,36.542,207400
2000-09-22,50.000,51.594,50.000,37.013,127600
2000-09-25,52.180,52.180,51.625,37.057,113800
2000-09-26,51.625,51.625,50.656,36.531,65200
2000-09-27,51.156,51.406,50.500,36.363,43600
2000-09-28,50.812,52.156,50.781,37.349,121000
2000-09-29,52.016,52.195,51.812,37.170,130400
2000-10-02,52.203,52.203,50.969,36.564,169600
2000-10-03,51.586,51.586,50.227,36.032,151000
2000-10-04,50.453,50.578,49.812,36.284,99800
2000-10-05,50.625,50.812,50.031,35.914,408800
2000-10-06,50.156,50.156,48.781,35.040,185600
2000-10-09,48.875,48.875,48.312,34.961,361800
2000-10-10,48.797,49.055,47.562,34.121,420400
2000-10-11,47.719,47.812,47.000,34.009,168200
2000-10-12,47.844,47.844,45.969,32.977,161400
2000-10-13,46.094,48.141,46.062,34.255,378800
2000-10-16,48.000,48.531,47.719,34.524,1098000
2000-10-17,48.125,48.258,46.570,33.656,265800
2000-10-18,45.820,46.812,45.625,33.381,343600
2000-10-19,47.281,48.094,47.281,34.412,150600
2000-10-20,48.344,49.031,48.320,34.849,264800
2000-10-23,48.844,49.125,48.664,35.197,143200
2000-10-24,49.219,49.531,48.344,34.681,73800
2000-10-25,48.250,48.500,47.266,33.908,33000
2000-10-26,47.711,48.000,46.844,34.435,105800
2000-10-27,47.625,48.250,47.625,34.457,138800
2000-10-30,47.938,48.531,47.531,34.614,73600
2000-10-31,48.438,49.680,48.438,35.511,285000
2000-11-01,49.344,49.719,49.281,35.533,528200
2000-11-02,49.891,50.812,49.875,36.385,211800
2000-11-03,50.797,50.812,50.375,36.340,224200
2000-11-06,51.094,51.094,50.219,36.060,68200
2000-11-07,50.297,50.688,50.062,36.363,79400
2000-11-08,50.719,50.750,49.781,35.712,192600
2000-11-09,49.375,49.688,48.531,35.331,249000
2000-11-10,49.375,49.375,48.000,34.435,189000
2000-11-13,47.500,47.891,46.312,34.087,160800
2000-11-14,48.438,48.812,48.375,34.905,129600
2000-11-15,48.719,49.438,48.562,35.354,542200
2000-11-16,48.641,49.242,47.852,34.328,165400
2000-11-17,48.500,48.898,48.031,34.547,215400
2000-11-20,47.688,47.844,46.875,33.650,79800
2000-11-21,47.062,47.062,46.438,33.454,84400
2000-11-22,46.281,46.500,45.469,32.753,123400
2000-11-24,46.211,47.094,46.094,33.672,82200
2000-11-27,47.906,48.055,47.062,33.768,235600
2000-11-28,46.875,47.219,45.500,32.753,171000
2000-11-29,46.000,46.000,45.062,32.663,526800
2000-11-30,45.000,45.281,43.969,31.969,214600
2000-12-01,45.188,46.250,45.125,32.686,309200
2000-12-04,45.734,45.734,45.000,32.327,528200
2000-12-05,45.750,47.250,45.750,33.896,392400
2000-12-06,47.094,47.531,46.156,33.112,310800
2000-12-07,45.719,46.406,45.719,33.022,236200
2000-12-08,46.969,47.875,46.656,33.471,359600
2000-12-11,47.969,48.781,47.781,34.995,250800
2000-12-12,48.781,48.781,47.719,34.233,323200
2000-12-13,47.891,47.891,46.594,33.595,525400
2000-12-14,46.500,46.844,45.875,33.060,593800
2000-12-15,45.344,45.703,45.000,32.880,389000
2000-12-18,45.844,46.469,45.812,33.376,239600
2000-12-19,46.250,46.750,45.500,32.790,453800
2000-12-20,44.734,45.000,43.906,31.754,261400
2000-12-21,44.062,44.953,43.750,32.002,404600
2000-12-22,45.125,46.344,45.062,33.331,885600
2000-12-26,46.250,46.609,46.016,33.522,514000
