date,open,high,low,close,volume
2015-09-18,21.962,21.978,21.926,21.926,6431
2015-09-21,21.988,21.997,21.971,21.988,6317
2015-09-22,21.770,21.770,21.770,21.770,1149
2015-09-23,21.859,21.859,21.638,21.657,2756
2015-09-25,21.665,21.692,21.665,21.665,1036
2015-09-28,21.291,21.291,21.257,21.257,688
2015-09-29,21.726,21.770,21.638,21.770,920
2015-09-30,21.910,21.978,21.910,21.962,1036
2015-10-01,21.901,21.910,21.701,21.770,6431
2015-10-02,21.673,22.067,21.673,22.067,2067
2015-10-05,22.170,22.250,22.162,22.241,1724
2015-10-06,22.162,22.380,22.162,22.285,5626
2015-10-07,22.589,22.589,22.589,22.589,344
2015-10-08,22.946,23.225,22.895,23.225,7004
2015-10-09,23.146,23.163,23.086,23.086,1493
2015-10-12,23.278,23.278,23.006,23.006,458
2015-10-13,23.312,23.312,23.312,23.312,230
2015-10-14,23.146,23.218,23.146,23.218,4708
2015-10-15,22.964,23.068,22.919,23.068,920
2015-10-16,23.015,23.068,23.015,23.068,458
2015-10-19,23.243,23.243,23.243,23.243,230
2015-10-20,23.172,23.225,23.172,23.225,1078
2015-10-21,22.329,22.337,22.319,22.319,1265
2015-10-22,22.224,22.319,22.170,22.188,1036
2015-10-23,22.329,22.389,22.266,22.353,688
2015-10-26,22.006,22.006,22.006,22.006,230
2015-10-27,21.596,21.596,21.440,21.440,920
2015-10-28,21.770,21.770,21.770,21.770,688
2015-10-29,21.859,21.859,21.859,21.859,114
2015-10-30,21.735,21.735,21.735,21.735,114
2015-11-02,21.735,21.735,21.735,21.735,8
2015-11-03,21.143,21.247,21.143,21.247,803
2015-11-04,21.100,21.100,21.082,21.082,257
2015-11-05,21.082,21.082,21.082,21.082,114
2015-11-06,20.769,20.769,20.769,20.769,230
2015-11-10,21.049,21.049,21.049,21.049,344
2015-11-11,21.588,21.588,21.588,21.588,574
2015-11-13,21.247,21.247,21.247,21.247,574
2015-11-16,21.247,21.247,21.247,21.247,114
2015-11-17,21.064,21.064,21.064,21.064,114
2015-11-18,21.064,21.064,21.064,21.064,114
2015-11-25,21.064,21.064,21.064,21.064,114
2015-12-01,21.064,21.064,21.064,21.064,2
2015-12-03,22.024,22.024,21.953,21.953,6317
2015-12-04,21.988,22.092,21.988,22.092,1265
2015-12-07,21.726,21.726,21.726,21.726,1149
2015-12-08,21.318,21.318,21.318,21.318,1288
2015-12-09,21.370,21.370,21.361,21.361,2297
2015-12-10,21.309,21.412,21.309,21.412,5171
2015-12-11,20.977,21.014,20.892,20.892,4133
2015-12-14,20.725,20.725,20.718,20.718,574
2015-12-18,21.472,21.472,21.301,21.301,5742
2015-12-21,21.300,21.300,21.300,21.300,114
2015-12-23,21.169,21.169,21.169,21.169,1609
2015-12-28,21.334,21.449,21.290,21.449,5981
2015-12-31,20.973,21.099,20.973,21.099,1675
2016-01-04,20.499,20.499,20.482,20.499,3553
2016-01-06,20.018,20.018,19.704,19.740,6285
2016-01-07,19.043,19.069,19.042,19.069,2525
2016-01-11,19.018,19.018,18.905,18.905,1269
2016-01-12,18.563,18.563,18.417,18.417,4594
2016-01-13,18.417,18.417,18.276,18.276,4714
2016-01-15,17.605,17.719,17.571,17.700,5855
2016-01-19,17.640,17.640,17.571,17.571,2983
2016-01-20,16.673,16.743,16.612,16.612,5945
2016-01-21,16.899,17.135,16.899,17.135,7804
2016-01-22,17.552,17.552,17.552,17.552,202
2016-01-25,17.248,17.257,17.209,17.240,9182
2016-01-26,17.468,17.468,17.468,17.468,1149
2016-01-27,17.640,17.640,17.640,17.640,1152
2016-01-28,18.303,18.346,18.224,18.294,8010
2016-02-02,17.893,17.893,17.798,17.814,2983
2016-02-03,18.129,18.311,18.129,18.311,2360
2016-02-08,18.198,18.198,18.198,18.198,230
2016-02-09,17.807,17.841,17.807,17.841,4593
2016-02-12,17.622,17.761,17.622,17.761,1835
2016-02-19,17.917,17.917,17.917,17.917,120
2016-02-22,18.625,18.625,18.625,18.625,547
2016-02-23,18.399,18.399,18.399,18.399,114
2016-03-01,18.997,19.191,18.997,19.191,728
2016-03-08,19.713,19.713,19.713,19.713,296
2016-03-10,19.539,19.539,19.539,19.539,230
2016-03-14,19.347,19.347,19.347,19.347,547
2016-03-24,19.340,19.340,19.340,19.340,286
2016-04-01,18.878,18.878,18.878,18.878,211
2016-04-06,19.304,19.304,19.304,19.304,516
2016-04-11,19.539,19.539,19.539,19.539,147
2016-04-12,19.879,20.176,19.859,20.147,36953
2016-04-13,19.817,19.817,19.810,19.810,2239
2016-04-14,20.019,20.028,20.018,20.027,1323
2016-04-18,19.879,19.879,19.879,19.879,115
2016-04-19,20.098,20.351,20.098,20.306,16336
2016-04-20,19.991,20.244,19.991,20.244,352
2016-04-25,21.344,21.344,21.222,21.328,20946
2016-04-26,20.925,20.925,20.865,20.865,1214
2016-04-27,21.099,21.239,21.048,21.196,1556
2016-04-28,21.152,21.230,21.135,21.194,1150
2016-04-29,21.196,21.196,21.104,21.104,2056
2016-05-02,20.863,20.863,20.751,20.822,4486
2016-05-03,20.627,20.645,20.627,20.645,1345
2016-05-05,20.776,20.776,20.776,20.776,120
2016-05-09,20.839,20.839,20.839,20.839,172
2016-05-10,20.959,21.126,20.959,21.126,704
