date,open,high,low,close,volume
2006-04-28,12.900,13.980,12.870,13.812,23432000
2006-05-01,13.920,14.179,13.750,13.870,14835000
2006-05-02,14.245,14.400,14.100,14.365,12511000
2006-05-03,14.450,14.464,13.413,13.925,15141000
2006-05-04,13.950,14.287,13.680,14.000,11075000
2006-05-05,14.000,14.030,13.750,13.995,6586000
2006-05-08,13.800,14.000,13.506,14.000,9453000
2006-05-09,14.098,14.625,14.060,14.500,11054000
2006-05-10,14.290,14.575,14.250,14.526,13913000
2006-05-11,15.082,15.250,14.800,14.860,12533000
2006-05-12,14.890,14.900,14.217,14.464,10129000
2006-05-15,13.394,13.780,13.204,13.270,12581000
2006-05-16,13.510,13.675,13.275,13.580,7200000
2006-05-17,13.555,13.748,12.921,13.090,7821000
2006-05-18,13.220,13.365,12.602,12.602,8020000
2006-05-19,12.291,12.683,12.168,12.600,8460000
2006-05-22,12.398,12.600,12.254,12.515,5949000
2006-05-23,12.985,13.252,12.890,13.045,8188000
2006-05-24,12.698,12.895,12.423,12.545,5349000
2006-05-25,12.555,12.790,12.439,12.685,4998000
2006-05-26,12.769,12.777,12.490,12.670,3477000
2006-05-30,13.200,13.360,13.028,13.097,6204000
2006-05-31,13.065,13.130,12.366,12.628,6342000
2006-06-01,11.825,12.256,11.810,12.040,8007000
2006-06-02,12.190,12.311,12.003,12.175,3807000
2006-06-05,12.280,12.380,12.076,12.092,4317000
2006-06-06,11.868,11.948,11.680,11.835,6764000
2006-06-07,11.595,12.043,11.530,11.870,6712000
2006-06-08,11.688,11.700,11.134,11.235,6754000
2006-06-09,11.500,11.550,11.103,11.192,4204000
2006-06-12,11.260,11.323,10.916,10.930,5380000
2006-06-13,10.373,10.450,9.563,9.625,20708000
2006-06-14,9.880,9.987,9.549,9.670,9620000
2006-06-15,10.140,10.351,10.025,10.264,8796000
2006-06-16,10.167,10.337,9.859,10.290,4103000
2006-06-19,10.002,10.092,9.915,9.947,3696000
2006-06-20,10.060,10.350,9.969,10.286,2978000
2006-06-21,10.264,10.626,10.246,10.500,3908000
2006-06-22,10.400,10.489,10.245,10.257,2434000
2006-06-23,10.205,10.475,10.187,10.353,5332000
2006-06-26,10.420,10.445,10.132,10.317,2010000
2006-06-27,10.499,10.688,10.214,10.214,5217000
2006-06-28,10.385,10.387,10.185,10.245,2816000
2006-06-29,10.409,10.800,10.409,10.782,6410000
2006-06-30,11.007,11.155,10.934,11.139,7536000
2006-07-03,11.319,11.468,11.270,11.380,2103000
2006-07-05,11.498,11.525,11.249,11.470,3619000
2006-07-06,11.420,11.675,11.325,11.599,3919000
2006-07-07,11.500,11.510,11.300,11.325,3436000
2006-07-10,11.157,11.258,11.051,11.084,2749000
2006-07-11,11.315,11.620,11.289,11.570,2908000
2006-07-12,11.730,11.830,11.375,11.592,5695000
2006-07-13,11.659,11.660,11.361,11.650,4515000
2006-07-14,11.652,11.710,11.474,11.499,2867000
2006-07-17,11.258,11.300,10.856,10.897,6461000
2006-07-18,11.069,11.078,10.470,10.595,4719000
2006-07-19,10.683,11.171,10.658,11.139,2368000
2006-07-20,11.001,11.290,10.891,10.900,2429000
2006-07-21,11.244,11.244,10.717,10.838,2633000
2006-07-24,10.803,10.920,10.630,10.918,3195000
2006-07-25,10.972,11.000,10.780,10.993,2733000
2006-07-26,10.944,11.178,10.865,11.107,2060000
2006-07-27,11.456,11.489,11.269,11.375,2943000
2006-07-28,11.350,11.425,11.301,11.400,1826000
2006-07-31,11.415,11.456,11.243,11.415,2537000
2006-08-01,11.414,11.766,11.400,11.760,2751000
2006-08-02,11.899,12.253,11.899,12.170,4575000
2006-08-03,12.115,12.225,11.995,12.080,2456000
2006-08-04,12.482,12.580,12.291,12.383,3716000
2006-08-07,12.475,12.475,12.164,12.310,3070000
2006-08-08,12.227,12.359,12.200,12.260,1655000
2006-08-09,12.430,12.650,12.430,12.518,3686000
2006-08-10,12.327,12.397,12.060,12.121,3909000
2006-08-11,12.266,12.372,11.776,11.919,4086000
2006-08-14,11.911,12.225,11.839,12.048,3472000
2006-08-15,12.015,12.127,11.950,12.105,1557000
2006-08-16,12.329,12.430,12.250,12.324,2334000
2006-08-17,12.205,12.205,11.905,11.967,2984000
2006-08-18,12.085,12.121,11.850,12.060,2293000
2006-08-21,12.371,12.442,12.321,12.412,2415000
2006-08-22,12.176,12.320,12.101,12.295,2165000
2006-08-23,12.600,12.635,12.412,12.500,3628000
2006-08-24,12.568,12.599,12.289,12.360,2887000
2006-08-25,12.346,12.435,12.292,12.420,1733000
2006-08-28,12.410,12.414,11.980,12.032,4205000
2006-08-29,12.059,12.290,11.853,12.275,3214000
2006-08-30,12.440,12.525,12.336,12.511,2982000
2006-08-31,12.656,12.917,12.620,12.908,4310000
