date,open,high,low,close,volume
1990-01-02,1499.500,1499.500,1499.500,1499.500,0
1990-01-03,1522.000,1522.000,1522.000,1522.000,0
1990-01-04,1534.200,1534.200,1534.200,1534.200,0
1990-01-05,1531.500,1531.500,1531.500,1531.500,0
1990-01-08,1547.200,1547.200,1547.200,1547.200,0
1990-01-09,1556.500,1556.500,1556.500,1556.500,0
1990-01-10,1569.500,1569.500,1569.500,1569.500,0
1990-01-11,1566.100,1566.100,1566.100,1566.100,0
1990-01-12,1559.200,1559.200,1559.200,1559.200,0
1990-01-15,1525.500,1525.500,1525.500,1525.500,0
1990-01-16,1512.500,1512.500,1512.500,1512.500,0
1990-01-17,1533.000,1533.000,1533.000,1533.000,0
1990-01-18,1532.800,1532.800,1532.800,1532.800,0
1990-01-19,1527.200,1527.200,1527.200,1527.200,0
1990-01-22,1535.400,1535.400,1535.400,1535.400,0
1990-01-23,1520.700,1520.700,1520.700,1520.700,0
1990-01-24,1495.300,1495.300,1495.300,1495.300,0
1990-01-25,1496.600,1496.600,1496.600,1496.600,0
1990-01-26,1489.500,1489.500,1489.500,1489.500,0
1990-01-30,1518.100,1518.100,1518.100,1518.100,0
1990-01-31,1515.000,1515.000,1515.000,1515.000,0
1990-02-01,1528.800,1528.800,1528.800,1528.800,0
1990-02-02,1549.100,1549.100,1549.100,1549.100,0
1990-02-05,1576.200,1576.200,1576.200,1576.200,0
1990-02-06,1582.700,1582.700,1582.700,1582.700,0
1990-02-07,1584.600,1584.600,1584.600,1584.600,0
1990-02-08,1588.800,1588.800,1588.800,1588.800,0
1990-02-09,1581.500,1581.500,1581.500,1581.500,0
1990-02-12,1593.800,1593.800,1593.800,1593.800,0
1990-02-13,1575.900,1575.900,1575.900,1575.900,0
1990-02-14,1564.700,1564.700,1564.700,1564.700,0
1990-02-15,1579.400,1579.400,1579.400,1579.400,0
1990-02-16,1584.800,1584.800,1584.800,1584.800,0
1990-02-19,1593.200,1593.200,1593.200,1593.200,0
1990-02-20,1595.400,1595.400,1595.400,1595.400,0
1990-02-21,1544.400,1544.400,1544.400,1544.400,0
1990-02-22,1562.500,1562.500,1562.500,1562.500,0
1990-02-23,1549.000,1549.000,1549.000,1549.000,0
1990-02-26,1506.600,1506.600,1506.600,1506.600,0
1990-02-27,1535.100,1535.100,1535.100,1535.100,0
1990-02-28,1550.100,1550.100,1550.100,1550.100,0
1990-03-01,1546.100,1546.100,1546.100,1546.100,0
1990-03-02,1551.500,1551.500,1551.500,1551.500,0
1990-03-05,1552.500,1552.500,1552.500,1552.500,0
1990-03-06,1552.600,1552.600,1552.600,1552.600,0
1990-03-07,1568.900,1568.900,1568.900,1568.900,0
1990-03-08,1576.000,1576.000,1576.000,1576.000,0
1990-03-09,1586.200,1586.200,1586.200,1586.200,0
1990-03-12,1582.100,1582.100,1582.100,1582.100,0
1990-03-13,1565.700,1565.700,1565.700,1565.700,0
1990-03-14,1564.800,1564.800,1564.800,1564.800,0
1990-03-15,1569.000,1569.000,1569.000,1569.000,0
1990-03-16,1571.000,1571.000,1571.000,1571.000,0
1990-03-19,1562.900,1562.900,1562.900,1562.900,0
1990-03-20,1564.100,1564.100,1564.100,1564.100,0
1990-03-21,1572.200,1572.200,1572.200,1572.200,0
1990-03-22,1569.900,1569.900,1569.900,1569.900,0
1990-03-23,1585.400,1585.400,1585.400,1585.400,0
1990-03-26,1604.100,1604.100,1604.100,1604.100,0
1990-03-27,1607.100,1607.100,1607.100,1607.100,0
1990-03-28,1605.200,1605.200,1605.200,1605.200,0
1990-03-29,1594.200,1594.200,1594.200,1594.200,0
1990-03-30,1581.100,1581.100,1581.100,1581.100,0
1990-04-02,1549.200,1549.200,1549.200,1549.200,0
1990-04-03,1555.900,1555.900,1555.900,1555.900,0
1990-04-04,1543.000,1543.000,1543.000,1543.000,0
1990-04-05,1528.400,1528.400,1528.400,1528.400,0
1990-04-06,1508.300,1508.300,1508.300,1508.300,0
1990-04-09,1505.800,1505.800,1505.800,1505.800,0
1990-04-10,1509.600,1509.600,1509.600,1509.600,0
1990-04-11,1522.500,1522.500,1522.500,1522.500,0
1990-04-12,1525.200,1525.200,1525.200,1525.200,0
1990-04-16,1531.000,1531.000,1531.000,1531.000,0
1990-04-17,1526.600,1526.600,1526.600,1526.600,0
1990-04-18,1534.100,1534.100,1534.100,1534.100,0
1990-04-19,1529.000,1529.000,1529.000,1529.000,0
1990-04-20,1520.600,1520.600,1520.600,1520.600,0
1990-04-23,1504.600,1504.600,1504.600,1504.600,0
1990-04-24,1479.000,1479.000,1479.000,1479.000,0
1990-04-25,1467.800,1467.800,1467.800,1467.800,0
1990-04-27,1470.400,1470.400,1470.400,1470.400,0
1990-04-30,1458.400,1458.400,1458.400,1458.400,0
1990-05-02,1458.800,1458.800,1458.800,1458.800,0
1990-05-03,1465.900,1465.900,1465.900,1465.900,0
1990-05-04,1479.900,1479.900,1479.900,1479.900,0
1990-05-07,1514.500,1514.500,1514.500,1514.500,0
1990-05-08,1516.400,1516.400,1516.400,1516.400,0
1990-05-10,1523.300,1523.300,1523.300,1523.300,0
1990-05-11,1532.300,1532.300,1532.300,1532.300,0
1990-05-14,1536.100,1536.100,1536.100,1536.100,0
1990-05-15,1530.900,1530.900,1530.900,1530.900,0
1990-05-16,1524.400,1524.400,1524.400,1524.400,0
1990-05-17,1528.900,1528.900,1528.900,1528.900,0
1990-05-18,1552.900,1552.900,1552.900,1552.900,0
1990-05-21,1571.000,1571.000,1571.000,1571.000,0
1990-05-22,1578.600,1578.600,1578.600,1578.600,0
1990-05-23,1573.000,1573.000,1573.000,1573.000,0
1990-05-24,1568.300,1568.300,1568.300,1568.300,0
1990-05-25,1565.400,1565.400,1565.400,1565.400,0
1990-05-28,1557.300,1557.300,1557.300,1557.300,0
1990-05-29,1558.200,1558.200,1558.200,1558.200,0
1990-05-30,1557.400,1557.400,1557.400,1557.400,0
1990-05-31,1553.600,1553.600,1553.600,1553.600,0
1990-06-01,1555.800,1555.800,1555.800,1555.800,0
1990-06-04,1552.500,1552.500,1552.500,1552.500,0
1990-06-05,1550.700,1550.700,1550.700,1550.700,0
1990-06-06,1550.900,1550.900,1550.900,1550.900,0
1990-06-07,1553.100,1553.100,1553.100,1553.100,0
1990-06-08,1568.100,1568.100,1568.100,1568.100,0
1990-06-11,1556.900,1556.900,1556.900,1556.900,0
1990-06-12,1540.800,1540.800,1540.800,1540.800,0
1990-06-13,1535.100,1535.100,1535.100,1535.100,0
1990-06-14,1531.100,1531.100,1531.100,1531.100,0
1990-06-15,1531.300,1531.300,1531.300,1531.300,0
1990-06-18,1545.700,1545.700,1545.700,1545.700,0
1990-06-19,1534.900,1534.900,1534.900,1534.900,0
1990-06-20,1535.900,1535.900,1535.900,1535.900,0
1990-06-21,1533.600,1533.600,1533.600,1533.600,0
1990-06-22,1532.900,1532.900,1532.900,1532.900,0
1990-06-25,1522.600,1522.600,1522.600,1522.600,0
1990-06-26,1523.600,1523.600,1523.600,1523.600,0
1990-06-27,1533.300,1533.300,1533.300,1533.300,0
1990-06-28,1531.700,1531.700,1531.700,1531.700,0
1990-06-29,1527.000,1527.000,1527.000,1527.000,0
1990-07-02,1524.400,1524.400,1524.400,1524.400,0
1990-07-04,1528.300,1528.300,1528.300,1528.300,0
1990-07-05,1533.500,1533.500,1533.500,1533.500,0
1990-07-06,1536.000,1536.000,1536.000,1536.000,0
1990-07-09,1532.500,1532.500,1532.500,1532.500,0
1990-07-10,1523.500,1523.500,1523.500,1523.500,0
1990-07-11,1523.700,1523.700,1523.700,1523.700,0
1990-07-12,1532.900,1532.900,1532.900,1532.900,0
1990-07-13,1564.400,1564.400,1564.400,1564.400,0
1990-07-16,1575.900,1575.900,1575.900,1575.900,0
1990-07-17,1571.000,1571.000,1571.000,1571.000,0
1990-07-18,1565.900,1565.900,1565.900,1565.900,0
1990-07-19,1567.600,1567.600,1567.600,1567.600,0
1990-07-20,1562.600,1562.600,1562.600,1562.600,0
1990-07-23,1566.400,1566.400,1566.400,1566.400,0
1990-07-24,1554.100,1554.100,1554.100,1554.100,0
1990-07-25,1561.200,1561.200,1561.200,1561.200,0
1990-07-26,1558.100,1558.100,1558.100,1558.100,0
1990-07-27,1565.500,1565.500,1565.500,1565.500,0
1990-07-30,1557.100,1557.100,1557.100,1557.100,0
1990-07-31,1554.800,1554.800,1554.800,1554.800,0
1990-08-01,1557.800,1557.800,1557.800,1557.800,0
1990-08-02,1532.500,1532.500,1532.500,1532.500,0
1990-08-03,1511.100,1511.100,1511.100,1511.100,0
1990-08-06,1415.000,1415.000,1415.000,1415.000,0
1990-08-07,1360.500,1360.500,1360.500,1360.500,0
1990-08-08,1375.700,1375.700,1375.700,1375.700,0
1990-08-10,1343.700,1343.700,1343.700,1343.700,0
1990-08-13,1288.900,1288.900,1288.900,1288.900,0
1990-08-14,1294.700,1294.700,1294.700,1294.700,0
1990-08-15,1330.400,1330.400,1330.400,1330.400,0
1990-08-16,1329.400,1329.400,1329.400,1329.400,0
1990-08-17,1314.100,1314.100,1314.100,1314.100,0
1990-08-20,1280.700,1280.700,1280.700,1280.700,0
1990-08-21,1248.900,1248.900,1248.900,1248.900,0
1990-08-22,1182.000,1182.000,1182.000,1182.000,0
1990-08-23,1127.900,1127.900,1127.900,1127.900,0
