date,open,high,low,close,volume
2011-07-06,20.200,20.310,20.060,19.494,339000
2011-07-07,20.520,20.580,20.400,19.705,730600
2011-07-08,20.310,20.420,20.170,19.619,779000
2011-07-11,20.320,20.320,19.840,19.129,317300
2011-07-12,19.980,19.980,19.650,18.918,233900
2011-07-13,19.900,20.050,19.750,19.062,332900
2011-07-14,19.960,19.960,19.380,18.687,173100
2011-07-15,19.780,19.780,19.450,18.850,156100
2011-07-18,19.630,19.630,19.260,18.649,212000
2011-07-19,19.640,20.040,19.640,19.254,273900
2011-07-20,20.140,20.140,19.580,18.841,240800
2011-07-21,19.640,19.660,19.360,18.639,185500
2011-07-22,19.510,19.810,19.470,18.975,153700
2011-07-25,19.680,19.730,19.500,18.812,96500
2011-07-26,19.660,19.720,19.460,18.918,118300
2011-07-27,19.520,19.520,18.930,18.235,216600
2011-07-28,18.910,19.190,18.860,18.235,158800
2011-07-29,18.750,19.070,18.600,18.120,163100
2011-08-01,19.250,19.250,18.510,18.014,122200
2011-08-02,18.700,18.780,18.200,17.496,145300
2011-08-03,18.400,18.530,17.920,17.794,220300
2011-08-04,18.350,18.350,17.590,16.900,179500
2011-08-05,17.980,17.980,16.810,16.698,199700
2011-08-08,16.650,16.900,16.120,15.516,138300
2011-08-09,16.470,17.000,15.980,16.285,232000
2011-08-10,16.720,16.900,16.370,15.737,60700
2011-08-11,16.380,17.280,16.380,16.429,110100
2011-08-12,17.340,17.420,17.110,16.660,48400
2011-08-15,17.360,17.620,17.320,16.910,71400
2011-08-16,17.530,17.530,17.090,16.564,75000
2011-08-17,17.390,17.390,16.700,16.227,65600
2011-08-18,16.190,16.190,15.420,14.950,127700
2011-08-19,15.400,15.770,15.010,14.565,94000
2011-08-22,15.280,15.600,15.200,14.681,30800
2011-08-23,15.470,16.050,15.300,15.401,45400
2011-08-24,16.150,16.190,15.790,15.478,53900
2011-08-25,16.250,16.250,15.690,15.103,42100
2011-08-26,15.680,16.310,15.590,15.622,47600
2011-08-29,16.500,16.870,16.460,16.199,80500
2011-08-30,16.820,17.080,16.660,16.333,37200
2011-08-31,17.110,17.390,16.980,16.400,61200
2011-09-01,17.060,17.260,16.810,16.160,70000
2011-09-02,16.560,16.560,16.190,15.718,40600
2011-09-06,15.970,16.240,15.790,15.603,39700
