date,open,high,low,close,volume
2000-06-05,48.750,50.250,48.156,41.901,296800
2000-06-06,49.250,50.125,47.312,40.176,445600
2000-06-07,47.875,48.500,46.594,40.840,431000
2000-06-08,49.406,49.438,47.906,41.025,390400
2000-06-09,49.125,49.500,48.531,41.875,195000
2000-06-12,49.625,49.625,47.312,40.256,112400
2000-06-13,47.500,49.406,46.656,41.954,389000
2000-06-14,49.406,49.438,47.281,40.150,195000
2000-06-15,47.375,48.344,46.625,40.495,217800
2000-06-16,47.750,48.469,47.281,40.760,173800
2000-06-19,48.188,51.250,47.812,43.520,436400
2000-06-20,51.750,52.875,51.500,44.157,497000
2000-06-21,51.312,52.594,51.250,44.342,371600
2000-06-22,51.750,51.750,49.500,42.140,782800
2000-06-23,49.688,50.094,48.625,41.397,685800
2000-06-26,49.188,49.688,48.188,41.397,308000
2000-06-27,49.125,49.219,47.188,40.070,472200
2000-06-28,47.312,48.562,47.312,40.282,457000
2000-06-29,46.875,47.188,45.625,39.354,563600
2000-06-30,46.500,47.406,46.156,39.911,916000
2000-07-03,46.938,48.125,46.875,40.813,105200
2000-07-05,45.250,45.781,44.062,37.629,2724400
2000-07-06,44.969,46.375,44.062,39.168,2786800
2000-07-07,47.125,48.375,46.906,40.442,359800
2000-07-10,47.750,48.344,47.250,40.389,187200
2000-07-11,47.500,48.562,46.281,39.752,446400
2000-07-12,47.938,48.594,47.219,40.734,229200
2000-07-13,49.000,49.969,48.719,41.768,288200
2000-07-14,50.125,50.688,49.375,43.042,272800
2000-07-17,50.688,51.562,50.000,43.706,331000
2000-07-18,50.500,50.656,49.000,41.795,434800
2000-07-19,49.156,49.156,46.875,40.309,745000
2000-07-20,47.719,48.656,46.344,39.672,544400
2000-07-21,46.031,46.250,44.375,38.053,1251400
2000-07-24,44.500,46.375,44.250,37.894,2472800
2000-07-25,46.312,46.469,45.156,39.407,548600
2000-07-26,44.625,45.062,43.281,37.682,1001600
2000-07-27,42.688,42.688,41.000,35.108,1052800
2000-07-28,41.938,42.500,40.125,34.789,2704800
2000-07-31,41.406,42.688,40.469,35.930,429600
2000-08-01,42.188,42.188,40.688,34.736,1313600
2000-08-02,40.906,42.250,40.188,34.391,604000
2000-08-03,37.625,40.438,37.625,34.338,2842000
2000-08-04,41.438,41.438,38.750,33.409,1529600
2000-08-07,39.250,40.812,38.844,34.391,550800
2000-08-08,40.625,41.062,40.250,34.418,412600
2000-08-09,42.125,42.562,41.562,35.426,719800
2000-08-10,41.562,41.969,40.562,34.577,1133200
2000-08-11,40.688,41.531,39.406,35.108,632200
2000-08-14,42.188,44.000,41.500,37.257,1006000
2000-08-15,44.250,45.750,44.250,38.478,1997200
2000-08-16,46.250,47.000,46.031,39.592,1496800
2000-08-17,46.500,47.875,46.156,40.362,745200
2000-08-18,48.750,49.406,48.188,41.370,1050600
2000-08-21,49.094,49.375,47.125,40.335,1581200
2000-08-22,48.000,48.688,47.594,40.734,936600
2000-08-23,47.500,49.875,47.125,42.352,889400
2000-08-24,49.562,49.969,49.031,42.140,2990800
2000-08-25,49.500,49.938,48.594,41.609,602600
2000-08-28,48.875,49.781,48.719,41.822,424400
2000-08-29,49.062,49.281,48.625,41.503,1217200
2000-08-30,48.844,48.844,47.875,41.105,500200
2000-08-31,48.688,49.812,48.312,41.901,1105800
2000-09-01,50.188,50.344,48.625,41.556,1638600
2000-09-05,48.312,48.500,47.344,40.389,708800
2000-09-06,46.375,46.438,44.531,37.814,952800
2000-09-07,45.125,46.375,44.812,39.062,685000
2000-09-08,45.750,45.750,43.812,37.204,649400
2000-09-11,43.500,44.719,42.625,36.620,681200
2000-09-12,43.625,44.219,42.000,35.745,853800
2000-09-13,41.188,42.469,41.188,36.037,1732800
2000-09-14,43.500,43.750,42.312,36.010,473200
2000-09-15,41.750,42.438,40.938,35.134,632200
2000-09-18,41.750,42.688,40.250,34.391,300000
2000-09-19,41.250,43.562,40.594,36.965,1573600
2000-09-20,43.375,44.281,42.188,37.257,1064800
2000-09-21,43.469,43.594,41.969,35.771,598600
2000-09-22,37.562,39.188,37.531,33.171,2000600
2000-09-25,40.125,40.125,36.850,31.423,599200
2000-09-26,37.150,37.875,36.225,31.101,665800
2000-09-27,37.600,37.725,35.780,30.782,1632600
2000-09-28,36.625,37.600,36.275,31.738,1122200
2000-09-29,36.900,36.900,35.400,30.188,711600
2000-10-02,36.245,36.350,34.505,29.509,714000
2000-10-03,35.250,35.870,33.935,29.063,1486000
2000-10-04,34.425,36.100,34.125,30.570,1545200
2000-10-05,35.250,36.000,34.625,29.806,1233000
2000-10-06,35.125,35.620,33.125,28.744,1237400
2000-10-09,33.600,33.875,31.650,28.235,1370000
2000-10-10,31.800,32.000,29.655,25.619,2466400
2000-10-11,28.875,31.350,28.875,25.454,3080800
2000-10-12,31.375,31.500,29.120,24.881,2130400
2000-10-13,29.445,32.475,29.375,27.492,1336000
2000-10-16,32.095,32.095,30.250,25.921,1334000
2000-10-17,30.250,30.300,28.005,24.511,2259400
2000-10-18,27.525,30.250,26.875,24.031,2096800
2000-10-19,32.000,32.995,30.555,27.916,2875600
2000-10-20,32.495,34.250,32.105,28.341,3007600
2000-10-23,33.900,35.175,33.275,28.999,985000
2000-10-24,33.625,33.625,31.505,27.067,1131800
2000-10-25,29.750,30.750,29.005,24.961,1765400
2000-10-26,29.400,31.000,28.655,26.261,1894800
2000-10-27,31.995,31.995,30.000,26.197,1690800
2000-10-30,30.875,31.750,30.130,26.379,1611400
2000-10-31,31.995,33.495,31.950,27.916,1395800
2000-11-01,31.695,32.530,31.075,26.919,956200
2000-11-02,32.925,33.140,32.100,27.598,865000
