date,open,high,low,close,volume
2012-02-08,33974.449,34282.941,33974.449,34226.730,0
2012-02-09,34226.730,34307.449,34041.672,34268.141,0
2012-02-10,34268.141,34268.141,33829.711,33892.578,0
2012-02-13,33892.578,34230.211,33892.578,34207.430,0
2012-02-14,34207.430,34245.910,34044.422,34112.441,0
2012-02-15,34112.441,34300.539,34089.871,34089.871,0
2012-02-16,34089.871,34089.871,33721.430,33801.641,0
2012-02-17,33801.641,34117.410,33801.641,34082.781,0
2012-02-20,34082.781,34239.898,34082.781,34106.000,0
2012-02-21,34106.000,34192.469,34078.871,34142.371,0
2012-02-22,34142.371,34249.211,33974.891,34006.520,0
2012-02-23,34006.520,34230.039,34006.520,34108.199,0
2012-02-24,34108.199,34282.020,34104.090,34260.762,0
2012-02-27,34260.762,34260.762,33814.820,33871.320,0
2012-02-28,33871.320,34214.531,33871.320,34214.531,0
2012-02-29,34214.531,34372.531,34207.422,34296.000,0
2012-03-01,34296.000,34298.480,33948.121,34298.480,0
2012-03-02,34298.480,34298.480,34023.121,34186.809,0
2012-03-05,34186.809,34186.809,33910.711,34031.770,0
2012-03-06,34031.770,34031.770,33330.340,33387.039,0
2012-03-07,33387.039,33685.922,33387.039,33592.320,0
2012-03-08,33592.320,33841.320,33563.070,33758.621,0
2012-03-09,33758.621,33926.199,33758.621,33926.199,0
2012-03-12,33926.199,34077.078,33821.121,33901.719,0
2012-03-13,33901.719,34239.461,33901.719,34175.391,0
2012-03-14,34175.391,34541.129,34175.391,34426.738,0
2012-03-15,34426.738,34601.270,34156.711,34215.301,0
2012-03-16,34215.301,34438.602,34215.301,34221.621,0
2012-03-19,34221.621,34312.609,34035.160,34214.070,0
2012-03-20,34214.070,34214.070,33840.090,33878.559,0
2012-03-21,33878.559,33878.559,33878.559,33878.559,0
2012-03-22,33878.559,33975.340,33493.648,33550.891,0
2012-03-23,33550.891,33672.422,33323.262,33572.070,0
2012-03-26,33572.070,33726.422,33461.211,33664.461,0
2012-03-27,33664.461,34010.879,33664.461,33858.219,0
2012-03-28,33858.219,33858.219,33612.109,33621.930,0
2012-03-29,33621.930,33629.422,33331.691,33483.262,0
2012-03-30,33483.262,33733.160,33483.262,33554.211,0
2012-04-02,33554.211,33974.629,33554.211,33974.629,0
2012-04-03,33974.629,34210.762,33948.469,34192.191,0
2012-04-04,34192.191,34192.191,33404.320,33404.320,0
2012-04-05,33404.320,33732.199,33203.641,33732.199,0
2012-04-10,33732.199,33787.129,33553.941,33617.738,0
2012-04-11,33617.738,33712.410,33458.512,33632.762,0
2012-04-12,33632.762,33816.961,33486.191,33816.961,0
2012-04-13,33816.961,33882.609,33579.059,33705.031,0
2012-04-16,33705.031,33766.270,33576.602,33661.211,0
2012-04-17,33661.211,33777.969,33569.012,33777.969,0
2012-04-18,33777.969,34071.219,33777.969,34050.238,0
2012-04-19,34050.238,34224.621,34021.922,34106.922,0
2012-04-20,34106.922,34257.129,33943.289,34216.551,0
2012-04-23,34216.551,34216.551,33692.750,33703.211,0
2012-04-24,33703.211,33901.238,33703.211,33820.871,0
2012-04-25,33820.871,34065.570,33820.871,34028.809,0
2012-04-26,34028.809,34251.430,34028.809,34251.430,0
2012-04-27,34251.430,34251.430,34251.430,34251.430,0
2012-04-30,34251.430,34456.352,34251.430,34399.039,0
2012-05-01,34399.039,34399.039,34399.039,34399.039,0
2012-05-02,34399.039,34647.730,34369.328,34482.430,0
2012-05-03,34482.430,34583.359,34340.539,34375.512,0
2012-05-04,34375.512,34375.512,34126.211,34127.281,0
