date,open,high,low,close,volume
2005-02-25,23.149,23.802,23.137,23.757,116464
2005-02-28,23.916,23.956,23.236,23.236,204852
2005-03-01,23.322,23.368,23.269,23.316,50260
2005-03-02,22.849,23.044,22.849,22.982,79378
2005-03-03,22.982,22.982,22.649,22.780,33622
2005-03-04,23.050,23.599,23.050,23.594,44023
2005-03-07,23.224,23.333,23.178,23.322,108145
2005-03-08,23.644,23.789,23.622,23.658,98437
2005-03-09,23.743,23.956,23.715,23.900,68282
2005-03-10,23.524,23.564,23.345,23.405,157711
2005-03-11,23.398,23.558,23.188,23.208,27037
2005-03-14,23.012,23.012,22.820,22.906,54417
2005-03-15,22.514,22.514,22.054,22.054,179548
2005-03-16,22.098,22.116,21.970,21.970,59270
2005-03-17,21.938,22.365,21.839,22.359,120620
2005-03-18,22.286,22.387,22.197,22.203,84226
2005-03-21,22.116,22.116,21.550,21.556,128941
2005-03-22,21.666,21.924,21.241,21.241,127206
2005-03-23,21.108,21.153,20.800,20.824,106761
2005-03-24,20.800,20.984,20.783,20.856,71752
2005-03-28,20.436,20.570,20.436,20.484,33971
2005-03-29,20.512,20.570,20.293,20.293,63084
2005-03-30,20.616,20.990,20.529,20.990,60313
2005-03-31,21.204,21.204,21.031,21.118,69324
2005-04-01,21.482,21.505,21.384,21.436,74871
2005-04-04,21.216,21.216,20.945,21.061,44367
2005-04-05,21.078,21.245,21.078,21.241,31196
2005-04-06,21.540,21.587,21.511,21.581,41249
2005-04-07,21.540,21.609,21.493,21.528,25302
2005-04-08,21.458,21.511,21.418,21.493,12477
2005-04-11,21.505,21.505,21.418,21.418,36395
2005-04-12,21.158,21.430,21.147,21.430,50605
2005-04-13,20.975,21.158,20.975,21.021,37092
2005-04-14,20.772,20.772,20.616,20.616,38480
2005-04-15,20.599,20.737,20.386,20.386,51647
2005-04-18,20.311,20.496,20.225,20.496,37783
2005-04-19,20.887,21.130,20.841,21.130,63776
2005-04-20,20.887,21.177,20.887,21.095,31196
2005-04-21,21.088,21.292,21.021,21.292,121316
2005-04-22,21.204,21.204,20.897,20.928,70363
2005-04-25,20.917,20.962,20.887,20.922,55457
2005-04-26,21.102,21.108,20.922,20.945,38821
2005-04-27,20.945,21.061,20.922,21.048,68631
2005-04-28,20.640,20.640,20.374,20.390,20105
2005-04-29,20.800,20.800,20.542,20.692,67935
2005-05-02,20.831,20.831,20.523,20.599,63084
2005-05-03,20.713,20.806,20.713,20.744,30502
2005-05-04,21.108,21.397,21.108,21.378,161523
2005-05-05,21.569,21.638,21.476,21.591,64125
2005-05-06,21.482,21.753,21.441,21.753,85268
2005-05-09,21.794,21.828,21.708,21.771,45061
2005-05-10,21.569,21.569,21.339,21.339,9705
2005-05-11,21.436,21.436,21.360,21.384,108838
2005-05-12,21.251,21.251,20.760,20.772,72444
2005-05-13,20.570,20.599,20.349,20.380,26344
2005-05-16,20.472,20.656,20.472,20.656,15942
2005-05-17,20.415,20.415,20.253,20.397,60313
2005-05-18,20.553,20.794,20.553,20.794,76258
2005-05-19,20.772,20.848,20.713,20.772,134139
2005-05-20,20.484,20.496,20.349,20.436,34657
2005-05-23,20.594,20.599,20.489,20.582,36045
2005-05-24,20.431,20.517,20.334,20.517,78680
2005-05-25,20.616,20.760,20.599,20.709,10398
2005-05-26,20.599,20.709,20.517,20.709,79719
2005-05-27,20.616,20.975,20.570,20.975,25648
2005-05-31,20.386,20.426,19.688,19.964,222186
2005-06-01,19.571,19.745,19.503,19.588,96702
2005-06-02,19.734,20.034,19.734,19.958,84921
2005-06-03,20.040,20.196,19.855,19.877,72094
2005-06-06,20.484,20.582,20.426,20.560,88734
2005-06-07,20.789,20.789,20.553,20.616,64125
2005-06-08,20.535,20.535,20.091,20.091,25648
2005-06-09,19.328,20.144,19.328,20.144,25302
2005-06-10,20.166,20.206,20.127,20.150,33971
2005-06-13,20.091,20.287,20.052,20.241,19062
2005-06-14,20.235,20.235,20.068,20.138,13867
2005-06-15,20.327,20.496,20.305,20.496,3809
2005-06-16,20.582,20.719,20.529,20.680,31544
2005-06-17,20.887,21.130,20.871,21.056,100865
2005-06-20,20.831,20.841,20.754,20.841,32926
2005-06-21,20.656,20.841,20.656,20.819,55806
2005-06-22,20.841,20.841,20.800,20.841,26344
2005-06-23,20.656,20.800,20.628,20.646,51994
2005-06-24,20.674,20.713,20.640,20.674,20105
2005-06-27,20.575,20.806,20.575,20.806,19755
2005-06-28,20.841,20.945,20.841,20.887,46796
2005-06-29,20.856,20.856,20.772,20.789,41249
2005-06-30,20.951,20.951,20.831,20.912,12477
2005-07-01,20.887,20.887,20.502,20.502,23224
2005-07-05,20.529,20.778,20.517,20.744,91851
2005-07-06,20.750,20.945,20.661,20.783,148698
2005-07-07,20.661,20.856,20.661,20.856,60659
2005-07-08,20.713,20.863,20.713,20.863,20452
2005-07-11,21.061,21.654,21.048,21.654,213170
2005-07-12,22.185,22.433,22.122,22.404,194452
2005-07-13,22.359,22.359,22.180,22.214,41249
2005-07-14,22.382,22.649,22.382,22.532,97744
2005-07-15,22.440,22.440,22.324,22.370,8663
2005-07-18,22.337,22.404,22.272,22.329,88038
2005-07-19,22.141,22.387,22.098,22.387,20452
2005-07-20,22.141,22.664,22.141,22.664,57537
2005-07-21,22.520,22.734,22.520,22.717,48526
2005-07-22,22.601,22.707,22.596,22.707,62042
2005-07-25,22.613,22.699,22.560,22.560,38821
2005-07-26,22.214,22.370,22.214,22.300,60313
2005-07-27,22.560,22.636,22.560,22.613,28073
2005-07-28,22.723,22.804,22.707,22.734,54417
2005-07-29,22.664,22.740,22.664,22.707,17679
2005-08-01,23.092,23.288,23.092,23.178,57888
2005-08-02,23.388,23.450,23.368,23.388,25648
2005-08-03,23.594,23.789,23.594,23.789,39169
2005-08-04,23.772,23.875,23.757,23.782,114385
2005-08-05,23.728,23.728,23.542,23.542,49562
2005-08-08,23.772,23.893,23.772,23.796,44023
2005-08-09,23.825,23.836,23.802,23.836,35013
2005-08-10,24.494,24.539,24.362,24.377,127554
2005-08-11,24.498,24.703,24.498,24.703,57537
2005-08-12,24.490,24.592,24.490,24.592,55115
2005-08-15,24.344,24.527,24.303,24.527,42287
2005-08-16,24.355,24.368,24.270,24.332,45753
2005-08-17,23.735,23.854,23.708,23.715,79378
2005-08-18,23.484,23.588,23.473,23.542,63084
2005-08-19,23.772,23.870,23.577,23.584,58579
2005-08-22,24.079,24.119,23.782,23.782,34314
2005-08-23,23.946,23.981,23.789,23.956,40555
2005-08-24,23.842,23.900,23.658,23.658,89082
2005-08-25,23.796,23.830,23.735,23.802,7629
2005-08-26,23.640,23.677,23.588,23.644,34657
2005-08-29,23.584,23.806,23.552,23.763,31889
2005-08-30,23.605,23.605,23.381,23.473,39513
2005-08-31,23.677,24.425,23.677,24.409,72094
2005-09-01,24.655,25.116,24.655,25.054,105373
2005-09-02,25.272,25.398,25.204,25.377,86997
2005-09-06,25.272,25.290,25.077,25.111,355632
2005-09-07,25.054,25.238,25.048,25.191,163254
2005-09-08,25.312,25.330,25.086,25.130,75213
2005-09-09,25.377,25.405,25.272,25.372,55457
2005-09-12,25.250,25.365,25.191,25.278,189253
2005-09-13,25.230,25.230,25.130,25.150,54764
2005-09-14,25.216,25.230,25.111,25.169,62042
2005-09-15,25.169,25.230,25.146,25.230,100171
2005-09-16,25.475,25.533,25.360,25.526,63431
2005-09-19,25.498,25.510,25.290,25.484,111956
2005-09-20,25.626,25.642,25.204,25.324,68974
2005-09-21,25.544,25.665,25.526,25.665,65510
2005-09-22,25.560,25.706,25.520,25.648,50605
2005-09-23,25.312,25.382,25.191,25.382,41597
2005-09-26,25.319,25.457,25.290,25.388,60313
2005-09-27,25.601,25.652,25.365,25.382,102598
2005-09-28,25.648,25.821,25.632,25.805,376425
2005-09-29,26.081,26.408,26.040,26.386,185787
2005-09-30,26.456,26.560,26.456,26.542,110572
2005-10-03,26.120,26.178,25.994,26.139,316115
2005-10-04,26.098,26.109,25.763,25.763,102256
2005-10-05,25.398,25.479,25.335,25.365,178857
2005-10-06,25.026,25.026,24.564,24.598,181283
2005-10-07,24.362,24.610,24.303,24.604,198614
2005-10-10,24.673,24.673,24.580,24.580,81108
2005-10-11,24.902,24.939,24.759,24.805,94282
2005-10-12,24.748,24.811,24.546,24.655,110226
2005-10-13,23.912,23.929,23.686,23.929,187867
2005-10-14,23.658,23.854,23.622,23.854,147664
2005-10-17,24.432,24.604,24.401,24.604,157365
2005-10-18,24.223,24.250,23.900,23.900,98092
2005-10-19,23.398,23.814,23.368,23.814,68282
2005-10-20,23.830,24.010,23.622,23.622,80069
2005-10-21,23.672,23.715,23.409,23.588,53380
2005-10-24,23.814,24.390,23.814,24.390,71059
2005-10-25,24.209,24.310,24.045,24.057,60313
2005-10-26,24.368,24.390,24.203,24.223,70017
2005-10-27,24.250,24.276,23.743,23.743,65510
2005-10-28,23.870,24.038,23.768,24.038,87348
2005-10-31,23.981,24.113,23.981,24.102,179897
2005-11-01,24.463,24.483,24.435,24.454,75561
2005-11-02,24.718,24.944,24.661,24.944,95664
2005-11-03,25.505,25.642,25.435,25.447,105373
2005-11-04,25.285,25.324,24.691,24.965,341072
2005-11-07,24.965,25.255,24.944,25.093,174350
2005-11-08,24.712,24.712,24.564,24.686,88038
2005-11-09,24.454,24.697,24.425,24.679,355977
2005-11-10,24.742,25.043,24.736,24.984,136912
2005-11-11,24.956,25.048,24.944,25.048,29808
2005-11-14,25.382,25.457,25.312,25.319,105373
2005-11-15,25.335,25.505,25.272,25.360,81108
2005-11-16,25.342,25.648,25.302,25.648,124785
2005-11-17,25.902,25.967,25.688,25.967,85617
2005-11-18,26.127,26.219,26.068,26.219,285264
2005-11-21,26.507,26.652,26.474,26.652,220103
2005-11-22,26.156,26.555,26.156,26.555,106064
2005-11-23,26.483,26.715,26.444,26.674,187521
2005-11-25,26.929,26.929,26.722,26.777,51994
2005-11-28,26.555,26.635,26.483,26.570,166030
2005-11-29,26.386,26.386,26.201,26.226,90469
2005-11-30,26.068,26.068,25.863,25.880,130673
2005-12-01,26.022,26.408,26.022,26.382,1544879
2005-12-02,26.599,26.744,26.560,26.560,386477
2005-12-05,26.514,26.884,26.496,26.802,337605
2005-12-06,27.032,27.482,27.021,27.413,352165
2005-12-07,27.651,27.747,27.581,27.667,194802
2005-12-08,27.466,27.747,27.408,27.540,285957
2005-12-09,27.436,27.499,27.349,27.397,275562
2005-12-12,27.809,27.916,27.697,27.753,240899
2005-12-13,27.787,28.032,27.685,28.032,192373
2005-12-14,27.697,27.828,27.639,27.662,180588
2005-12-15,27.697,27.743,27.495,27.523,66898
2005-12-16,27.690,27.690,27.523,27.540,94629
2005-12-19,28.173,28.446,28.100,28.140,211091
2005-12-20,28.211,28.336,28.118,28.130,180936
2005-12-21,28.216,28.446,28.168,28.424,200001
2005-12-22,28.590,29.011,28.476,28.936,136570
2005-12-23,28.342,28.502,28.272,28.463,169846
2005-12-27,28.534,28.723,28.233,28.233,273481
2005-12-28,28.272,28.370,28.100,28.286,261696
2005-12-29,28.356,28.653,28.326,28.632,82839
2005-12-30,28.452,28.452,28.272,28.342,114385
2006-01-03,29.006,30.143,28.948,30.015,322010
2006-01-04,29.513,29.968,29.473,29.931,386131
2006-01-05,29.370,29.697,29.370,29.659,327552
2006-01-06,30.206,30.711,30.120,30.711,337605
2006-01-09,30.610,31.049,30.534,30.933,299131
2006-01-10,30.638,30.820,30.512,30.820,207974
2006-01-11,31.026,31.591,30.940,31.481,266899
2006-01-12,31.015,31.146,30.842,30.870,259270
2006-01-13,31.026,31.475,31.026,31.361,269320
2006-01-17,30.483,30.582,30.264,30.531,618022
2006-01-18,30.286,30.379,30.074,30.309,288386
2006-01-19,31.447,32.011,31.430,32.011,404508
2006-01-20,31.850,31.913,31.291,31.291,433619
2006-01-23,31.793,32.110,31.793,32.092,429462
2006-01-24,31.806,32.167,31.747,32.054,419756
2006-01-25,32.254,32.325,31.967,32.071,360135
2006-01-26,31.892,32.036,31.781,31.937,439167
2006-01-27,32.382,32.688,32.341,32.600,303289
2006-01-30,32.085,32.484,31.892,32.433,775386
2006-01-31,32.688,33.178,32.668,33.150,269667
2006-02-01,33.610,33.665,33.455,33.646,764639
2006-02-02,33.588,33.753,33.131,33.356,945573
2006-02-03,32.507,32.918,32.325,32.630,802768
2006-02-06,32.843,33.320,32.716,33.320,441244
2006-02-07,33.080,33.131,32.138,32.331,600691
2006-02-08,31.464,32.214,31.411,32.192,530674
2006-02-09,32.135,32.757,32.135,32.513,290813
2006-02-10,32.859,32.976,32.260,32.668,256842
2006-02-13,31.447,31.718,31.026,31.210,682145
2006-02-14,30.783,31.540,30.534,31.430,555627
2006-02-15,31.361,31.561,31.210,31.336,349394
2006-02-16,31.302,31.787,31.227,31.765,469670
2006-02-17,32.369,32.918,32.294,32.918,242282
2006-02-21,32.802,32.918,32.612,32.757,332406
2006-02-22,32.802,33.032,32.694,32.913,206935
2006-02-23,32.772,32.872,32.498,32.498,233964
2006-02-24,32.624,32.624,32.192,32.475,415245
2006-02-27,32.082,32.117,31.937,32.046,203467
2006-02-28,31.089,31.440,30.853,30.923,621834
2006-03-01,31.102,31.418,30.946,31.418,512651
2006-03-02,31.361,31.793,31.273,31.781,1697391
2006-03-03,31.216,31.216,30.812,30.911,305372
2006-03-06,30.668,30.800,30.039,30.166,412826
2006-03-07,29.427,29.710,28.687,29.042,850949
2006-03-08,28.995,29.553,28.805,29.544,595492
2006-03-09,29.907,30.092,29.629,29.645,160837
2006-03-10,29.791,30.159,29.473,30.159,1751808
2006-03-13,30.448,30.512,30.293,30.397,351816
2006-03-14,30.870,31.518,30.760,31.504,384054
2006-03-15,32.000,32.238,31.870,32.238,266206
2006-03-16,31.942,31.994,31.735,31.873,266206
2006-03-17,32.358,32.358,32.042,32.151,139343
2006-03-20,32.347,32.347,31.870,31.913,171575
2006-03-21,32.160,32.160,31.447,31.447,272440
2006-03-22,31.591,32.092,31.579,32.092,138995
2006-03-23,32.092,32.491,32.092,32.243,449910
2006-03-24,32.306,32.983,32.306,32.859,209007
2006-03-27,33.124,33.166,32.796,33.062,294625
2006-03-28,32.668,32.958,32.283,32.382,396531
2006-03-29,32.243,32.872,32.173,32.872,156668
2006-03-30,33.535,33.794,33.270,33.535,346274
2006-03-31,33.439,33.439,33.005,33.183,195146
