date,open,high,low,close,volume
2001-07-13,24.100,24.530,23.527,19.895,603300
2001-07-16,23.783,23.850,22.813,18.742,180000
2001-07-17,22.650,23.750,22.633,19.511,287100
2001-07-18,23.033,23.203,22.767,18.703,301800
2001-07-19,24.133,24.233,23.733,19.497,405000
2001-07-20,23.250,23.633,23.250,19.402,360000
2001-07-23,23.750,23.750,22.900,18.813,195300
2001-07-24,22.767,22.767,22.267,18.306,150300
2001-07-25,22.200,22.617,21.883,17.978,179100
2001-07-26,22.850,24.150,22.767,19.648,281700
2001-07-27,24.167,24.733,24.167,20.103,121500
2001-07-30,24.597,24.847,24.430,20.237,7800
2001-07-31,25.133,25.133,24.633,20.237,152100
2001-08-01,25.583,26.233,25.583,21.291,28500
2001-08-02,26.567,26.650,26.383,21.702,64800
2001-08-03,26.417,26.417,25.917,21.428,9600
2001-08-06,25.517,25.717,25.467,21.045,21900
2001-08-07,25.200,25.220,25.000,20.719,18600
2001-08-08,25.113,25.517,24.933,20.483,18900
2001-08-09,24.000,24.250,24.000,19.922,3000
2001-08-10,24.200,24.333,24.200,19.963,12600
2001-08-13,24.833,24.933,24.700,20.442,24300
2001-08-14,25.067,25.067,24.983,20.524,4200
2001-08-15,24.583,24.583,24.007,19.722,6300
2001-08-16,23.333,23.700,23.100,19.470,13500
2001-08-17,23.333,23.333,22.867,18.785,1500
2001-08-20,23.000,23.150,22.850,18.991,32700
2001-08-21,23.100,23.100,22.533,18.512,4200
2001-08-22,22.730,23.233,22.500,19.087,8400
2001-08-23,23.370,23.663,23.310,19.183,3000
2001-08-24,23.757,24.483,23.667,20.010,1200
2001-08-27,24.500,25.130,24.500,20.456,12300
2001-08-28,24.450,24.550,24.317,19.977,3000
2001-08-29,24.433,24.433,23.467,19.278,900
2001-08-30,22.550,22.833,22.500,18.758,3600
2001-08-31,22.667,23.160,22.667,18.851,6000
2001-09-04,22.867,23.157,22.333,18.347,3300
2001-09-05,22.247,22.247,21.533,17.718,22500
2001-09-06,21.333,21.667,20.467,16.896,792000
2001-09-07,20.383,21.227,20.383,17.019,9900
2001-09-10,20.613,20.913,20.613,17.003,3900
2001-09-17,19.000,19.593,18.800,15.445,24600
2001-09-18,18.750,18.907,18.503,15.532,1200
2001-09-19,17.123,17.317,15.900,14.226,40200
2001-09-20,16.550,17.067,16.200,13.309,51000
2001-09-21,15.133,16.100,15.133,12.665,11400
2001-09-24,16.333,16.950,16.333,13.925,28500
2001-09-25,17.233,17.233,16.500,13.555,12900
2001-09-26,16.900,16.900,16.000,13.172,9600
2001-09-27,15.333,15.550,14.963,12.775,3600
2001-09-28,15.917,16.167,15.633,13.131,14400
2001-10-01,15.733,15.733,15.450,12.693,5100
2001-10-02,15.750,15.750,15.167,12.460,12900
2001-10-03,15.000,16.783,14.967,13.651,12900
2001-10-04,17.000,17.980,16.633,14.445,22800
2001-10-05,17.333,17.800,16.633,14.533,23700
2001-10-08,17.333,18.567,17.300,15.116,49200
2001-10-09,17.967,17.967,17.517,14.431,22200
2001-10-10,17.533,18.567,17.417,15.253,28200
2001-10-11,19.263,20.277,19.263,16.606,62100
2001-10-12,19.733,20.017,19.267,16.321,26400
2001-10-15,19.717,19.717,19.320,15.979,7800
2001-10-16,19.767,20.050,19.500,16.472,6600
2001-10-17,20.550,20.600,19.233,15.801,15000
2001-10-18,18.750,18.883,18.300,15.226,13200
2001-10-19,18.150,18.680,18.150,15.346,6900
2001-10-22,18.517,19.600,18.517,16.102,23100
2001-10-23,19.800,20.087,19.470,16.033,4500
2001-10-24,20.067,20.297,19.973,16.537,16800
2001-10-25,19.700,21.000,19.450,17.252,10200
2001-10-26,21.133,21.183,20.800,17.318,22500
2001-10-29,20.417,20.417,19.917,16.362,7500
2001-10-30,19.183,19.183,18.677,15.376,16800
2001-10-31,19.437,20.047,19.407,15.943,8100
2001-11-01,19.783,20.647,19.783,16.923,3612900
2001-11-02,20.983,20.997,20.503,17.088,2115300
2001-11-05,21.550,21.630,21.433,17.770,2100
2001-11-06,21.200,22.283,21.200,18.265,13500
2001-11-07,22.060,22.637,22.020,18.397,144000
2001-11-08,22.667,23.173,21.767,17.898,627300
2001-11-09,22.007,22.200,21.753,18.043,207900
2001-11-12,21.533,22.517,21.500,18.394,76800
2001-11-13,23.233,23.467,22.973,19.210,18900
2001-11-14,24.000,24.000,22.967,19.306,60900
2001-11-15,23.383,23.583,23.050,19.114,200400
2001-11-16,23.417,23.467,23.000,19.046,24600
2001-11-19,23.423,23.443,22.750,18.966,24300
2001-11-20,22.783,22.833,21.777,17.890,29100
2001-11-21,21.683,22.050,21.513,18.115,42300
2001-11-23,22.050,22.470,22.050,18.416,13200
2001-11-26,22.733,23.333,22.733,19.158,9300
2001-11-27,22.800,23.897,22.657,19.177,43500
2001-11-28,23.017,23.017,22.303,18.323,18600
2001-11-29,22.433,22.947,22.217,18.824,19200
2001-11-30,22.633,22.710,22.340,18.577,50400
2001-12-03,22.367,22.643,22.217,18.334,10500
2001-12-04,22.683,23.417,22.683,19.237,14400
2001-12-05,24.083,25.467,24.083,20.771,33000
2001-12-06,25.117,25.437,24.853,20.634,28500
2001-12-07,24.933,24.933,24.000,19.895,19200
2001-12-10,24.133,24.133,23.657,19.470,132000
2001-12-11,24.133,24.433,23.937,19.678,30600
2001-12-12,24.217,24.310,23.750,19.621,4800
2001-12-13,23.583,23.583,22.753,18.692,36600
2001-12-14,22.917,23.387,22.750,19.076,75900
2001-12-17,23.543,23.850,23.497,19.497,31500
2001-12-18,23.963,23.963,23.717,19.648,45000
2001-12-19,23.000,23.307,22.683,18.635,519600
2001-12-20,22.333,22.433,21.527,17.693,62400
2001-12-21,22.000,22.080,21.867,18.139,24900
2001-12-24,22.033,22.033,21.917,18.005,4500
2001-12-26,22.363,22.540,22.040,18.224,34200
2001-12-27,22.337,22.577,22.337,18.506,103800
2001-12-28,22.800,22.960,22.567,18.662,132300
2001-12-31,22.733,22.733,22.100,18.210,23100
2002-01-02,22.633,23.067,22.467,18.950,207900
2002-01-03,23.500,24.907,23.500,20.401,251700
2002-01-04,25.300,25.330,24.300,20.330,111600
2002-01-07,25.000,25.000,24.133,19.884,24900
2002-01-08,24.153,24.663,23.983,19.936,79500
2002-01-09,24.667,25.037,24.133,19.826,19200
2002-01-10,24.037,24.153,23.823,19.602,32700
2002-01-11,24.267,24.267,23.667,19.497,43800
2002-01-14,23.667,23.677,23.253,19.117,52200
2002-01-15,23.550,23.550,23.003,19.169,765300
2002-01-16,22.650,22.823,22.347,18.358,1594800
2002-01-17,22.700,22.917,22.317,18.799,25200
2002-01-18,22.167,22.560,22.167,18.320,18000
2002-01-22,22.433,22.433,21.300,17.498,16500
2002-01-23,21.750,22.053,21.367,18.019,34500
2002-01-24,22.133,22.573,22.133,18.298,27900
2002-01-25,22.257,22.667,22.167,18.476,4500
2002-01-28,22.800,22.967,22.540,18.802,9300
2002-01-29,23.250,23.250,22.293,18.369,27300
2002-01-30,22.233,22.933,22.233,18.840,16800
2002-01-31,23.333,23.333,22.810,18.988,12600
2002-02-01,22.983,22.983,22.883,18.799,7200
2002-02-04,22.917,22.917,22.300,18.449,14400
2002-02-05,22.333,22.580,22.133,18.183,2700
2002-02-06,22.333,22.333,21.950,18.128,429900
2002-02-07,21.783,22.100,21.350,17.540,11400
2002-02-08,21.533,21.830,21.207,17.923,62100
2002-02-11,22.050,22.660,22.050,18.616,207000
2002-02-12,22.467,22.923,22.260,18.512,14700
2002-02-13,22.993,23.050,22.970,18.922,9900
2002-02-14,23.270,23.347,22.773,18.821,12900
2002-02-15,22.700,22.700,22.360,18.369,1800
2002-02-19,22.000,22.007,21.380,17.564,26400
2002-02-20,21.600,21.817,20.940,17.923,38700
2002-02-21,21.113,21.257,20.417,16.814,246300
2002-02-22,20.500,20.620,20.180,16.885,104400
2002-02-25,20.717,21.733,20.717,17.772,182100
2002-02-26,21.750,21.800,21.143,17.512,14700
2002-02-27,21.633,21.930,21.073,17.433,90300
2002-02-28,21.393,21.393,20.567,16.896,325500
2002-03-01,21.250,22.533,21.250,18.462,250200
2002-03-04,22.833,24.050,22.637,19.675,172800
2002-03-05,23.883,24.533,23.883,20.010,492600
2002-03-06,24.133,24.400,23.673,19.968,504600
2002-03-07,24.833,24.897,24.150,20.138,304200
2002-03-08,25.067,25.507,25.067,20.867,40500
2002-03-11,24.900,25.193,24.517,20.450,145800
2002-03-12,23.867,24.107,23.750,19.725,18900
2002-03-13,23.583,23.660,23.167,19.188,330000
2002-03-14,23.583,23.583,23.227,19.136,9600
2002-03-15,23.267,23.700,23.267,19.418,32400
2002-03-18,24.200,24.433,23.867,19.648,45300
2002-03-19,24.047,24.313,23.983,19.771,42900
2002-03-20,23.487,23.583,23.237,19.089,22500
2002-03-21,23.333,23.833,23.127,19.580,217500
2002-03-22,23.767,23.883,23.567,19.361,20100
2002-03-25,23.633,23.800,22.923,18.832,27000
2002-03-26,22.967,23.563,22.817,19.128,27900
2002-03-27,23.400,23.480,23.123,19.158,310200
2002-03-28,23.817,24.000,23.743,19.506,481500
2002-04-01,23.467,24.497,23.467,19.990,128100
2002-04-02,24.067,24.067,23.620,19.404,21300
2002-04-03,23.550,23.567,22.927,18.994,237000
2002-04-04,23.383,23.383,22.950,19.059,468000
2002-04-05,23.100,23.117,22.933,18.901,4500
2002-04-08,22.243,23.033,22.083,18.840,33600
2002-04-09,22.850,22.850,22.350,18.416,36900
2002-04-10,22.467,22.567,21.853,18.484,92700
2002-04-11,22.200,22.493,21.913,18.115,24000
2002-04-12,22.200,22.233,21.803,18.210,42300
2002-04-15,22.500,22.667,22.200,18.607,28500
2002-04-16,23.667,23.987,23.620,19.623,46500
2002-04-17,24.300,24.690,24.090,20.051,1386600
2002-04-18,23.917,24.083,23.333,19.451,34800
2002-04-19,23.833,23.983,23.300,19.196,37500
2002-04-22,23.033,23.033,22.767,18.854,471300
2002-04-23,23.050,23.283,22.413,18.484,67800
2002-04-24,22.700,22.767,21.733,17.882,41400
2002-04-25,21.733,21.983,21.450,18.032,251400
2002-04-26,22.167,22.200,20.977,17.252,239400
2002-04-29,21.150,21.627,20.860,17.293,209400
2002-04-30,21.117,21.950,21.117,17.663,93300
2002-05-01,21.433,21.827,20.857,17.728,27900
2002-05-02,21.567,21.917,20.657,17.006,89400
2002-05-03,20.417,20.417,19.650,16.304,99300
2002-05-06,20.083,20.267,19.407,15.979,21300
2002-05-07,19.517,19.640,18.950,15.883,542700
2002-05-08,20.733,21.710,20.617,17.745,215100
2002-05-09,21.533,21.613,20.900,17.463,46800
2002-05-10,21.050,21.050,19.907,16.480,72900
2002-05-13,20.383,21.130,20.333,17.359,37800
2002-05-14,22.350,22.533,22.003,18.473,107700
2002-05-15,22.000,23.050,21.820,18.323,87300
2002-05-16,22.333,22.630,22.033,18.591,42600
2002-05-17,22.933,22.947,22.333,18.605,40800
2002-05-20,22.433,22.467,22.167,18.372,17700
2002-05-21,22.433,22.533,21.563,17.868,45000
2002-05-22,21.500,21.833,21.150,17.427,147000
2002-05-23,21.667,21.667,21.000,17.797,41700
2002-05-24,20.900,21.030,20.783,17.170,49500
2002-05-28,21.000,21.000,20.567,17.101,16200
2002-05-29,20.333,20.413,20.133,16.584,38400
2002-05-30,19.733,20.117,19.450,16.400,57300
2002-05-31,20.217,20.467,19.917,16.376,375600
2002-06-03,19.700,19.700,18.917,15.582,80700
2002-06-04,18.900,19.600,18.800,15.921,65400
2002-06-05,19.567,19.567,19.000,16.017,40500
2002-06-06,18.937,19.017,18.633,15.442,91500
2002-06-07,17.600,18.217,17.333,14.963,100800
2002-06-10,18.167,18.413,17.990,14.809,359100
