date,open,high,low,close,volume
1990-01-02,353.400,359.690,351.980,359.690,162070000
1990-01-03,359.690,360.590,357.890,358.760,192330000
1990-01-04,358.760,358.760,352.890,355.670,177000000
1990-01-05,355.670,355.670,351.350,352.200,158530000
1990-01-08,352.200,354.240,350.540,353.790,140110000
1990-01-09,353.830,354.170,349.610,349.620,155210000
1990-01-10,349.620,349.620,344.320,347.310,175990000
1990-01-11,347.310,350.140,347.310,348.530,154390000
1990-01-12,348.530,348.530,339.490,339.930,183880000
1990-01-15,339.930,339.940,336.570,337.000,140590000
1990-01-16,337.000,340.750,333.370,340.750,186070000
1990-01-17,340.770,342.010,336.260,337.400,170470000
1990-01-18,337.400,338.380,333.980,338.190,178590000
1990-01-19,338.190,340.480,338.190,339.150,185590000
1990-01-22,339.140,339.960,330.280,330.380,148380000
1990-01-23,330.380,332.760,328.670,331.610,179300000
1990-01-24,331.610,331.710,324.170,330.260,207830000
1990-01-25,330.260,332.330,325.330,326.080,172270000
1990-01-26,326.090,328.580,321.440,325.800,198190000
1990-01-29,325.800,327.310,321.790,325.200,150770000
1990-01-30,325.200,325.730,319.830,322.980,186030000
1990-01-31,322.980,329.080,322.980,329.080,189660000
1990-02-01,329.080,329.860,327.760,328.790,154580000
1990-02-02,328.790,332.100,328.090,330.920,164400000
1990-02-05,330.920,332.160,330.450,331.850,130950000
1990-02-06,331.850,331.860,328.200,329.660,134070000
1990-02-07,329.660,333.760,326.550,333.750,186710000
1990-02-08,333.750,336.090,332.000,332.960,176240000
1990-02-09,333.020,334.600,332.410,333.620,146910000
1990-02-12,333.620,333.620,329.970,330.080,118390000
1990-02-13,330.080,331.610,327.920,331.020,144490000
1990-02-14,331.020,333.200,330.640,332.010,138530000
1990-02-15,332.010,335.210,331.610,334.890,174620000
1990-02-16,334.890,335.640,332.420,332.720,166840000
1990-02-20,332.720,332.720,326.260,327.990,147300000
1990-02-21,327.910,328.170,324.470,327.670,159240000
1990-02-22,327.670,330.980,325.700,325.700,184320000
1990-02-23,325.700,326.150,322.100,324.150,148490000
1990-02-26,324.160,328.670,323.980,328.670,148900000
1990-02-27,328.680,331.940,328.470,330.260,152590000
1990-02-28,330.260,333.480,330.160,331.890,184400000
1990-03-01,331.890,334.400,331.080,332.740,157930000
1990-03-02,332.740,335.540,332.720,335.540,164330000
1990-03-05,335.540,336.380,333.490,333.740,140110000
1990-03-06,333.740,337.930,333.570,337.930,143640000
1990-03-07,337.930,338.840,336.330,336.950,163580000
1990-03-08,336.950,340.660,336.950,340.270,170900000
1990-03-09,340.120,340.270,336.840,337.930,150410000
1990-03-12,337.930,339.080,336.140,338.670,114790000
1990-03-13,338.670,338.670,335.360,336.000,145440000
1990-03-14,336.000,337.630,334.930,336.870,145060000
1990-03-15,336.870,338.910,336.870,338.070,144410000
1990-03-16,338.070,341.910,338.070,341.910,222520000
1990-03-19,341.910,343.760,339.120,343.530,142300000
1990-03-20,343.530,344.490,340.870,341.570,177320000
1990-03-21,341.570,342.340,339.560,339.740,130990000
1990-03-22,339.740,339.770,333.620,335.690,175930000
1990-03-23,335.690,337.580,335.690,337.220,132070000
1990-03-26,337.220,339.740,337.220,337.630,116110000
1990-03-27,337.630,341.500,337.030,341.500,131610000
1990-03-28,341.500,342.580,340.600,342.000,142300000
1990-03-29,342.000,342.070,339.770,340.790,132190000
1990-03-30,340.790,341.410,338.210,339.940,139340000
1990-04-02,339.940,339.940,336.330,338.700,124360000
1990-04-03,338.700,343.760,338.700,343.640,154310000
