date,open,high,low,close,volume
1993-01-29,43.969,43.969,43.750,24.175,1003200
1993-02-01,43.969,44.250,43.969,24.347,480500
1993-02-02,44.219,44.375,44.125,24.399,201300
1993-02-03,44.406,44.844,44.375,24.657,529400
1993-02-04,44.969,45.094,44.469,24.760,531500
1993-02-05,44.969,45.062,44.719,24.743,492100
1993-02-08,44.969,45.125,44.906,24.743,596100
1993-02-09,44.812,44.812,44.562,24.571,122100
1993-02-10,44.656,44.750,44.531,24.605,379600
1993-02-11,44.781,45.125,44.781,24.726,19500
1993-02-12,44.875,44.875,44.594,24.536,42500
1993-02-16,44.469,44.469,43.406,23.917,374800
1993-02-17,43.469,43.531,43.281,23.900,210900
1993-02-18,43.938,43.938,42.812,23.883,378100
1993-02-19,43.406,43.562,43.344,23.969,34900
1993-02-22,43.688,43.781,43.562,24.055,513600
1993-02-23,43.844,43.875,43.469,24.038,373700
1993-02-24,43.719,44.250,43.719,24.347,26300
1993-02-25,44.219,44.375,44.125,24.399,44500
1993-02-26,44.438,44.438,44.188,24.433,66200
1993-03-01,44.562,44.562,44.219,24.365,66500
1993-03-02,44.312,44.938,44.250,24.726,182400
1993-03-03,45.000,45.156,44.938,24.829,280100
1993-03-04,45.188,45.188,44.875,24.691,89500
1993-03-05,44.938,45.125,44.719,24.622,40000
1993-03-08,44.844,45.750,44.844,25.173,50800
1993-03-09,45.656,45.688,45.500,25.087,169300
1993-03-10,45.594,45.688,45.406,25.138,194400
1993-03-11,45.719,45.844,45.500,25.069,70900
1993-03-12,45.188,45.219,44.812,24.812,643600
1993-03-15,45.062,45.312,45.062,24.932,310800
1993-03-16,45.312,45.438,45.312,24.932,30800
1993-03-17,45.250,45.250,44.969,24.777,21800
1993-03-18,45.219,45.500,45.219,24.932,59300
1993-03-19,45.281,45.281,45.031,24.894,66900
1993-03-22,44.594,44.875,44.562,24.756,183400
1993-03-23,44.906,44.938,44.812,24.808,55200
1993-03-24,44.812,45.062,44.594,24.808,37200
1993-03-25,44.906,45.250,44.844,24.963,110100
1993-03-26,45.125,45.156,44.875,24.825,101500
1993-03-29,44.938,45.312,44.938,24.929,87100
1993-03-30,45.156,45.219,45.094,24.998,56000
1993-03-31,45.344,45.469,45.188,24.981,111600
1993-04-01,45.250,45.250,44.938,24.894,129500
1993-04-02,44.656,44.656,44.094,24.376,59400
1993-04-05,44.438,44.438,44.188,24.497,172200
1993-04-06,44.406,44.406,44.062,24.428,129700
1993-04-07,44.250,44.344,44.156,24.514,28000
1993-04-08,44.531,44.531,44.094,24.480,180800
1993-04-12,44.719,44.938,44.656,24.825,348500
1993-04-13,44.875,45.156,44.844,24.877,146100
1993-04-14,45.031,45.062,44.906,24.842,119600
1993-04-15,44.906,45.031,44.750,24.842,148600
1993-04-16,44.969,45.031,44.875,24.842,47900
1993-04-19,44.938,45.062,44.719,24.739,157000
1993-04-20,44.688,44.750,44.250,24.618,279500
1993-04-21,44.625,44.625,44.375,24.601,67900
1993-04-22,44.312,44.688,43.938,24.290,97700
1993-04-23,43.844,43.969,43.688,24.186,106000
1993-04-26,43.781,43.938,43.281,23.996,62600
1993-04-27,43.344,43.875,43.344,24.255,156800
1993-04-28,43.812,43.906,43.719,24.203,85900
1993-04-29,43.875,43.969,43.625,24.307,85000
1993-04-30,44.125,44.281,44.031,24.341,88500
1993-05-03,44.094,44.312,43.906,24.497,80500
1993-05-04,44.406,44.625,44.344,24.583,149100
1993-05-05,44.469,44.750,44.469,24.652,109000
1993-05-06,44.531,44.562,44.406,24.566,54700
1993-05-07,44.469,44.469,44.281,24.514,68000
1993-05-10,44.406,44.688,44.406,24.566,113900
1993-05-11,44.438,44.625,44.312,24.670,42600
1993-05-12,44.438,44.594,44.438,24.635,31000
1993-05-13,44.375,44.375,44.000,24.341,129100
1993-05-14,44.031,44.156,43.969,24.324,63500
1993-05-17,44.125,44.156,43.938,24.410,34000
1993-05-18,44.188,44.219,43.969,24.393,105200
1993-05-19,44.125,45.031,43.844,24.894,50200
1993-05-20,45.031,45.156,44.938,24.963,98200
1993-05-21,45.188,45.250,44.719,24.739,221400
1993-05-24,44.844,45.094,44.844,24.842,30500
1993-05-25,45.125,45.125,45.031,24.894,191800
1993-05-26,45.156,45.625,45.125,25.205,102400
1993-05-27,45.656,45.656,45.375,25.119,53800
1993-05-28,45.406,45.406,45.000,24.998,79100
1993-06-01,45.375,45.812,45.312,25.240,28300
1993-06-02,45.531,45.750,45.344,25.205,20300
1993-06-03,45.500,45.500,45.344,25.119,21600
1993-06-04,45.312,45.312,45.094,25.032,32000
1993-06-07,45.375,45.375,45.125,24.946,121400
1993-06-08,45.000,45.000,44.719,24.721,104500
1993-06-09,44.875,45.062,44.812,24.808,43300
1993-06-10,44.844,44.938,44.750,24.825,17900
1993-06-11,45.062,45.156,44.906,24.929,647400
1993-06-14,45.156,45.188,45.031,24.894,64200
1993-06-15,45.094,45.125,44.938,24.842,142400
1993-06-16,44.938,45.031,44.812,24.894,330900
1993-06-17,45.125,45.188,45.031,24.981,37400
1993-06-18,44.844,44.844,44.500,24.775,58500
1993-06-21,44.625,44.625,44.531,24.827,29300
1993-06-22,44.656,44.656,44.562,24.844,137500
1993-06-23,44.625,44.625,44.219,24.618,227600
1993-06-24,44.344,44.812,44.344,24.949,243700
1993-06-25,44.781,44.906,44.750,24.931,44800
1993-06-28,45.000,45.281,44.938,25.210,439900
1993-06-29,45.219,45.219,45.000,25.088,207500
1993-06-30,45.125,45.219,45.000,25.088,437600
1993-07-01,45.125,45.125,44.875,25.018,605700
1993-07-02,44.781,44.812,44.531,24.879,285400
1993-07-06,44.625,44.750,44.156,24.618,246400
1993-07-07,44.188,44.406,44.188,24.688,343700
1993-07-08,44.375,44.938,44.312,24.966,248200
1993-07-09,44.844,44.969,44.750,25.036,378200
1993-07-12,44.906,44.969,44.844,25.018,373700
1993-07-13,44.969,45.094,44.656,25.001,389600
1993-07-14,44.938,45.188,44.906,25.088,617300
1993-07-15,45.031,45.031,44.781,24.984,443800
1993-07-16,44.906,44.938,44.688,24.914,216400
1993-07-19,44.750,44.750,44.594,24.897,188200
1993-07-20,44.688,44.844,44.469,24.966,68500
1993-07-21,44.781,44.812,44.656,24.949,142700
1993-07-22,44.750,44.812,44.500,24.775,632400
1993-07-23,44.594,44.719,44.562,24.897,286200
1993-07-26,44.844,45.062,44.844,25.036,121300
1993-07-27,45.000,45.031,44.781,25.018,92800
1993-07-28,44.844,44.938,44.781,24.966,30800
1993-07-29,44.938,45.219,44.875,25.105,331000
1993-07-30,45.094,45.094,44.781,24.966,75300
1993-08-02,44.906,45.125,44.906,25.036,41300
1993-08-03,45.062,45.188,44.844,25.053,81600
1993-08-04,45.000,45.094,44.875,25.053,434000
1993-08-05,45.000,45.000,44.844,25.001,36800
1993-08-06,45.031,45.062,44.906,25.036,402300
1993-08-09,45.094,45.344,45.000,25.175,828200
1993-08-10,45.188,45.219,45.125,25.158,604900
1993-08-11,45.156,45.312,45.156,25.158,542200
1993-08-12,45.312,45.312,44.906,25.088,303700
1993-08-13,45.094,45.156,45.094,25.123,103500
1993-08-16,45.156,45.500,45.156,25.262,241800
1993-08-17,45.344,45.531,45.344,25.349,369300
1993-08-18,45.688,45.875,45.656,25.488,414300
1993-08-19,45.812,45.812,45.719,25.488,28500
1993-08-20,45.688,45.812,45.656,25.506,80700
1993-08-23,45.625,45.750,45.625,25.453,15600
1993-08-24,45.719,46.219,45.719,25.732,273400
1993-08-25,46.219,46.438,46.156,25.749,242300
1993-08-26,46.281,46.531,46.094,25.767,120000
1993-08-27,46.156,46.250,46.156,25.749,25700
1993-08-30,46.281,46.500,46.281,25.854,183500
1993-08-31,46.406,46.562,46.344,25.923,66500
1993-09-01,46.406,46.594,46.406,25.888,136500
1993-09-02,46.531,46.594,46.312,25.801,472400
1993-09-03,46.312,46.438,46.250,25.819,630500
1993-09-07,46.375,46.438,46.000,25.645,196400
1993-09-08,46.062,46.062,45.594,25.558,269900
1993-09-09,45.719,46.031,45.719,25.610,239200
1993-09-10,46.125,46.438,46.062,25.836,106500
1993-09-13,46.562,46.562,46.438,25.854,66900
1993-09-14,46.312,46.312,46.094,25.749,184500
1993-09-15,46.062,46.406,45.906,25.819,101000
1993-09-16,46.312,46.344,46.156,25.714,54300
1993-09-17,45.875,45.906,45.750,25.665,200900
1993-09-20,45.875,45.969,45.438,25.454,57800
1993-09-21,45.500,45.562,44.812,25.367,318200
1993-09-22,45.438,45.719,45.375,25.577,439700
1993-09-23,45.781,45.938,45.719,25.717,88500
1993-09-24,45.844,45.875,45.719,25.647,53500
1993-09-27,46.125,46.281,46.125,25.927,274600
1993-09-28,46.312,46.312,46.156,25.875,158300
1993-09-29,46.188,46.312,45.969,25.787,221000
1993-09-30,46.031,46.125,45.844,25.735,99300
1993-10-01,45.875,46.219,45.812,25.857,22700
1993-10-04,46.219,46.219,46.094,25.892,1038500
1993-10-05,46.312,46.312,46.000,25.857,436500
1993-10-06,46.188,46.375,46.125,25.840,209200
1993-10-07,46.188,46.188,45.969,25.770,59400
1993-10-08,46.125,46.156,45.719,25.805,54400
1993-10-11,46.156,46.250,46.156,25.857,467100
1993-10-12,46.219,46.250,46.188,25.892,26200
1993-10-13,46.250,46.250,46.156,25.892,139100
1993-10-14,46.406,46.812,46.281,26.225,108100
1993-10-15,47.031,47.156,46.906,26.365,1502500
1993-10-18,47.031,47.031,46.875,26.295,722400
1993-10-19,46.875,46.969,46.594,26.102,880100
1993-10-20,46.750,46.750,46.562,26.137,230400
1993-10-21,46.688,46.688,46.531,26.102,56200
1993-10-22,46.656,46.844,46.375,25.980,390700
1993-10-25,46.406,46.562,46.281,26.050,114500
1993-10-26,46.469,46.500,46.312,26.032,186200
1993-10-27,46.406,46.531,46.406,26.050,118400
1993-10-28,46.562,46.969,46.562,26.242,129600
1993-10-29,46.812,46.875,46.781,26.242,80700
1993-11-01,46.781,47.000,46.781,26.312,36400
1993-11-02,46.906,47.000,46.656,26.295,262100
1993-11-03,46.906,46.906,46.125,25.962,479100
1993-11-04,46.344,46.344,45.812,25.682,130400
1993-11-05,45.719,46.062,45.531,25.805,363200
1993-11-08,46.094,46.250,45.969,25.840,367600
1993-11-09,46.438,46.469,46.125,25.857,246900
1993-11-10,46.156,46.500,46.031,26.050,46500
1993-11-11,46.500,46.625,46.344,25.980,88900
1993-11-12,46.469,46.750,46.438,26.102,108200
1993-11-15,46.688,46.688,46.438,26.085,243300
1993-11-16,46.656,46.812,46.469,26.207,492600
1993-11-17,46.812,46.812,46.406,26.067,39600
1993-11-18,46.469,46.562,46.281,25.997,240800
1993-11-19,46.250,46.375,46.219,25.945,106000
1993-11-22,46.188,46.219,45.875,25.787,165300
1993-11-23,46.281,46.312,46.031,25.927,89700
1993-11-24,46.406,46.500,46.344,26.032,77200
1993-11-26,46.594,46.594,46.469,26.050,1019800
1993-11-29,46.625,46.719,46.312,25.945,517500
1993-11-30,46.281,46.562,46.250,25.962,230000
1993-12-01,46.594,46.625,46.406,25.997,379200
1993-12-02,46.500,46.562,46.406,26.067,352000
1993-12-03,46.500,46.719,46.500,26.172,306000
1993-12-06,46.781,46.938,46.781,26.260,99500
1993-12-07,46.875,46.906,46.781,26.242,88800
1993-12-08,46.844,46.844,46.781,26.242,146700
1993-12-09,46.844,46.906,46.625,26.155,416500
1993-12-10,46.719,46.719,46.500,26.102,412900
1993-12-13,46.594,46.875,46.531,26.260,273200
1993-12-14,46.906,46.906,46.531,26.067,41900
1993-12-15,46.594,46.625,46.469,26.032,82600
1993-12-16,46.656,46.656,46.562,26.120,78200
1993-12-17,46.406,46.594,46.375,26.263,104700
1993-12-20,46.531,46.656,46.500,26.298,68800
1993-12-21,46.562,46.562,46.406,26.210,205700
1993-12-22,46.594,46.812,46.500,26.387,410300
1993-12-23,46.750,46.844,46.688,26.369,533800
1993-12-27,46.750,47.000,46.750,26.510,447100
1993-12-28,46.969,47.125,46.938,26.563,880600
1993-12-29,47.125,47.156,47.000,26.528,266700
1993-12-30,47.000,47.000,46.750,26.422,219900
1993-12-31,46.938,47.000,46.562,26.281,312900
1994-01-03,46.594,46.656,46.406,26.210,960900
1994-01-04,46.531,46.656,46.469,26.316,164300
1994-01-05,46.719,46.781,46.531,26.369,710900
1994-01-06,46.812,46.844,46.688,26.369,201000
1994-01-07,46.844,47.062,46.719,26.528,775500
1994-01-10,47.094,47.594,46.969,26.845,593700
1994-01-11,47.562,47.562,47.344,26.792,295200
1994-01-12,47.531,47.531,47.188,26.704,158400
1994-01-13,47.219,47.312,47.156,26.633,244300
1994-01-14,47.375,47.500,47.375,26.739,137200
1994-01-17,47.406,47.469,47.312,26.739,17700
1994-01-18,47.469,47.531,47.375,26.774,166400
1994-01-19,47.406,47.469,47.250,26.704,200800
1994-01-20,47.406,47.500,47.375,26.774,281100
1994-01-21,47.531,47.531,47.344,26.722,85600
1994-01-24,47.344,47.562,47.188,26.616,373800
1994-01-25,47.219,47.250,47.094,26.616,310400
1994-01-26,47.188,47.344,47.125,26.686,145100
1994-01-27,47.406,47.812,47.344,26.933,344500
1994-01-28,47.938,48.031,47.875,27.004,356500
1994-01-31,48.062,48.312,48.000,27.197,313800
1994-02-01,48.156,48.156,47.906,27.056,303600
1994-02-02,48.125,48.281,48.094,27.233,307600
1994-02-03,48.188,48.188,47.906,27.109,466100
1994-02-04,48.062,48.125,46.969,26.492,1403200
1994-02-07,46.844,47.312,46.844,26.616,516400
1994-02-08,47.281,47.281,47.031,26.633,188200
1994-02-09,47.250,47.438,47.188,26.739,144600
1994-02-10,47.375,47.406,47.000,26.510,883900
1994-02-11,47.031,47.281,46.812,26.598,519400
1994-02-14,47.062,47.375,47.000,26.633,2742100
1994-02-15,47.312,47.500,47.250,26.774,374700
1994-02-16,47.531,47.531,47.344,26.757,287600
1994-02-17,47.656,47.688,47.031,26.598,342400
1994-02-18,47.188,47.219,46.750,26.439,313300
1994-02-22,47.000,47.344,47.000,26.704,154500
1994-02-23,47.406,47.438,47.062,26.633,391700
1994-02-24,47.062,47.062,46.562,26.281,770800
1994-02-25,46.656,46.812,46.562,26.404,531300
1994-02-28,46.938,47.062,46.812,26.404,333000
1994-03-01,46.812,46.906,46.375,26.298,423600
1994-03-02,46.031,46.688,45.906,26.334,581500
1994-03-03,46.625,46.625,46.438,26.263,223200
1994-03-04,46.562,46.812,46.406,26.334,595800
1994-03-07,46.844,47.000,46.844,26.475,539800
1994-03-08,46.969,46.969,46.688,26.369,880300
1994-03-09,46.812,47.000,46.594,26.492,2500100
1994-03-10,46.938,46.938,46.438,26.281,207400
1994-03-11,46.656,46.906,46.406,26.422,576600
1994-03-14,47.031,47.031,46.844,26.457,345900
1994-03-15,47.000,47.094,46.844,26.439,748600
1994-03-16,46.938,47.250,46.781,26.651,455500
1994-03-17,47.094,47.312,47.094,26.651,133000
1994-03-18,46.750,47.031,46.719,26.645,365500
1994-03-21,46.812,46.938,46.719,26.574,324800
1994-03-22,46.844,47.062,46.750,26.645,435700
1994-03-23,46.938,47.062,46.906,26.627,698500
1994-03-24,46.750,46.844,46.156,26.308,1200500
1994-03-25,46.406,46.531,45.938,26.060,100900
1994-03-28,46.000,46.062,45.594,26.096,1117200
1994-03-29,46.000,46.031,45.094,25.582,338400
1994-03-30,45.125,45.250,44.469,25.227,1123900
1994-03-31,44.469,44.688,43.531,25.298,788800
1994-04-04,43.344,44.031,43.344,24.908,2627300
1994-04-05,44.344,44.812,44.344,25.422,1179000
1994-04-06,44.875,44.906,44.500,25.422,516500
1994-04-07,44.781,45.125,44.531,25.546,666100
1994-04-08,44.938,44.938,44.469,25.351,242400
1994-04-11,44.812,45.062,44.703,25.457,203300
1994-04-12,44.922,45.000,44.719,25.422,1409200
1994-04-13,44.797,44.906,44.250,25.289,364100
1994-04-14,44.500,44.828,44.406,25.298,419900
1994-04-15,44.578,44.781,44.516,25.298,387300
1994-04-18,44.641,44.766,44.156,25.129,369100
1994-04-19,44.250,44.531,43.984,25.165,472200
1994-04-20,44.406,44.516,44.078,25.138,508000
1994-04-21,44.500,44.969,44.344,25.475,200300
1994-04-22,45.016,45.047,44.734,25.449,301800
1994-04-25,44.844,45.359,44.844,25.714,394600
1994-04-26,45.266,45.344,45.188,25.688,399000
1994-04-28,45.188,45.250,44.812,25.502,287000
1994-04-29,44.875,45.156,44.812,25.582,481900
1994-05-02,45.094,45.719,44.938,25.741,275000
1994-05-03,45.391,45.406,45.062,25.714,183400
1994-05-04,45.422,45.422,45.078,25.670,401900
1994-05-05,45.297,45.375,45.188,25.635,659800
1994-05-06,44.969,44.969,44.594,25.387,216300
1994-05-09,44.625,44.750,44.281,25.165,499300
1994-05-10,44.578,44.844,44.547,25.360,583400
1994-05-11,44.656,44.719,44.172,25.129,210600
1994-05-12,44.578,44.625,44.406,25.254,305200
