date,open,high,low,close,volume
1990-01-02,3015.700,3015.700,3015.700,3015.700,0
1990-01-03,3042.300,3042.300,3042.300,3042.300,0
1990-01-04,3039.000,3039.000,3039.000,3039.000,0
1990-01-05,3006.000,3006.000,3006.000,3006.000,0
1990-01-08,3002.300,3002.300,3002.300,3002.300,0
1990-01-09,3005.300,3005.300,3005.300,3005.300,0
1990-01-10,2991.100,2991.100,2991.100,2991.100,0
1990-01-11,2988.400,2988.400,2988.400,2988.400,0
1990-01-12,2957.100,2957.100,2957.100,2957.100,0
1990-01-15,2937.400,2937.400,2937.400,2937.400,0
1990-01-16,2891.900,2891.900,2891.900,2891.900,0
1990-01-17,2902.400,2902.400,2902.400,2902.400,0
1990-01-18,2891.500,2891.500,2891.500,2891.500,0
1990-01-19,2884.500,2884.500,2884.500,2884.500,0
1990-01-22,2887.500,2887.500,2887.500,2887.500,0
1990-01-23,2872.600,2872.600,2872.600,2872.600,0
1990-01-24,2831.000,2831.000,2831.000,2831.000,0
1990-01-25,2838.200,2838.200,2838.200,2838.200,0
1990-01-26,2824.800,2824.800,2824.800,2824.800,0
1990-01-29,2837.000,2837.000,2837.000,2837.000,0
1990-01-30,2835.000,2835.000,2835.000,2835.000,0
1990-01-31,2841.600,2841.600,2841.600,2841.600,0
1990-02-01,2857.500,2857.500,2857.500,2857.500,0
1990-02-02,2881.000,2881.000,2881.000,2881.000,0
1990-02-05,2925.700,2925.700,2925.700,2925.700,0
1990-02-06,2930.000,2930.000,2930.000,2930.000,0
1990-02-07,2919.200,2919.200,2919.200,2919.200,0
1990-02-08,2912.700,2912.700,2912.700,2912.700,0
1990-02-09,2882.800,2882.800,2882.800,2882.800,0
1990-02-12,2873.700,2873.700,2873.700,2873.700,0
1990-02-13,2853.400,2853.400,2853.400,2853.400,0
1990-02-14,2862.300,2862.300,2862.300,2862.300,0
1990-02-15,2862.900,2862.900,2862.900,2862.900,0
1990-02-16,2854.200,2854.200,2854.200,2854.200,0
1990-02-19,2849.700,2849.700,2849.700,2849.700,0
1990-02-20,2822.300,2822.300,2822.300,2822.300,0
1990-02-21,2793.100,2793.100,2793.100,2793.100,0
1990-02-22,2797.800,2797.800,2797.800,2797.800,0
1990-02-23,2778.500,2778.500,2778.500,2778.500,0
1990-02-26,2741.200,2741.200,2741.200,2741.200,0
1990-02-27,2757.900,2757.900,2757.900,2757.900,0
1990-02-28,2762.400,2762.400,2762.400,2762.400,0
1990-03-01,2745.100,2745.100,2745.100,2745.100,0
1990-03-02,2754.600,2754.600,2754.600,2754.600,0
1990-03-06,2743.100,2743.100,2743.100,2743.100,0
1990-03-07,2745.200,2745.200,2745.200,2745.200,0
1990-03-08,2752.700,2752.700,2752.700,2752.700,0
1990-03-09,2758.200,2758.200,2758.200,2758.200,0
1990-03-12,2747.100,2747.100,2747.100,2747.100,0
1990-03-13,2737.100,2737.100,2737.100,2737.100,0
1990-03-14,2714.700,2714.700,2714.700,2714.700,0
1990-03-15,2704.900,2704.900,2704.900,2704.900,0
1990-03-16,2695.300,2695.300,2695.300,2695.300,0
1990-03-19,2671.500,2671.500,2671.500,2671.500,0
1990-03-20,2660.500,2660.500,2660.500,2660.500,0
1990-03-21,2652.800,2652.800,2652.800,2652.800,0
1990-03-22,2604.700,2604.700,2604.700,2604.700,0
1990-03-23,2570.300,2570.300,2570.300,2570.300,0
1990-03-26,2574.100,2574.100,2574.100,2574.100,0
1990-03-27,2527.800,2527.800,2527.800,2527.800,0
