date,open,high,low,close,volume
2005-02-25,23.255,23.375,23.109,23.366,79361
2005-02-28,23.366,23.366,23.074,23.194,135762
2005-03-01,23.226,23.388,23.226,23.388,156871
2005-03-02,23.057,23.180,22.964,23.063,34517
2005-03-03,23.165,23.165,22.920,23.007,94926
2005-03-04,23.286,23.622,23.232,23.622,98778
2005-03-07,23.504,23.512,23.388,23.431,31283
2005-03-08,23.652,23.688,23.523,23.622,26970
2005-03-09,23.535,23.556,23.438,23.504,12790
2005-03-10,23.382,23.438,23.180,23.294,230999
2005-03-11,23.286,23.492,23.251,23.251,31591
2005-03-14,23.251,23.251,23.101,23.158,102170
2005-03-15,23.297,23.297,23.035,23.042,34060
2005-03-16,23.001,23.035,22.901,22.947,38370
2005-03-17,22.895,23.090,22.874,23.090,28353
2005-03-18,23.068,23.068,22.763,22.861,40836
2005-03-21,22.784,22.784,22.575,22.575,48691
2005-03-22,22.678,22.874,22.389,22.413,52704
2005-03-23,22.324,22.407,22.207,22.297,67805
2005-03-24,22.549,22.549,22.413,22.466,36520
2005-03-28,22.402,22.402,22.297,22.343,159186
2005-03-29,22.324,22.382,22.207,22.315,17106
2005-03-30,22.272,22.499,22.272,22.460,31128
2005-03-31,22.425,22.484,22.232,22.368,24807
2005-04-01,22.407,22.484,22.213,22.232,22497
2005-04-04,22.063,22.098,21.890,21.986,56400
2005-04-05,22.127,22.232,22.127,22.218,8321
2005-04-06,22.420,22.499,22.375,22.439,13409
2005-04-07,22.598,22.598,22.446,22.532,30050
2005-04-08,22.484,22.532,22.395,22.504,7859
2005-04-11,22.532,22.650,22.532,22.604,14640
2005-04-12,22.478,22.604,22.290,22.604,31283
2005-04-13,22.518,22.570,22.439,22.454,16183
2005-04-14,22.420,22.425,22.315,22.338,18184
2005-04-15,22.098,22.225,21.902,22.007,48855
2005-04-18,21.907,21.926,21.806,21.926,33438
2005-04-19,22.011,22.154,21.980,22.154,12790
2005-04-20,21.999,22.050,21.842,21.842,15256
2005-04-21,22.136,22.218,22.075,22.104,15874
2005-04-22,22.136,22.213,22.107,22.122,24504
2005-04-25,22.075,22.154,22.037,22.154,5551
2005-04-26,22.018,22.050,21.935,21.952,61332
2005-04-27,21.673,21.702,21.611,21.640,34677
2005-04-28,21.597,21.720,21.382,21.382,61332
2005-04-29,21.687,21.771,21.656,21.708,25271
2005-05-02,21.918,21.993,21.863,21.993,10479
2005-05-03,21.945,22.057,21.945,22.045,4929
2005-05-04,22.063,22.446,22.063,22.353,20187
2005-05-05,22.454,22.478,22.264,22.264,18954
2005-05-06,22.225,22.225,22.201,22.201,1695
2005-05-09,22.201,22.201,22.127,22.187,5702
2005-05-10,22.107,22.154,21.965,21.980,16798
2005-05-11,21.959,21.959,21.902,21.952,6470
2005-05-12,21.902,21.902,21.798,21.798,4315
2005-05-13,21.850,21.857,21.687,21.771,18338
2005-05-16,21.771,21.907,21.771,21.897,6470
2005-05-17,21.785,21.935,21.785,21.897,12017
2005-05-18,22.187,22.276,22.187,22.239,4469
2005-05-19,22.276,22.324,22.264,22.324,46227
