date,open,high,low,close,volume
1990-01-02,206.690,206.690,206.690,206.690,0
1990-01-03,208.440,208.440,208.440,208.440,0
1990-01-04,211.820,211.820,211.820,211.820,0
1990-01-05,214.360,214.360,214.360,214.360,0
1990-01-08,215.620,215.620,215.620,215.620,0
1990-01-09,219.730,219.730,219.730,219.730,0
1990-01-10,218.960,218.960,218.960,218.960,0
1990-01-11,219.220,219.220,219.220,219.220,0
1990-01-12,218.960,218.960,218.960,218.960,0
1990-01-15,215.520,215.520,215.520,215.520,0
1990-01-16,211.770,211.770,211.770,211.770,0
1990-01-17,215.810,215.810,215.810,215.810,0
1990-01-18,212.970,212.970,212.970,212.970,0
1990-01-19,210.320,210.320,210.320,210.320,0
1990-01-22,207.820,207.820,207.820,207.820,0
1990-01-23,206.920,206.920,206.920,206.920,0
1990-01-24,202.710,202.710,202.710,202.710,0
1990-01-25,206.580,206.580,206.580,206.580,0
1990-01-26,206.980,206.980,206.980,206.980,0
1990-01-29,207.190,207.190,207.190,207.190,0
1990-01-30,207.190,207.190,207.190,207.190,0
1990-01-31,209.260,209.260,209.260,209.260,0
1990-02-01,211.090,211.090,211.090,211.090,0
1990-02-02,213.010,213.010,213.010,213.010,0
1990-02-05,214.020,214.020,214.020,214.020,0
1990-02-06,212.790,212.790,212.790,212.790,0
1990-02-07,210.210,210.210,210.210,210.210,0
1990-02-08,210.380,210.380,210.380,210.380,0
1990-02-09,209.130,209.130,209.130,209.130,0
1990-02-12,205.460,205.460,205.460,205.460,0
1990-02-13,200.210,200.210,200.210,200.210,0
1990-02-14,198.420,198.420,198.420,198.420,0
1990-02-15,194.340,194.340,194.340,194.340,0
1990-02-16,196.930,196.930,196.930,196.930,0
1990-02-19,192.250,192.250,192.250,192.250,0
1990-02-20,189.470,189.470,189.470,189.470,0
1990-02-21,188.780,188.780,188.780,188.780,0
1990-02-22,194.080,194.080,194.080,194.080,0
1990-02-23,193.330,193.330,193.330,193.330,0
1990-02-26,191.900,191.900,191.900,191.900,0
1990-02-27,194.910,194.910,194.910,194.910,0
1990-02-28,195.720,195.720,195.720,195.720,0
1990-03-01,193.970,193.970,193.970,193.970,0
1990-03-02,193.210,193.210,193.210,193.210,0
1990-03-05,192.970,192.970,192.970,192.970,0
1990-03-06,193.580,193.580,193.580,193.580,0
1990-03-07,193.150,193.150,193.150,193.150,0
1990-03-08,191.910,191.910,191.910,191.910,0
1990-03-09,192.000,192.000,192.000,192.000,0
1990-03-12,190.950,190.950,190.950,190.950,0
1990-03-13,189.670,189.670,189.670,189.670,0
1990-03-14,189.680,189.680,189.680,189.680,0
1990-03-15,190.200,190.200,190.200,190.200,0
1990-03-16,189.710,189.710,189.710,189.710,0
1990-03-19,187.810,187.810,187.810,187.810,0
1990-03-20,188.760,188.760,188.760,188.760,0
1990-03-21,190.690,190.690,190.690,190.690,0
1990-03-22,191.030,191.030,191.030,191.030,0
1990-03-23,190.690,190.690,190.690,190.690,0
1990-03-26,191.080,191.080,191.080,191.080,0
1990-03-27,190.600,190.600,190.600,190.600,0
1990-03-28,190.000,190.000,190.000,190.000,0
1990-03-29,189.070,189.070,189.070,189.070,0
1990-03-30,187.880,187.880,187.880,187.880,0
1990-04-02,184.990,184.990,184.990,184.990,0
1990-04-03,186.270,186.270,186.270,186.270,0
1990-04-04,187.360,187.360,187.360,187.360,0
1990-04-05,187.300,187.300,187.300,187.300,0
1990-04-06,189.200,189.200,189.200,189.200,0
1990-04-09,189.680,189.680,189.680,189.680,0
1990-04-10,189.550,189.550,189.550,189.550,0
1990-04-11,188.900,188.900,188.900,188.900,0
1990-04-12,188.920,188.920,188.920,188.920,0
1990-04-17,190.670,190.670,190.670,190.670,0
1990-04-18,192.770,192.770,192.770,192.770,0
1990-04-19,193.510,193.510,193.510,193.510,0
1990-04-20,196.060,196.060,196.060,196.060,0
1990-04-23,196.000,196.000,196.000,196.000,0
1990-04-24,193.910,193.910,193.910,193.910,0
1990-04-25,193.560,193.560,193.560,193.560,0
1990-04-26,194.380,194.380,194.380,194.380,0
1990-04-27,192.950,192.950,192.950,192.950,0
1990-04-30,190.890,190.890,190.890,190.890,0
1990-05-02,191.260,191.260,191.260,191.260,0
1990-05-03,191.790,191.790,191.790,191.790,0
1990-05-04,192.950,192.950,192.950,192.950,0
1990-05-07,194.410,194.410,194.410,194.410,0
1990-05-08,195.030,195.030,195.030,195.030,0
1990-05-09,198.740,198.740,198.740,198.740,0
1990-05-10,200.820,200.820,200.820,200.820,0
1990-05-11,203.770,203.770,203.770,203.770,0
1990-05-14,206.100,206.100,206.100,206.100,0
1990-05-15,205.450,205.450,205.450,205.450,0
1990-05-16,203.430,203.430,203.430,203.430,0
1990-05-17,206.190,206.190,206.190,206.190,0
1990-05-18,206.990,206.990,206.990,206.990,0
1990-05-21,207.540,207.540,207.540,207.540,0
1990-05-22,208.630,208.630,208.630,208.630,0
1990-05-23,210.150,210.150,210.150,210.150,0
1990-05-25,213.060,213.060,213.060,213.060,0
1990-05-28,216.230,216.230,216.230,216.230,0
1990-05-29,213.900,213.900,213.900,213.900,0
1990-05-30,214.600,214.600,214.600,214.600,0
1990-05-31,215.520,215.520,215.520,215.520,0
1990-06-01,216.260,216.260,216.260,216.260,0
1990-06-05,220.700,220.700,220.700,220.700,0
1990-06-06,218.440,218.440,218.440,218.440,0
1990-06-07,217.940,217.940,217.940,217.940,0
1990-06-08,218.800,218.800,218.800,218.800,0
1990-06-11,217.550,217.550,217.550,217.550,0
1990-06-12,218.230,218.230,218.230,218.230,0
1990-06-13,217.110,217.110,217.110,217.110,0
1990-06-14,215.790,215.790,215.790,215.790,0
1990-06-15,216.930,216.930,216.930,216.930,0
1990-06-18,217.380,217.380,217.380,217.380,0
