date,open,high,low,close,volume
2005-02-25,13.903,14.103,13.895,14.103,56592
2005-02-28,14.190,14.197,13.990,14.022,65748
2005-03-01,14.089,14.109,13.990,14.057,86464
2005-03-02,13.983,14.057,13.895,14.043,93070
2005-03-03,14.109,14.170,14.028,14.103,34073
2005-03-04,14.156,14.511,14.156,14.469,168724
2005-03-07,14.390,14.461,14.265,14.351,67251
2005-03-08,14.423,14.454,14.265,14.270,52236
2005-03-09,14.270,14.390,14.270,14.344,40080
2005-03-10,14.281,14.315,14.183,14.265,58842
2005-03-11,14.339,14.344,14.323,14.323,47887
2005-03-14,14.257,14.281,14.156,14.170,54039
2005-03-15,14.208,14.289,14.190,14.190,19215
2005-03-16,14.183,14.190,14.016,14.022,34672
2005-03-17,14.004,14.130,13.996,14.123,65897
2005-03-18,14.077,14.082,13.876,13.876,48337
2005-03-21,13.810,13.810,13.663,13.750,29270
2005-03-22,13.750,13.903,13.657,13.699,45034
2005-03-23,13.643,13.690,13.610,13.643,82860
2005-03-24,13.743,13.763,13.690,13.699,10662
2005-03-28,13.528,13.631,13.097,13.584,50584
2005-03-29,13.490,13.568,13.490,13.503,59446
2005-03-30,13.503,13.690,13.503,13.669,14863
2005-03-31,13.589,13.711,13.551,13.556,40381
2005-04-01,13.669,13.725,13.528,13.589,55090
2005-04-04,13.522,13.536,13.410,13.522,59893
2005-04-05,13.551,13.683,13.551,13.637,6455
2005-04-06,13.718,13.876,13.690,13.802,40080
2005-04-07,13.802,13.883,13.743,13.763,28520
2005-04-08,13.855,13.916,13.769,13.775,22515
2005-04-11,13.925,14.082,13.916,13.996,65599
2005-04-12,13.964,14.077,13.758,14.077,31972
2005-04-13,13.883,13.964,13.869,13.869,24167
2005-04-14,13.883,13.883,13.794,13.837,21467
2005-04-15,13.782,13.782,13.589,13.643,104479
2005-04-18,13.551,13.703,13.536,13.602,74006
2005-04-19,13.657,13.769,13.657,13.699,40832
2005-04-20,13.763,13.794,13.595,13.610,6455
2005-04-21,13.883,13.950,13.794,13.883,53742
2005-04-22,14.109,14.123,13.976,13.983,50738
2005-04-25,13.996,14.082,13.943,14.022,51639
2005-04-26,13.788,13.943,13.788,13.844,40980
2005-04-27,13.624,13.624,13.510,13.576,37225
2005-04-28,13.224,13.498,13.175,13.175,59893
2005-04-29,13.324,13.416,13.250,13.369,17263
2005-05-02,13.324,13.363,13.303,13.324,21315
2005-05-03,13.310,13.410,13.275,13.342,95622
2005-05-04,13.404,13.589,13.404,13.568,13810
2005-05-05,13.568,13.782,13.484,13.484,76857
2005-05-06,13.484,13.551,13.472,13.551,25070
2005-05-09,13.568,13.616,13.562,13.562,60643
2005-05-10,13.551,13.551,13.384,13.389,12311
2005-05-11,13.338,13.429,13.338,13.410,2851
2005-05-12,13.472,13.472,13.324,13.356,11708
2005-05-13,13.356,13.456,13.290,13.396,26870
2005-05-16,13.396,13.517,13.338,13.456,57642
2005-05-17,13.255,13.522,13.255,13.484,31222
2005-05-18,13.562,13.657,13.517,13.602,17263
2005-05-19,13.711,13.738,13.595,13.643,11708
2005-05-20,13.699,13.699,13.589,13.631,7356
2005-05-23,13.616,13.711,13.528,13.643,16813
2005-05-24,13.677,13.711,13.663,13.669,19516
2005-05-25,13.738,13.763,13.536,13.703,25969
2005-05-26,13.624,13.718,13.624,13.669,5406
2005-05-27,13.758,13.821,13.669,13.769,13661
2005-05-31,13.725,13.738,13.595,13.595,46685
2005-06-01,13.610,13.643,13.472,13.490,21467
2005-06-02,13.517,13.589,13.490,13.536,14863
2005-06-03,13.536,13.576,13.384,13.396,31222
2005-06-06,13.472,13.522,13.465,13.472,30321
2005-06-07,13.498,13.624,13.456,13.584,39030
2005-06-08,13.657,13.690,13.522,13.568,23867
2005-06-09,13.517,13.568,13.437,13.543,51639
2005-06-10,13.522,13.522,13.384,13.456,47887
2005-06-13,13.255,13.356,13.255,13.255,32574
2005-06-14,13.290,13.444,13.290,13.342,27173
2005-06-15,13.389,13.478,13.389,13.478,10357
2005-06-16,13.472,13.536,13.416,13.522,30321
2005-06-17,13.610,13.861,13.610,13.861,94424
2005-06-20,13.690,13.699,13.522,13.699,70253
2005-06-21,13.732,13.794,13.643,13.750,5856
2005-06-22,13.718,13.763,13.650,13.650,32574
2005-06-23,13.703,13.703,13.465,13.543,88414
2005-06-24,13.602,13.643,13.490,13.498,6603
2005-06-27,13.465,13.551,13.369,13.396,16363
2005-06-28,13.389,13.503,13.363,13.490,18614
2005-06-29,13.356,13.528,13.356,13.522,54640
2005-06-30,13.498,13.528,13.456,13.456,14110
2005-07-01,13.472,13.498,13.363,13.396,12459
2005-07-05,13.389,13.556,13.363,13.556,26870
2005-07-06,13.576,13.637,13.517,13.562,34377
2005-07-07,13.290,13.498,13.237,13.498,40832
2005-07-08,13.556,13.637,13.503,13.562,16210
2005-07-11,13.663,13.909,13.602,13.855,37225
