date,open,high,low,close,volume
2005-02-25,13.350,13.404,13.236,13.404,82358
2005-02-28,13.527,13.527,13.413,13.527,74552
2005-03-01,13.527,13.604,13.436,13.596,83663
2005-03-02,13.474,13.519,13.350,13.429,72602
2005-03-03,13.490,13.490,13.328,13.413,156260
2005-03-04,13.565,13.634,13.350,13.618,37471
2005-03-07,13.574,13.574,13.404,13.536,43069
2005-03-08,13.558,13.626,13.519,13.565,38253
2005-03-09,13.904,13.904,13.474,13.510,20556
2005-03-10,13.574,13.612,13.490,13.565,21730
2005-03-11,13.550,13.681,13.550,13.634,42025
2005-03-14,13.618,13.634,13.474,13.504,56077
2005-03-15,13.681,13.681,13.490,13.510,16524
2005-03-16,13.642,13.642,13.504,13.596,18733
2005-03-17,13.474,13.527,13.413,13.467,61151
2005-03-18,13.337,13.390,13.259,13.337,53606
2005-03-21,13.337,13.337,13.096,13.144,43196
2005-03-22,13.096,13.244,12.880,12.982,69480
2005-03-23,13.005,13.021,12.873,12.927,32269
2005-03-24,12.897,13.058,12.897,12.927,44107
2005-03-28,12.982,13.005,12.880,12.958,22509
2005-03-29,12.914,12.944,12.859,12.873,32139
2005-03-30,12.919,13.028,12.919,13.021,14703
2005-03-31,13.104,13.122,12.967,12.967,22247
2005-04-01,13.066,13.104,12.873,12.937,22247
2005-04-04,12.812,12.914,12.790,12.905,15353
2005-04-05,13.173,13.173,12.798,12.914,48142
2005-04-06,13.050,13.089,12.967,13.014,60762
2005-04-07,12.950,13.151,12.950,13.014,126986
2005-04-08,13.122,13.173,13.066,13.113,14181
2005-04-11,13.181,13.213,13.122,13.158,37471
2005-04-12,13.005,13.250,12.996,13.244,33180
2005-04-13,11.536,13.104,11.536,13.058,34607
2005-04-14,12.975,13.042,12.967,13.042,15093
2005-04-15,13.082,13.104,12.950,12.967,37862
2005-04-18,13.028,13.058,12.919,13.028,12490
2005-04-19,13.213,13.259,13.173,13.228,104218
2005-04-20,13.158,13.181,13.058,13.058,77416
2005-04-21,13.082,13.158,13.066,13.158,293268
2005-04-22,13.190,13.206,13.028,13.028,37733
2005-04-25,13.066,13.076,12.975,13.036,31878
2005-04-26,13.066,13.066,12.982,12.982,28365
2005-04-27,12.859,12.944,12.804,12.914,23030
2005-04-28,12.873,12.905,12.765,12.812,40074
