date,open,high,low,close,volume
2005-02-25,16.131,16.339,16.066,16.339,864554
2005-02-28,16.510,16.575,16.159,16.249,1037050
2005-03-01,16.444,16.562,16.417,16.510,839059
2005-03-02,16.484,16.484,16.208,16.223,744655
2005-03-03,16.313,16.339,16.079,16.104,492762
2005-03-04,16.196,16.234,16.025,16.052,1162156
2005-03-07,16.168,16.313,16.104,16.273,677968
2005-03-08,16.159,16.168,16.002,16.066,332898
2005-03-09,16.184,16.223,15.986,16.013,695350
2005-03-10,16.159,16.159,15.843,15.935,639992
2005-03-11,16.025,16.131,15.805,15.986,414975
2005-03-14,15.751,15.895,15.673,15.751,325089
2005-03-15,15.518,15.647,15.281,15.320,1079008
2005-03-16,15.518,15.543,15.295,15.372,541304
2005-03-17,15.242,15.451,15.242,15.411,272107
2005-03-18,15.518,15.518,15.361,15.464,696421
2005-03-21,15.411,15.411,15.216,15.281,398742
2005-03-22,15.320,15.320,14.890,15.008,494525
2005-03-23,15.086,15.175,15.021,15.021,933769
2005-03-24,14.877,15.150,14.877,15.058,268662
2005-03-28,15.216,15.216,15.021,15.112,332206
2005-03-29,14.823,14.890,14.590,14.693,1022810
2005-03-30,14.929,14.942,14.707,14.890,742742
2005-03-31,15.281,15.281,14.982,15.126,149145
2005-04-01,15.411,15.439,15.175,15.229,1371174
2005-04-04,15.216,15.216,14.890,15.021,330448
2005-04-05,14.864,15.204,14.864,15.058,230150
2005-04-06,15.150,15.204,15.086,15.175,254955
2005-04-07,15.126,15.126,14.902,15.021,442078
2005-04-08,15.216,15.216,15.046,15.046,151902
2005-04-11,15.190,15.190,14.942,14.954,354872
2005-04-12,14.993,15.204,14.916,15.190,287570
2005-04-13,15.150,15.150,14.993,15.058,628128
2005-04-14,14.982,15.021,14.614,14.734,912865
2005-04-15,14.512,14.693,14.512,14.603,857434
2005-04-18,14.368,14.485,14.249,14.432,563813
2005-04-19,14.498,14.693,14.498,14.603,954591
2005-04-20,14.498,14.524,14.236,14.236,357704
2005-04-21,14.498,14.628,14.446,14.603,415970
2005-04-22,14.498,14.614,14.432,14.550,325931
2005-04-25,14.720,14.720,14.603,14.668,525146
2005-04-26,14.799,14.864,14.693,14.734,571545
2005-04-27,14.458,14.720,14.458,14.575,2285647
2005-04-28,14.890,14.890,14.693,14.734,383812
2005-04-29,14.993,14.993,14.734,14.849,603857
2005-05-02,14.954,15.073,14.942,14.993,338564
2005-05-03,15.008,15.008,14.849,14.968,579585
2005-05-04,15.021,15.216,14.902,15.190,571624
2005-05-05,15.399,15.673,14.890,15.568,1370483
2005-05-06,15.568,15.607,15.478,15.568,402037
2005-05-09,15.518,15.529,15.386,15.464,421175
2005-05-10,15.309,15.361,15.216,15.269,170276
2005-05-11,15.269,15.543,15.126,15.411,241787
2005-05-12,15.411,15.411,15.058,15.097,260239
2005-05-13,15.216,15.543,15.216,15.411,965618
2005-05-16,15.255,15.411,15.216,15.347,458310
2005-05-17,15.281,15.333,15.126,15.333,93943
2005-05-18,15.295,15.478,15.216,15.372,290099
2005-05-19,15.595,15.595,15.439,15.556,341167
2005-05-20,15.347,15.491,15.347,15.451,461679
2005-05-23,15.166,15.386,15.166,15.255,125257
2005-05-24,15.320,15.320,15.190,15.281,151596
2005-05-25,15.216,15.281,15.166,15.229,239643
2005-05-26,15.478,15.478,15.347,15.426,994329
2005-05-27,15.568,15.583,15.439,15.543,282748
2005-05-31,15.607,15.621,15.439,15.478,873128
2005-06-01,15.372,15.504,15.309,15.399,102518
2005-06-02,15.543,15.543,15.411,15.478,1047922
2005-06-03,15.805,15.831,15.478,15.543,520094
2005-06-06,15.789,15.870,15.673,15.856,1438244
2005-06-07,15.634,15.935,15.568,15.789,789674
2005-06-08,16.002,16.002,15.805,15.816,346526
2005-06-09,15.805,15.910,15.751,15.895,429904
2005-06-10,15.935,16.002,15.595,15.687,715483
2005-06-13,15.816,16.038,15.166,15.922,971894
2005-06-14,16.052,16.052,15.789,15.805,878029
2005-06-15,16.066,16.104,15.805,15.961,840435
2005-06-16,16.131,16.184,15.973,16.090,646730
2005-06-17,16.326,16.326,16.143,16.273,1077245
2005-06-20,16.196,16.223,16.090,16.118,655765
2005-06-21,16.168,16.979,16.025,16.066,294845
2005-06-22,16.326,16.379,16.234,16.365,834233
2005-06-23,16.417,16.444,16.208,16.223,669392
2005-06-24,16.261,16.273,16.104,16.118,485335
2005-06-27,16.131,16.168,16.052,16.079,301430
2005-06-28,16.079,16.249,16.038,16.249,468645
2005-06-29,15.935,15.935,15.831,15.843,382206
2005-06-30,15.910,15.910,15.726,15.805,385727
2005-07-01,15.816,15.910,15.805,15.805,656840
2005-07-05,15.687,15.831,15.621,15.764,263301
2005-07-06,15.764,15.764,15.583,15.634,994863
2005-07-07,15.568,15.634,15.333,15.583,489850
2005-07-08,15.543,15.738,15.478,15.698,488243
2005-07-11,15.805,16.118,15.805,16.104,396599
2005-07-12,16.184,16.261,16.143,16.261,549727
2005-07-13,16.131,16.313,16.066,16.249,1579732
2005-07-14,16.354,16.769,16.273,16.273,352576
2005-07-15,16.744,16.744,16.249,16.326,340324
2005-07-18,16.354,16.354,16.184,16.234,425079
2005-07-19,16.223,16.444,16.223,16.432,867769
2005-07-20,16.392,16.456,16.273,16.456,218359
2005-07-21,16.365,16.575,16.273,16.471,424085
2005-07-22,16.456,16.495,16.392,16.456,208176
2005-07-25,16.456,16.495,16.365,16.392,162389
2005-07-26,16.079,16.223,16.066,16.196,264373
2005-07-27,16.184,16.184,16.066,16.079,659208
2005-07-28,16.223,16.313,16.184,16.234,690829
2005-07-29,16.090,16.118,15.986,16.002,508610
2005-08-01,16.038,16.196,16.025,16.143,391316
2005-08-02,16.301,16.456,16.288,16.432,642980
2005-08-03,16.456,16.640,16.392,16.522,945635
2005-08-04,16.587,16.587,16.326,16.326,669777
2005-08-05,16.404,16.404,16.066,16.090,379830
2005-08-08,15.713,16.288,15.713,16.159,287342
2005-08-09,16.066,16.326,16.066,16.288,938973
2005-08-10,16.301,16.379,16.131,16.234,460680
2005-08-11,16.313,16.379,16.184,16.313,320724
2005-08-12,16.744,16.744,15.097,16.249,483577
2005-08-15,16.013,16.066,15.881,15.961,296454
2005-08-16,16.002,16.002,15.673,15.726,712345
2005-08-17,15.831,15.910,15.738,15.910,277543
2005-08-18,15.831,15.843,15.583,15.621,286729
2005-08-19,15.568,15.713,15.518,15.568,222262
2005-08-22,15.870,16.066,15.751,15.922,263759
2005-08-23,15.831,15.831,15.647,15.738,447591
2005-08-24,15.583,15.621,15.411,15.426,535483
2005-08-25,15.411,15.556,15.399,15.504,143939
2005-08-26,15.556,15.607,15.411,15.491,505166
2005-08-29,15.347,15.451,15.269,15.386,420180
2005-08-30,15.086,15.204,15.021,15.150,940353
2005-08-31,15.034,15.347,14.890,15.347,722374
2005-09-01,15.255,15.411,15.175,15.399,536099
2005-09-02,15.166,15.491,15.166,15.411,274174
2005-09-06,15.543,15.634,15.411,15.621,440699
2005-09-07,15.451,15.543,15.361,15.372,1079696
2005-09-08,15.411,15.411,15.309,15.347,347062
2005-09-09,15.281,15.451,15.175,15.411,1727193
2005-09-12,15.361,15.543,15.361,15.478,431741
2005-09-13,15.543,15.543,15.347,15.478,988586
2005-09-14,15.478,15.491,15.347,15.451,232829
2005-09-15,15.269,15.361,15.216,15.216,726664
2005-09-16,15.175,15.255,14.993,15.175,1255027
2005-09-19,15.150,15.150,14.902,14.993,554701
2005-09-20,15.309,15.347,15.034,15.126,2223939
2005-09-21,15.216,15.216,14.954,14.982,470253
2005-09-22,14.890,14.890,14.693,14.771,1023345
2005-09-23,14.734,14.745,14.550,14.628,632797
2005-09-26,14.628,14.759,14.550,14.693,655307
2005-09-27,14.524,14.628,14.432,14.564,1409609
2005-09-28,14.524,14.668,14.524,14.642,891505
2005-09-29,14.614,15.204,14.614,15.150,3330812
2005-09-30,15.281,15.399,15.229,15.295,1824811
2005-10-03,15.034,15.333,15.034,15.295,1015766
2005-10-04,15.281,15.518,15.166,15.216,1224095
2005-10-05,15.309,15.347,14.628,15.021,716939
2005-10-06,15.086,15.166,14.823,14.942,914168
2005-10-07,15.255,15.320,14.707,15.229,516112
2005-10-10,15.216,15.216,14.982,15.058,537322
2005-10-11,15.021,15.150,14.902,14.954,590993
2005-10-12,14.786,14.823,14.498,14.655,1022121
2005-10-13,14.707,14.707,14.380,14.603,628203
2005-10-14,14.655,14.693,14.485,14.603,777577
2005-10-17,14.368,14.498,14.276,14.420,1012551
2005-10-18,14.392,14.498,14.302,14.302,2951747
2005-10-19,14.042,14.171,13.846,14.132,1754602
2005-10-20,14.105,14.198,13.846,13.871,1303032
2005-10-21,13.975,14.132,13.909,14.105,450193
2005-10-24,14.001,14.288,13.989,14.223,550260
2005-10-25,14.068,14.145,14.015,14.068,679806
2005-10-26,14.080,14.198,13.962,14.001,741518
2005-10-27,13.975,14.028,13.715,13.715,748026
2005-10-28,13.909,14.094,13.793,13.989,683712
2005-10-31,14.263,14.472,14.158,14.446,1381279
2005-11-01,14.353,14.432,14.276,14.368,414591
2005-11-02,14.249,14.771,14.249,14.759,811189
2005-11-03,14.603,14.877,14.603,14.849,2224474
2005-11-04,14.786,14.823,14.590,14.693,1013012
2005-11-07,14.655,14.734,14.536,14.655,1128619
2005-11-08,14.564,15.175,14.458,14.590,6761311
2005-11-09,14.786,15.086,14.759,14.954,2815389
2005-11-10,15.021,15.150,14.916,15.138,2946082
2005-11-11,15.309,15.399,15.269,15.333,2404933
2005-11-14,15.556,15.660,15.216,15.281,905975
2005-11-15,15.086,15.216,14.993,15.021,1840279
2005-11-16,15.411,15.411,14.982,15.175,574380
2005-11-17,15.309,15.309,15.008,15.204,1510901
2005-11-18,15.464,15.464,15.150,15.204,1533948
2005-11-21,15.216,15.242,15.097,15.216,1035901
2005-11-22,15.175,15.242,14.993,15.216,2329671
2005-11-23,15.229,15.439,15.229,15.361,933002
2005-11-25,14.759,15.386,14.759,15.309,360539
2005-11-28,15.518,15.518,15.269,15.269,1004128
2005-11-29,15.347,15.451,15.229,15.255,1531574
2005-11-30,15.347,15.607,15.347,15.504,2568014
2005-12-01,15.673,16.379,15.439,15.634,3663862
2005-12-02,15.673,15.713,15.583,15.607,3142620
2005-12-05,16.002,16.002,15.789,15.910,2984976
2005-12-06,16.002,16.184,15.948,16.066,4337620
2005-12-07,15.595,16.066,15.595,15.816,3415417
2005-12-08,15.698,15.713,15.491,15.518,1585091
2005-12-09,15.673,15.687,15.543,15.607,1166291
2005-12-12,15.543,15.713,15.543,15.607,2179607
2005-12-13,15.986,15.986,15.478,15.607,2266810
2005-12-14,15.568,15.621,15.491,15.595,2504466
2005-12-15,15.738,15.764,15.607,15.698,3830618
2005-12-16,15.910,16.002,15.895,15.910,2715779
2005-12-19,16.196,16.223,15.935,15.973,1678346
2005-12-20,16.118,16.159,16.013,16.079,2516867
2005-12-21,16.288,16.288,16.168,16.234,1689142
2005-12-22,16.143,16.143,16.038,16.090,1631872
2005-12-23,16.131,16.273,16.131,16.196,974039
2005-12-27,16.090,16.326,16.066,16.118,1542062
2005-12-28,16.223,16.249,16.131,16.208,1864623
2005-12-29,16.313,16.444,16.313,16.354,1603392
2005-12-30,16.223,16.339,16.196,16.301,1076177
2006-01-03,16.653,16.966,16.562,16.874,4921799
2006-01-04,16.914,17.019,16.863,16.966,5862993
2006-01-05,17.307,17.332,17.045,17.228,2766771
2006-01-06,17.253,17.307,17.108,17.253,3005113
2006-01-09,17.698,17.763,17.488,17.527,5970335
2006-01-10,17.346,17.346,17.175,17.201,3250806
2006-01-11,17.346,17.359,17.228,17.332,2335948
2006-01-12,17.476,17.581,17.085,17.108,3640437
2006-01-13,17.175,17.253,17.019,17.240,2760341
2006-01-17,17.175,17.240,16.888,16.927,4132355
2006-01-18,16.653,16.667,16.354,16.432,6307980
2006-01-19,16.522,16.769,16.456,16.719,4588750
2006-01-20,16.575,16.691,16.104,16.379,3896080
2006-01-23,16.404,16.535,16.326,16.444,1875114
2006-01-24,16.614,16.757,16.575,16.667,3225921
2006-01-25,16.914,16.955,16.587,16.731,5736280
2006-01-26,16.784,17.555,16.744,17.504,5889561
2006-01-27,18.285,18.365,17.253,17.711,5969644
2006-01-30,17.777,17.894,17.698,17.813,2605223
2006-01-31,17.867,17.879,17.606,17.606,3183276
2006-02-01,17.527,17.633,17.425,17.567,2451483
2006-02-02,17.527,17.555,17.123,17.136,4274457
2006-02-03,16.874,17.085,16.784,16.955,3466942
2006-02-06,17.450,17.476,17.215,17.215,3547642
2006-02-07,17.188,17.240,16.979,17.098,2741735
2006-02-08,16.901,17.319,16.784,17.085,4005109
2006-02-09,16.979,17.056,16.874,16.966,4938721
2006-02-10,16.901,16.914,16.548,16.914,3805965
2006-02-13,16.809,16.809,16.432,16.471,1915233
2006-02-14,16.784,16.914,16.627,16.914,2243000
2006-02-15,16.706,16.822,16.678,16.822,2377981
2006-02-16,17.032,17.161,16.927,17.098,2529807
2006-02-17,17.019,17.019,16.863,16.927,955281
2006-02-21,16.901,17.005,16.757,16.757,4306460
2006-02-22,16.587,16.719,16.495,16.562,2501632
2006-02-23,16.484,16.495,16.339,16.471,3452703
2006-02-24,16.653,16.653,16.535,16.602,2116595
2006-02-27,16.614,16.809,16.562,16.809,4206548
2006-02-28,16.653,16.784,16.404,16.510,3459823
2006-03-01,16.744,17.032,16.731,17.032,2587000
2006-03-02,16.994,17.032,16.849,17.019,1802837
2006-03-03,16.548,16.691,16.495,16.587,3178069
2006-03-06,16.653,16.653,16.326,16.404,1056805
2006-03-07,16.339,16.339,15.922,16.184,2957569
2006-03-08,15.986,16.261,15.881,16.234,1529661
2006-03-09,16.365,16.392,16.052,16.079,1228001
2006-03-10,16.288,16.640,16.038,16.208,2320022
2006-03-13,16.339,16.456,16.301,16.326,1938890
2006-03-14,16.223,16.522,16.131,16.495,1958569
2006-03-15,16.444,16.510,16.339,16.495,2373770
2006-03-16,16.313,16.444,16.208,16.223,1674211
2006-03-17,16.365,16.365,16.208,16.326,1112543
2006-03-20,16.379,16.392,16.208,16.354,1323550
2006-03-21,16.104,16.273,16.002,16.052,3375220
2006-03-22,15.922,16.090,15.881,16.052,1550486
2006-03-23,16.002,16.052,15.831,15.881,2927095
2006-03-24,15.922,16.038,15.922,15.986,1126169
2006-03-27,16.038,16.131,16.013,16.090,1660047
2006-03-28,16.168,16.184,15.986,16.002,1483722
2006-03-29,16.234,16.404,16.143,16.379,2082600
2006-03-30,16.484,16.640,16.392,16.456,3474983
2006-03-31,16.495,17.085,16.495,16.627,1325465
2006-04-03,16.731,16.966,16.667,16.849,4636525
2006-04-04,16.901,16.979,16.809,16.888,2573679
2006-04-05,16.888,17.085,16.874,17.032,1744267
2006-04-06,17.228,17.293,16.979,17.085,2527893
2006-04-07,17.201,17.201,16.784,16.822,2474605
2006-04-10,17.161,17.188,16.994,17.056,2297207
2006-04-11,17.071,17.071,16.784,16.874,1153580
2006-04-12,16.979,17.045,16.863,17.019,1634780
2006-04-13,17.085,17.228,17.085,17.123,1661883
2006-04-17,17.619,17.619,17.307,17.450,1987127
2006-04-18,17.488,17.777,17.488,17.736,2403631
2006-04-19,17.736,17.829,17.581,17.763,1939886
2006-04-20,17.934,18.102,17.777,17.998,1941417
2006-04-21,18.117,18.117,17.659,17.777,2896621
2006-04-24,18.063,18.063,17.606,17.802,4715308
2006-04-25,17.879,17.879,17.619,17.763,1972806
2006-04-26,17.987,18.154,17.972,18.102,3036426
2006-04-27,18.024,18.208,17.921,18.154,1721527
2006-04-28,18.154,18.194,18.078,18.078,1746332
2006-05-01,18.181,18.298,18.167,18.167,3016901
2006-05-02,18.324,18.455,18.313,18.390,4796388
2006-05-03,18.547,18.547,18.351,18.519,2286489
2006-05-04,18.835,18.952,18.756,18.926,3213441
2006-05-05,19.094,19.266,19.002,19.239,3397575
2006-05-08,19.501,19.513,19.396,19.435,3053424
2006-05-09,19.187,19.212,18.990,19.002,3768525
2006-05-10,18.979,18.979,18.807,18.979,1393301
2006-05-11,19.070,19.136,18.351,18.469,3788431
2006-05-12,18.469,18.519,18.051,18.351,4316491
2006-05-15,18.038,18.144,17.307,17.829,4050278
2006-05-16,17.751,17.879,17.646,17.736,2027323
2006-05-17,18.011,18.011,17.332,17.450,3888960
2006-05-18,17.346,17.606,17.253,17.488,3116360
2006-05-19,17.593,17.659,17.228,17.659,4011539
2006-05-22,16.849,16.927,16.417,16.769,7167556
2006-05-23,16.966,17.293,16.784,16.784,4151956
2006-05-24,17.071,17.161,16.719,17.045,2963082
2006-05-25,16.994,17.332,16.994,17.307,3121334
2006-05-26,17.201,17.398,17.019,17.150,1313368
2006-05-30,16.955,16.994,16.522,16.522,1912551
2006-05-31,16.769,16.849,16.640,16.809,2160465
2006-06-01,16.966,17.280,16.836,17.240,2959251
2006-06-02,17.540,17.593,17.293,17.359,2080994
2006-06-05,16.757,16.836,16.379,16.456,4269711
2006-06-06,16.731,16.757,16.208,16.471,3530416
2006-06-07,16.313,16.404,16.090,16.118,3016062
2006-06-08,15.347,15.673,15.034,15.518,6247877
2006-06-09,15.910,16.066,15.568,15.607,2648097
2006-06-12,15.738,15.751,15.333,15.347,2319565
2006-06-13,15.229,15.281,14.968,15.112,4313427
2006-06-14,15.295,15.816,15.295,15.751,3358069
2006-06-15,15.870,16.223,15.831,16.143,2252342
2006-06-16,16.432,16.471,16.013,16.131,1782625
2006-06-19,16.249,16.339,15.948,15.961,1111472
2006-06-20,15.713,15.805,15.595,15.660,1671838
2006-06-21,15.504,15.973,15.504,15.831,3425599
2006-06-22,16.090,16.090,15.738,15.986,2165289
2006-06-23,15.831,15.986,15.713,15.910,621618
2006-06-26,16.002,16.025,15.870,15.986,1609056
2006-06-27,16.184,16.184,15.764,15.805,1442914
2006-06-28,16.013,16.079,15.751,16.066,1867841
2006-06-29,16.313,16.744,16.261,16.719,3030303
2006-06-30,16.757,16.784,16.562,16.744,1470478
2006-07-03,16.731,16.888,16.719,16.863,1013242
2006-07-05,16.484,16.510,16.313,16.354,1416039
2006-07-06,16.522,16.548,16.379,16.417,721915
2006-07-07,16.444,16.456,16.196,16.223,1830554
2006-07-10,16.471,16.575,16.365,16.417,1625211
2006-07-11,16.313,16.456,16.223,16.456,825736
2006-07-12,16.273,16.339,16.143,16.223,1172721
2006-07-13,16.002,16.118,15.726,15.816,2372164
2006-07-14,15.621,15.673,15.451,15.529,2910632
2006-07-17,15.046,15.255,15.046,15.204,1239408
2006-07-18,15.255,15.309,15.058,15.175,1249055
2006-07-19,15.190,15.843,15.175,15.687,4080827
2006-07-20,15.986,15.986,15.556,15.660,2130835
2006-07-21,15.621,15.673,15.386,15.411,2076629
2006-07-24,15.621,15.843,15.491,15.779,2851680
2006-07-25,15.687,15.856,15.634,15.789,2225467
2006-07-26,15.647,15.831,15.568,15.779,1135895
2006-07-27,15.948,16.090,15.805,15.831,1608750
2006-07-28,15.973,16.326,15.895,16.234,1798933
2006-07-31,15.948,16.038,15.935,16.025,977791
2006-08-01,15.805,15.895,15.647,15.726,2254255
2006-08-02,15.935,16.079,15.922,15.973,1971353
2006-08-03,15.726,16.052,15.726,15.973,812261
2006-08-04,15.948,16.131,15.764,15.843,1010025
2006-08-07,15.805,15.870,15.673,15.713,1357393
2006-08-08,16.066,16.196,15.948,15.948,3504535
2006-08-09,16.326,16.456,16.168,16.208,2727799
2006-08-10,16.404,16.495,16.354,16.404,1427753
2006-08-11,16.354,16.404,16.234,16.261,1450415
2006-08-14,16.404,16.587,16.404,16.417,1299893
2006-08-15,16.614,16.809,16.602,16.731,1768231
2006-08-16,16.809,16.914,16.809,16.863,2951595
2006-08-17,16.914,17.071,16.874,17.045,1975641
2006-08-18,16.941,16.979,16.784,16.966,1650631
2006-08-21,16.261,16.444,16.234,16.432,1827416
2006-08-22,16.456,16.562,16.354,16.354,1966761
2006-08-23,16.404,16.417,16.143,16.159,1013317
2006-08-24,16.261,16.365,16.184,16.223,941881
2006-08-25,16.131,16.288,16.079,16.143,616488
2006-08-28,16.052,16.118,15.961,16.038,1033453
2006-08-29,16.159,16.159,15.948,16.143,1453173
2006-08-30,16.261,16.365,16.234,16.273,1604232
2006-08-31,16.379,16.432,16.301,16.326,1349964
2006-09-01,16.535,16.678,16.535,16.678,1482341
2006-09-05,16.719,16.874,16.719,16.836,3129681
2006-09-06,16.614,16.627,16.444,16.495,1643739
2006-09-07,16.587,16.614,16.365,16.575,2438009
2006-09-08,16.614,16.667,16.535,16.614,1507685
2006-09-11,16.602,16.678,16.404,16.587,1738523
2006-09-12,16.456,16.784,16.456,16.769,2684999
2006-09-13,16.667,16.822,16.640,16.769,1503395
2006-09-14,16.404,16.640,16.404,16.495,1920210
2006-09-15,16.719,16.849,16.627,16.719,2287563
2006-09-18,17.045,17.253,17.045,17.240,2014152
2006-09-19,17.188,17.228,16.822,17.005,4374142
2006-09-20,17.188,17.633,17.161,17.633,5295582
2006-09-21,17.332,17.425,17.136,17.188,2291388
2006-09-22,17.228,17.228,16.927,16.979,3299192
2006-09-25,17.240,17.383,17.005,17.319,1771141
2006-09-26,17.188,17.359,17.188,17.319,1644581
2006-09-27,17.332,17.346,17.188,17.293,1506310
2006-09-28,17.175,17.253,17.098,17.175,1787677
2006-09-29,17.098,17.098,16.719,16.719,5752821
2006-10-02,17.150,17.201,17.056,17.071,5247272
2006-10-03,17.175,17.175,17.005,17.056,4124086
2006-10-04,16.863,17.215,16.863,17.136,2966219
2006-10-05,17.019,17.461,17.019,17.425,4337774
2006-10-06,17.293,17.332,17.188,17.240,1277385
2006-10-09,17.161,17.280,17.123,17.228,587932
2006-10-10,17.056,17.332,17.056,17.240,1794415
2006-10-11,17.228,17.280,17.108,17.175,3122254
2006-10-12,17.201,17.410,17.201,17.372,2825724
2006-10-13,17.450,17.527,17.410,17.450,2959405
2006-10-16,17.633,17.683,17.555,17.593,2017061
2006-10-17,17.438,17.476,17.228,17.410,1572842
2006-10-18,17.383,17.476,17.215,17.228,1375845
2006-10-19,17.175,17.253,17.136,17.240,1010790
2006-10-20,17.240,17.240,17.123,17.150,3064602
2006-10-23,17.056,17.307,17.056,17.293,2046922
2006-10-24,17.056,17.372,17.056,17.332,1277614
2006-10-25,17.346,17.359,17.240,17.332,3146449
2006-10-26,17.293,17.438,17.293,17.359,1316585
2006-10-27,17.307,17.398,17.188,17.201,2182362
2006-10-30,17.215,17.215,17.056,17.098,994098
2006-10-31,17.108,17.293,17.108,17.293,1425915
2006-11-01,17.346,17.346,17.005,17.045,4786972
2006-11-02,17.253,17.398,17.215,17.372,2162762
2006-11-03,17.488,17.751,17.488,17.646,3487768
2006-11-06,17.711,17.829,17.646,17.813,3863159
2006-11-07,17.921,17.945,17.813,17.829,1340090
2006-11-08,17.736,17.855,17.646,17.841,733631
2006-11-09,17.777,17.777,17.581,17.606,1622532
2006-11-10,17.813,17.813,17.698,17.736,1830323
2006-11-13,17.724,17.791,17.633,17.763,1289556
2006-11-14,17.855,18.024,17.813,17.945,2238330
2006-11-15,17.934,18.078,17.934,17.972,2099597
2006-11-16,18.560,18.560,17.958,17.958,1040496
2006-11-17,17.879,17.998,17.802,17.998,387257
2006-11-20,17.906,17.998,17.841,17.972,3052507
2006-11-21,18.088,18.194,18.038,18.144,1612959
2006-11-22,18.285,18.390,18.208,18.313,2542823
2006-11-24,18.442,18.676,18.404,18.650,2154493
2006-11-27,18.703,18.794,18.415,18.430,4811856
2006-11-28,18.442,18.547,18.324,18.497,4370851
2006-11-29,18.703,18.898,18.703,18.756,2233813
2006-11-30,19.044,19.094,18.898,18.964,4633004
2006-12-01,19.081,19.187,18.849,18.990,5775712
2006-12-04,19.160,19.370,19.094,19.332,3471077
2006-12-05,19.201,19.435,19.201,19.421,3399030
2006-12-06,19.552,19.632,19.266,19.409,1721298
2006-12-07,19.462,19.489,19.278,19.290,2904585
2006-12-08,19.110,19.290,19.094,19.201,2430659
2006-12-11,19.070,19.148,19.018,19.070,1914163
2006-12-12,18.600,18.676,18.534,18.638,2633626
2006-12-13,18.692,18.729,18.560,18.573,1664027
2006-12-14,18.611,18.835,18.611,18.794,1853139
2006-12-15,18.898,19.018,18.807,18.807,2284191
2006-12-18,19.018,19.110,17.813,19.002,2661344
2006-12-19,18.534,18.860,18.534,18.823,1829175
2006-12-20,18.600,18.638,18.497,18.560,2567858
2006-12-21,18.519,18.627,18.469,18.480,1329678
2006-12-22,18.560,18.600,18.534,18.547,434956
2006-12-26,18.650,18.860,18.650,18.807,856897
2006-12-27,18.914,19.028,18.742,18.964,1580113
2006-12-28,18.990,18.990,18.784,18.807,1357239
