date,open,high,low,close,volume
1996-12-11,890.550,897.370,879.510,885.860,55400
1996-12-12,880.340,880.340,868.460,872.250,49200
1996-12-13,864.400,872.670,857.550,872.670,55500
1996-12-16,872.760,873.010,867.810,872.760,43200
1996-12-17,872.180,874.440,861.460,867.230,55200
1996-12-18,867.300,867.300,846.120,853.820,107900
1996-12-19,853.250,853.250,826.660,832.600,108000
1996-12-20,831.480,831.480,804.490,816.790,96700
1996-12-23,813.260,819.790,789.760,819.790,79500
1996-12-24,819.790,827.660,816.220,826.720,68700
1996-12-25,827.560,841.420,827.560,841.420,52200
1996-12-26,842.100,844.910,819.580,826.480,67300
1996-12-27,825.670,835.710,817.280,835.710,48700
1996-12-30,833.920,834.240,819.430,831.570,77700
1997-01-02,828.550,828.550,799.420,803.130,50500
1997-01-03,798.060,798.060,776.740,787.470,63200
1997-01-06,787.350,790.230,779.530,790.230,54700
1997-01-07,791.830,820.110,791.830,820.110,104400
1997-01-08,825.050,848.950,824.280,831.930,151700
1997-01-09,832.530,850.100,832.530,843.220,118400
1997-01-10,846.050,847.630,832.100,840.500,91200
1997-01-13,841.800,843.610,817.160,822.890,70100
1997-01-14,820.390,820.390,803.890,807.670,79700
1997-01-15,807.920,828.910,804.700,828.910,114300
1997-01-16,830.040,830.040,818.540,822.570,86900
1997-01-17,823.980,832.550,821.230,832.550,68600
1997-01-20,833.800,841.030,830.310,841.030,69400
1997-01-21,841.010,857.640,838.170,854.180,116300
1997-01-22,854.180,870.570,854.180,858.970,140700
1997-01-23,860.570,864.480,843.220,849.170,100100
1997-01-24,846.480,850.620,840.840,848.560,67800
1997-01-27,845.920,849.070,838.020,840.420,49600
1997-01-28,839.280,846.200,837.310,842.630,53200
1997-01-29,842.190,846.190,812.710,814.390,107500
1997-01-30,814.390,821.700,811.190,820.180,103400
1997-01-31,821.550,821.710,782.070,788.040,149200
1997-02-03,779.900,779.900,754.070,761.630,108000
1997-02-04,759.490,770.470,759.490,765.420,88100
1997-02-05,766.000,766.000,738.240,744.590,90800
1997-02-06,742.450,749.140,740.740,749.140,51400
1997-02-07,748.980,749.290,740.230,747.760,31900
1997-02-10,746.490,749.570,732.590,737.230,51800
1997-02-11,736.460,736.460,725.750,733.990,68000
1997-02-12,734.410,739.260,719.670,722.570,90900
1997-02-13,721.140,721.140,690.890,698.060,131600
1997-02-14,694.150,713.480,664.450,713.480,211100
1997-02-17,710.990,719.940,696.430,708.200,106400
1997-02-18,707.230,714.430,697.140,700.150,70600
1997-02-19,702.030,731.740,702.030,731.740,158600
1997-02-20,736.990,759.510,736.990,747.700,240300
1997-02-24,751.630,752.880,739.560,742.080,132800
1997-02-25,743.790,750.730,732.360,739.750,116100
1997-02-26,739.750,740.710,725.790,739.820,98100
1997-02-27,744.360,745.930,721.270,726.010,181500
1997-02-28,724.480,727.560,710.230,727.560,143600
1997-03-03,717.170,719.280,700.440,707.240,39700
1997-03-04,682.140,693.640,681.740,688.740,157500
1997-03-05,686.860,690.790,674.290,683.720,128100
1997-03-06,681.680,685.170,673.340,676.650,118300
1997-03-07,676.220,691.450,676.220,691.450,143400
1997-03-10,692.640,710.320,692.640,703.320,128300
1997-03-11,704.160,719.950,703.970,719.950,141800
1997-03-12,722.930,733.810,718.590,720.270,194800
1997-03-13,720.270,722.410,710.280,716.680,131600
1997-03-14,709.100,709.240,692.780,694.910,113700
1997-03-17,694.330,698.650,686.720,686.920,66200
1997-03-18,687.570,693.870,683.730,693.870,71400
1997-03-19,694.830,700.620,693.680,700.620,67400
1997-03-20,702.710,704.160,696.650,703.090,61500
1997-03-21,702.820,703.600,698.070,702.100,58400
1997-03-24,702.150,713.850,693.520,713.850,55000
1997-03-25,714.760,717.170,709.490,710.680,75000
1997-03-26,710.680,715.360,710.480,714.290,80000
1997-03-27,714.290,714.630,706.610,712.610,64900
1997-03-28,711.540,711.540,703.710,709.090,54100
1997-03-31,708.940,709.590,701.230,705.430,48400
1997-04-01,699.580,699.580,692.760,694.740,53600
1997-04-02,694.170,716.640,693.890,716.640,163200
1997-04-03,716.640,720.200,705.070,706.010,128000
1997-04-04,705.820,714.630,705.820,714.090,87500
1997-04-08,715.460,721.540,713.300,715.360,75800
1997-04-09,715.510,717.940,708.320,712.630,67200
1997-04-10,712.840,717.500,712.820,715.330,46400
1997-04-11,715.690,719.170,710.940,713.620,58200
1997-04-16,713.250,717.350,713.100,716.890,54100
1997-04-17,707.740,707.740,695.570,701.760,140700
1997-04-18,701.780,703.980,697.110,700.230,122900
1997-04-21,699.270,699.270,692.050,694.210,230300
1997-04-22,694.550,699.590,689.290,691.160,81700
1997-04-23,692.660,693.110,685.590,689.790,65300
1997-04-24,689.410,690.510,684.530,688.420,59900
1997-04-25,689.130,689.330,681.350,684.000,90100
1997-04-28,684.300,685.570,671.530,672.480,76400
1997-04-29,670.580,670.580,655.690,658.590,125500
1997-04-30,658.680,668.410,656.280,661.290,124400
1997-05-02,662.440,666.080,658.020,660.100,81700
1997-05-06,660.250,663.030,640.480,643.280,98200
1997-05-07,641.260,641.260,618.660,626.570,104800
1997-05-08,623.390,623.390,609.790,614.060,112300
1997-05-09,612.560,612.560,599.970,605.430,109700
1997-05-13,588.420,600.240,582.760,600.240,131600
1997-05-14,600.240,600.240,564.550,571.300,163200
1997-05-15,571.300,571.300,544.100,557.870,221800
1997-05-16,558.830,562.280,550.820,561.190,176500
1997-05-19,562.520,577.100,562.520,577.100,133400
1997-05-21,584.870,603.570,584.870,596.190,204500
1997-05-22,601.940,601.940,580.990,581.390,184800
1997-05-23,581.180,585.160,575.280,581.130,115400
1997-05-26,573.300,581.130,552.210,568.360,44400
1997-05-27,563.030,570.870,559.540,569.840,100500
1997-05-28,570.510,572.730,559.420,562.830,89000
1997-05-29,562.080,562.080,556.510,558.170,80800
1997-05-30,554.940,567.900,554.560,566.390,297500
1997-06-02,566.390,568.610,560.630,563.350,156200
1997-06-03,562.700,563.520,555.600,556.570,111300
1997-06-04,555.660,558.780,551.200,552.870,130300
1997-06-05,551.460,552.690,544.810,548.050,98000
1997-06-06,547.550,548.700,529.210,530.620,170900
1997-06-09,528.170,542.080,526.050,534.460,229200
1997-06-10,532.430,532.980,523.700,527.220,115300
1997-06-11,524.850,526.420,519.520,521.400,75800
1997-06-12,522.440,525.890,517.910,519.050,112800
1997-06-13,519.840,521.020,510.360,515.600,142600
1997-06-16,516.490,516.890,508.680,511.550,113000
1997-06-17,510.920,510.920,493.460,497.720,132400
1997-06-18,497.720,497.720,479.010,482.940,141000
1997-06-19,470.040,470.040,457.970,464.770,176500
1997-06-20,465.130,480.250,465.130,480.250,190500
1997-06-23,480.250,504.770,480.250,504.530,219600
1997-06-24,509.120,510.520,491.830,493.130,223400
1997-06-25,492.870,496.030,486.770,496.030,150100
1997-06-26,499.050,520.020,499.050,520.020,274500
1997-06-27,519.600,532.590,516.160,528.180,279900
1997-06-30,533.090,536.830,523.320,527.280,186700
