date,open,high,low,close,volume
2008-04-01,50.570,51.930,50.570,31.865,86100
2008-04-02,51.180,52.060,50.700,31.270,91800
2008-04-03,50.600,54.400,50.300,31.160,74300
2008-04-04,50.620,51.000,50.360,31.160,38400
2008-04-07,51.050,51.170,50.680,31.166,36800
2008-04-08,50.820,51.050,50.750,31.283,56200
2008-04-09,50.680,50.800,50.490,31.068,49800
2008-04-10,50.740,51.170,50.500,31.295,51400
2008-04-11,50.500,50.500,50.000,30.706,33400
2008-04-14,50.200,50.230,49.950,30.804,39300
2008-04-15,50.400,50.400,50.050,30.792,40800
2008-04-16,51.850,52.550,51.850,32.246,149400
2008-04-17,52.540,52.630,52.410,32.264,39800
2008-04-18,52.780,53.000,52.650,32.369,52800
2008-04-21,52.070,52.210,51.890,32.000,22000
2008-04-22,52.560,52.560,52.130,32.117,21500
2008-04-23,51.740,51.920,51.610,31.823,24700
2008-04-24,51.790,52.370,51.490,31.976,34900
2008-04-25,51.180,51.440,50.970,31.540,17100
2008-04-28,51.400,51.540,51.340,31.565,15500
2008-04-29,51.300,51.340,51.010,31.350,84700
2008-04-30,51.600,56.550,51.220,31.442,37800
2008-05-01,51.410,51.830,51.160,31.804,17300
2008-05-02,52.390,52.390,51.880,31.902,187300
2008-05-05,52.000,52.170,51.570,31.792,14900
2008-05-06,51.940,52.460,51.800,32.013,19800
2008-05-07,52.390,52.450,51.580,31.724,149300
2008-05-08,51.710,52.130,51.690,31.951,21800
2008-05-09,51.790,51.790,51.370,31.608,57300
2008-05-12,50.660,51.140,50.620,31.381,15000
2008-05-13,50.670,50.730,50.370,31.055,17800
2008-05-14,51.180,51.310,51.030,31.313,24400
2008-05-15,51.380,52.080,51.380,31.945,53600
2008-05-16,52.580,52.840,52.440,32.344,65200
2008-05-19,52.700,53.310,52.660,32.399,68500
2008-05-20,53.060,53.060,52.420,32.356,57300
2008-05-21,53.730,53.760,52.950,32.639,53800
2008-05-22,53.190,53.930,53.150,32.909,917100
2008-05-23,53.470,53.470,52.760,32.491,314400
2008-05-27,51.850,51.890,51.390,31.804,296100
2008-05-28,50.060,50.210,49.650,30.730,265200
2008-05-29,49.610,49.980,49.390,30.589,67900
