date,open,high,low,close,volume
2014-05-01,25.470,25.470,25.429,15.939,597100
2014-05-02,25.400,25.400,25.400,15.920,600
2014-05-05,25.960,26.070,25.960,16.337,1700
2014-05-06,25.970,26.070,25.880,16.221,1700
2014-05-07,25.850,25.942,25.835,16.215,5300
2014-05-08,25.960,25.960,25.900,16.234,1500
2014-05-09,25.780,25.820,25.780,16.177,2200
2014-05-12,25.480,25.550,25.480,15.989,2000
2014-05-13,25.970,25.990,25.930,16.265,1800
2014-05-14,26.240,26.350,26.000,16.296,1300
2014-05-15,25.650,25.709,25.640,16.114,2800
2014-05-16,25.550,25.590,25.540,16.039,1100
2014-05-19,24.400,24.420,24.240,15.231,8800
2014-05-20,23.690,23.690,23.220,14.673,9000
2014-05-21,24.010,24.290,24.010,15.118,11600
2014-05-22,24.480,24.480,24.300,15.237,3600
2014-05-23,24.240,24.380,24.230,15.250,5200
2014-05-27,25.500,25.512,25.060,15.864,17500
2014-05-28,24.650,24.800,24.340,15.425,16000
2014-05-29,25.990,26.080,25.560,16.021,823300
2014-05-30,25.820,26.100,25.700,16.165,755500
2014-06-02,26.780,26.780,26.250,16.453,12100
2014-06-03,26.050,26.050,25.863,16.345,59100
2014-06-04,25.780,25.780,25.500,16.086,141800
2014-06-05,26.060,26.060,25.780,16.290,77000
2014-06-06,26.080,26.340,25.830,16.535,98300
2014-06-09,24.940,24.940,24.550,15.631,139500
2014-06-10,24.460,24.470,24.250,15.267,63600
2014-06-11,24.330,24.340,24.100,15.129,9300
2014-06-12,24.470,24.780,24.410,15.355,11400
2014-06-13,24.990,24.990,24.453,15.612,13700
2014-06-16,23.410,23.410,22.850,14.473,137900
2014-06-17,22.600,22.880,22.580,14.275,85400
2014-06-18,22.550,23.210,22.550,14.551,64000
2014-06-19,23.320,23.544,23.210,14.570,69700
2014-06-20,23.100,23.369,23.100,14.520,7600
2014-06-23,22.660,22.660,22.040,13.935,50300
2014-06-24,21.350,21.490,20.930,13.330,139300
2014-06-25,22.220,22.220,21.860,13.729,47800
2014-06-26,22.230,22.230,21.840,13.735,22700
2014-06-27,22.090,22.090,21.850,13.741,14700
2014-06-30,21.210,21.290,20.790,13.088,133700
2014-07-01,21.510,21.510,20.945,13.183,115400
2014-07-02,21.770,22.500,21.770,14.080,77900
2014-07-03,22.480,22.500,22.300,14.080,202400
2014-07-07,22.750,23.165,22.750,14.338,103300
2014-07-08,22.870,22.890,22.564,14.164,39300
2014-07-09,22.910,22.920,22.850,14.369,8200
2014-07-10,22.632,23.119,22.632,14.363,33800
2014-07-11,22.980,23.140,22.980,14.526,1300
2014-07-14,23.420,23.420,23.080,14.570,15700
2014-07-15,23.500,23.700,23.490,14.827,38800
2014-07-16,24.055,24.055,23.800,15.034,21500
2014-07-17,24.160,24.220,23.900,15.016,36100
2014-07-18,24.190,24.190,23.810,15.173,7700
2014-07-21,23.590,23.590,23.280,14.746,88900
2014-07-22,23.250,23.399,23.250,14.601,600
2014-07-23,23.190,23.253,23.100,14.507,15800
2014-07-24,23.159,23.159,23.050,14.488,7800
2014-07-25,22.860,23.144,22.860,14.438,57000
2014-07-28,23.250,23.590,23.250,14.714,40700
2014-07-29,23.800,23.880,23.740,14.991,56700
2014-07-30,23.610,23.870,23.490,14.765,22100
2014-07-31,23.940,24.490,23.890,15.179,89200
2014-08-01,24.150,24.150,23.670,15.141,75100
2014-08-04,23.880,24.430,23.760,15.053,103600
2014-08-05,23.700,24.090,23.700,14.916,7600
2014-08-06,23.590,23.770,23.320,14.689,17800
2014-08-07,23.240,23.420,23.230,14.589,11400
2014-08-08,23.430,23.730,23.430,14.896,3700
2014-08-11,23.570,24.020,23.570,15.041,6700
2014-08-12,23.680,24.050,23.680,15.097,2100
2014-08-13,23.890,24.050,23.800,14.940,44700
2014-08-14,23.890,24.060,23.880,15.041,112400
2014-08-15,23.980,23.980,23.970,15.047,97600
2014-08-18,24.030,24.030,24.000,15.066,1300
2014-08-19,23.800,24.150,23.800,15.110,30100
2014-08-20,24.010,24.104,24.000,15.110,900
2014-08-21,24.070,24.420,24.070,15.330,14400
2014-08-22,24.420,24.420,24.150,15.185,1500
2014-08-25,24.290,24.498,24.290,15.378,900
2014-08-26,24.700,24.700,24.380,15.317,5700
2014-08-27,24.500,24.500,24.370,15.298,151500
2014-08-28,24.120,24.280,23.980,15.066,198400
2014-08-29,24.120,24.250,23.950,15.217,159100
2014-09-02,24.630,24.990,24.630,15.681,20200
2014-09-03,25.180,25.300,25.169,15.832,28200
2014-09-04,25.330,25.370,25.060,15.832,60400
2014-09-05,25.200,25.450,25.170,15.938,67100
2014-09-08,25.500,25.500,25.100,15.788,32000
2014-09-09,24.970,25.190,24.850,15.599,62700
