date,open,high,low,close,volume
1990-01-02,2442.400,2443.300,2425.500,2434.100,0
1990-01-03,2451.300,2466.200,2445.800,2463.700,0
1990-01-04,2469.600,2479.400,2451.600,2451.600,0
1990-01-05,2442.000,2448.700,2436.600,2444.500,0
1990-01-08,2445.100,2445.600,2423.800,2431.300,0
1990-01-09,2429.100,2437.800,2420.500,2436.300,0
1990-01-10,2424.500,2425.200,2411.900,2412.600,0
1990-01-11,2396.700,2421.000,2396.500,2417.900,0
1990-01-12,2402.900,2402.900,2370.300,2380.100,0
1990-01-15,2354.400,2366.400,2352.800,2366.200,0
1990-01-16,2369.400,2369.700,2329.500,2349.100,0
1990-01-17,2355.600,2373.900,2355.500,2373.900,0
1990-01-18,2358.000,2358.000,2326.200,2336.900,0
1990-01-19,2346.200,2349.300,2319.700,2335.000,0
1990-01-22,2346.300,2346.400,2297.100,2297.100,0
1990-01-23,2285.000,2305.900,2272.600,2291.100,0
1990-01-24,2267.600,2278.800,2250.500,2278.600,0
1990-01-25,2292.000,2308.100,2288.700,2289.900,0
1990-01-26,2297.600,2325.500,2297.500,2314.500,0
1990-01-29,2317.500,2333.300,2317.500,2328.800,0
1990-01-30,2325.500,2334.000,2321.300,2322.000,0
1990-01-31,2314.900,2337.400,2314.900,2337.300,0
1990-02-01,2346.500,2355.400,2343.600,2345.800,0
1990-02-02,2346.100,2356.200,2342.300,2355.100,0
1990-02-05,2350.000,2353.700,2344.800,2348.400,0
1990-02-06,2345.400,2345.400,2320.000,2321.100,0
1990-02-07,2314.700,2320.600,2299.100,2307.400,0
1990-02-08,2321.200,2331.200,2321.000,2331.000,0
1990-02-09,2323.600,2323.900,2308.500,2313.600,0
1990-02-12,2313.000,2313.300,2282.400,2286.900,0
1990-02-13,2292.900,2299.400,2285.800,2293.200,0
1990-02-14,2303.700,2310.600,2297.600,2298.300,0
1990-02-15,2293.300,2314.400,2289.300,2313.800,0
1990-02-16,2322.100,2334.400,2319.600,2325.900,0
1990-02-19,2317.900,2318.100,2294.900,2297.100,0
1990-02-20,2288.200,2290.800,2276.400,2277.000,0
1990-02-21,2251.800,2261.700,2246.000,2259.700,0
1990-02-22,2261.700,2269.200,2251.500,2269.200,0
1990-02-23,2248.200,2248.400,2228.300,2236.700,0
1990-02-26,2208.500,2249.400,2208.400,2249.300,0
1990-02-27,2254.500,2257.500,2249.200,2254.800,0
1990-02-28,2255.500,2265.600,2253.700,2255.400,0
1990-03-01,2246.200,2246.200,2236.000,2238.400,0
1990-03-02,2240.600,2255.900,2240.600,2254.800,0
1990-03-05,2238.000,2238.800,2230.200,2230.500,0
1990-03-06,2236.400,2238.200,2211.800,2216.000,0
1990-03-07,2222.500,2234.900,2219.100,2230.300,0
1990-03-08,2240.900,2254.700,2240.800,2250.000,0
1990-03-09,2263.300,2263.300,2230.900,2234.300,0
1990-03-12,2216.700,2229.100,2216.700,2222.800,0
1990-03-13,2224.100,2224.800,2213.400,2224.500,0
1990-03-14,2224.400,2238.300,2223.200,2226.100,0
1990-03-15,2228.000,2242.300,2227.900,2234.900,0
1990-03-16,2239.600,2264.200,2238.800,2263.900,0
1990-03-19,2260.800,2261.100,2235.900,2238.000,0
1990-03-20,2244.800,2259.700,2244.800,2259.700,0
1990-03-21,2239.400,2250.300,2230.100,2250.300,0
1990-03-22,2241.000,2267.800,2240.700,2258.900,0
1990-03-23,2264.100,2283.900,2264.100,2283.900,0
1990-03-26,2286.400,2306.900,2286.300,2298.200,0
1990-03-27,2294.100,2295.600,2265.800,2266.200,0
1990-03-28,2271.600,2280.400,2270.800,2275.000,0
1990-03-29,2273.100,2276.300,2259.900,2263.000,0
1990-03-30,2253.500,2271.000,2245.500,2247.900,0
1990-04-02,2224.300,2224.500,2211.600,2221.600,0
1990-04-03,2232.400,2241.700,2218.000,2240.700,0
1990-04-04,2246.800,2247.500,2229.200,2231.600,0
1990-04-05,2227.200,2239.500,2222.000,2239.500,0
1990-04-06,2243.000,2243.200,2221.000,2221.100,0
1990-04-09,2222.100,2227.900,2218.800,2227.700,0
1990-04-10,2221.000,2221.000,2207.300,2217.500,0
1990-04-11,2217.900,2219.900,2211.900,2215.500,0
1990-04-12,2215.300,2222.200,2209.500,2222.100,0
1990-04-17,2225.400,2225.700,2213.800,2214.500,0
1990-04-18,2216.100,2223.900,2205.700,2205.900,0
1990-04-19,2192.800,2194.900,2180.500,2184.700,0
1990-04-20,2185.700,2191.100,2184.800,2187.100,0
1990-04-23,2184.600,2185.100,2159.100,2159.200,0
1990-04-24,2156.700,2168.700,2150.400,2159.900,0
1990-04-25,2157.400,2167.600,2142.900,2143.100,0
1990-04-26,2143.500,2145.800,2132.500,2133.600,0
1990-04-27,2137.300,2140.200,2105.000,2106.600,0
1990-04-30,2109.800,2109.800,2084.400,2103.400,0
1990-05-01,2111.800,2126.000,2111.400,2117.900,0
1990-05-02,2121.700,2145.100,2121.700,2137.600,0
1990-05-03,2141.600,2145.200,2130.200,2134.900,0
1990-05-04,2146.400,2168.000,2146.400,2162.200,0
1990-05-08,2173.300,2192.300,2173.300,2182.000,0
1990-05-09,2179.400,2179.700,2160.600,2162.700,0
