date,open,high,low,close,volume
2005-02-25,23.866,24.019,23.774,24.019,115851
2005-02-28,23.993,23.993,23.762,23.866,89066
2005-03-01,23.916,23.993,23.903,23.993,166689
2005-03-02,23.737,23.876,23.723,23.737,160306
2005-03-03,23.903,23.993,23.839,23.982,147458
2005-03-04,24.200,24.302,24.120,24.237,228038
2005-03-07,24.083,24.159,23.969,24.047,301299
2005-03-08,24.200,24.237,24.083,24.159,233879
2005-03-09,24.137,24.137,23.982,24.019,73027
2005-03-10,24.069,24.069,23.866,23.993,96695
2005-03-11,23.993,24.083,23.916,23.916,63140
2005-03-14,23.839,23.916,23.723,23.827,215036
2005-03-15,23.953,24.019,23.876,23.876,67736
2005-03-16,23.982,23.993,23.762,23.890,126902
2005-03-17,23.762,23.916,23.762,23.916,189190
2005-03-18,23.710,23.890,23.698,23.698,131267
2005-03-21,23.688,23.688,23.479,23.584,165599
2005-03-22,23.455,23.688,23.093,23.132,114293
2005-03-23,23.106,23.184,22.992,22.992,75287
2005-03-24,23.168,23.246,23.168,23.196,153218
2005-03-28,23.041,23.223,23.041,23.211,43833
2005-03-29,23.093,23.288,23.093,23.093,186465
2005-03-30,23.275,23.366,23.168,23.235,60726
2005-03-31,23.467,23.467,23.160,23.288,1065526
2005-04-01,23.467,23.506,23.106,23.184,106663
2005-04-04,23.160,23.211,22.992,23.184,28494
2005-04-05,23.314,23.455,23.260,23.428,108374
2005-04-06,23.393,23.455,23.335,23.401,94206
2005-04-07,23.532,23.620,23.401,23.440,110088
2005-04-08,23.506,23.659,23.440,23.634,89613
2005-04-11,23.710,23.737,23.646,23.737,33166
2005-04-12,23.467,23.876,23.377,23.866,74039
2005-04-13,23.554,23.673,23.415,23.440,268210
2005-04-14,23.393,23.455,23.184,23.246,264397
2005-04-15,23.377,23.415,22.992,23.005,60260
2005-04-18,22.941,23.120,22.901,23.082,133990
2005-04-19,23.260,23.489,23.246,23.377,83537
2005-04-20,23.275,23.324,22.967,22.992,114525
2005-04-21,23.148,23.353,23.070,23.353,180704
2005-04-22,23.366,23.415,23.132,23.132,66413
2005-04-25,23.366,23.428,23.260,23.353,79879
2005-04-26,23.260,23.260,23.041,23.082,68979
2005-04-27,23.031,23.070,22.875,23.056,200477
2005-04-28,22.952,22.967,22.748,22.773,63374
2005-04-29,23.056,23.120,22.889,23.005,120287
2005-05-02,23.031,23.031,22.824,23.005,52632
2005-05-03,22.978,23.120,22.978,23.093,77621
2005-05-04,23.235,23.532,23.093,23.518,291493
2005-05-05,23.506,23.554,23.300,23.489,216593
2005-05-06,23.275,23.428,23.275,23.415,59404
2005-05-09,23.246,23.314,23.120,23.260,366464
2005-05-10,23.148,23.184,23.041,23.106,390678
2005-05-11,23.093,23.160,22.941,23.160,347779
2005-05-12,23.041,23.093,22.901,22.928,248045
2005-05-13,22.733,22.824,22.682,22.812,169567
2005-05-16,22.580,22.733,22.503,22.682,97629
2005-05-17,22.554,22.812,22.554,22.786,47882
2005-05-18,22.875,23.056,22.797,23.056,88290
2005-05-19,23.018,23.070,22.901,23.005,224300
2005-05-20,22.967,22.967,22.851,22.901,55667
2005-05-23,22.978,23.106,22.889,23.082,169490
2005-05-24,22.941,23.056,22.914,22.914,98333
2005-05-25,22.914,23.056,22.889,23.031,43756
2005-05-26,22.967,22.978,22.851,22.978,143879
2005-05-27,22.952,23.031,22.862,23.031,84084
2005-05-31,22.967,22.967,22.773,22.824,224923
2005-06-01,22.824,23.093,22.797,22.824,157893
2005-06-02,22.967,23.005,22.875,22.967,66413
2005-06-03,22.862,22.992,22.710,22.824,153140
2005-06-06,22.862,22.952,22.812,22.952,172606
2005-06-07,23.031,23.235,23.031,23.160,151508
