date,open,high,low,close,volume
1990-01-02,7.940,7.940,7.940,7.940,0
1990-01-03,7.990,7.990,7.990,7.990,0
1990-01-04,7.980,7.980,7.980,7.980,0
1990-01-05,7.990,7.990,7.990,7.990,0
1990-01-08,8.020,8.020,8.020,8.020,0
1990-01-09,8.020,8.020,8.020,8.020,0
1990-01-10,8.030,8.030,8.030,8.030,0
1990-01-11,8.040,8.040,8.040,8.040,0
1990-01-12,8.100,8.100,8.100,8.100,0
1990-01-16,8.200,8.200,8.200,8.200,0
1990-01-17,8.190,8.190,8.190,8.190,0
1990-01-18,8.320,8.320,8.320,8.320,0
1990-01-19,8.260,8.260,8.260,8.260,0
1990-01-22,8.270,8.270,8.270,8.270,0
1990-01-23,8.260,8.260,8.260,8.260,0
1990-01-24,8.380,8.380,8.380,8.380,0
1990-01-25,8.420,8.420,8.420,8.420,0
1990-01-26,8.490,8.490,8.490,8.490,0
1990-01-29,8.500,8.500,8.500,8.500,0
1990-01-30,8.510,8.510,8.510,8.510,0
1990-01-31,8.430,8.430,8.430,8.430,0
1990-02-01,8.420,8.420,8.420,8.420,0
1990-02-02,8.500,8.500,8.500,8.500,0
1990-02-05,8.530,8.530,8.530,8.530,0
1990-02-06,8.570,8.570,8.570,8.570,0
1990-02-07,8.520,8.520,8.520,8.520,0
1990-02-08,8.490,8.490,8.490,8.490,0
1990-02-09,8.310,8.310,8.310,8.310,0
1990-02-12,8.400,8.400,8.400,8.400,0
1990-02-13,8.350,8.350,8.350,8.350,0
1990-02-14,8.360,8.360,8.360,8.360,0
1990-02-15,8.430,8.430,8.430,8.430,0
1990-02-16,8.420,8.420,8.420,8.420,0
1990-02-20,8.620,8.620,8.620,8.620,0
1990-02-21,8.620,8.620,8.620,8.620,0
1990-02-22,8.540,8.540,8.540,8.540,0
1990-02-23,8.530,8.530,8.530,8.530,0
1990-02-26,8.460,8.460,8.460,8.460,0
1990-02-27,8.410,8.410,8.410,8.410,0
1990-02-28,8.510,8.510,8.510,8.510,0
1990-03-01,8.590,8.590,8.590,8.590,0
1990-03-02,8.540,8.540,8.540,8.540,0
1990-03-05,8.650,8.650,8.650,8.650,0
1990-03-06,8.590,8.590,8.590,8.590,0
1990-03-07,8.580,8.580,8.580,8.580,0
1990-03-08,8.570,8.570,8.570,8.570,0
1990-03-09,8.650,8.650,8.650,8.650,0
1990-03-12,8.630,8.630,8.630,8.630,0
1990-03-13,8.730,8.730,8.730,8.730,0
1990-03-14,8.650,8.650,8.650,8.650,0
1990-03-15,8.660,8.660,8.660,8.660,0
1990-03-16,8.590,8.590,8.590,8.590,0
1990-03-19,8.590,8.590,8.590,8.590,0
1990-03-20,8.540,8.540,8.540,8.540,0
1990-03-21,8.550,8.550,8.550,8.550,0
1990-03-22,8.530,8.530,8.530,8.530,0
1990-03-23,8.520,8.520,8.520,8.520,0
1990-03-26,8.510,8.510,8.510,8.510,0
1990-03-27,8.520,8.520,8.520,8.520,0
1990-03-28,8.510,8.510,8.510,8.510,0
1990-03-29,8.600,8.600,8.600,8.600,0
1990-03-30,8.650,8.650,8.650,8.650,0
1990-04-02,8.650,8.650,8.650,8.650,0
1990-04-03,8.630,8.630,8.630,8.630,0
1990-04-04,8.550,8.550,8.550,8.550,0
1990-04-05,8.570,8.570,8.570,8.570,0
1990-04-06,8.560,8.560,8.560,8.560,0
1990-04-09,8.590,8.590,8.590,8.590,0
1990-04-10,8.600,8.600,8.600,8.600,0
1990-04-11,8.630,8.630,8.630,8.630,0
1990-04-12,8.640,8.640,8.640,8.640,0
1990-04-16,8.680,8.680,8.680,8.680,0
1990-04-17,8.770,8.770,8.770,8.770,0
1990-04-18,8.860,8.860,8.860,8.860,0
1990-04-19,8.870,8.870,8.870,8.870,0
1990-04-20,8.950,8.950,8.950,8.950,0
1990-04-23,8.980,8.980,8.980,8.980,0
1990-04-24,9.000,9.000,9.000,9.000,0
1990-04-25,9.010,9.010,9.010,9.010,0
1990-04-26,9.070,9.070,9.070,9.070,0
1990-04-27,9.060,9.060,9.060,9.060,0
1990-04-30,9.040,9.040,9.040,9.040,0
1990-05-01,9.080,9.080,9.080,9.080,0
1990-05-02,9.090,9.090,9.090,9.090,0
1990-05-03,9.040,9.040,9.040,9.040,0
1990-05-04,8.840,8.840,8.840,8.840,0
1990-05-07,8.870,8.870,8.870,8.870,0
1990-05-08,8.840,8.840,8.840,8.840,0
1990-05-09,8.880,8.880,8.880,8.880,0
1990-05-10,8.820,8.820,8.820,8.820,0
1990-05-11,8.640,8.640,8.640,8.640,0
1990-05-14,8.610,8.610,8.610,8.610,0
1990-05-15,8.650,8.650,8.650,8.650,0
1990-05-16,8.680,8.680,8.680,8.680,0
1990-05-17,8.690,8.690,8.690,8.690,0
1990-05-18,8.750,8.750,8.750,8.750,0
1990-05-21,8.740,8.740,8.740,8.740,0
1990-05-22,8.650,8.650,8.650,8.650,0
1990-05-23,8.610,8.610,8.610,8.610,0
1990-05-24,8.630,8.630,8.630,8.630,0
1990-05-25,8.690,8.690,8.690,8.690,0
1990-05-29,8.660,8.660,8.660,8.660,0
1990-05-30,8.620,8.620,8.620,8.620,0
1990-05-31,8.600,8.600,8.600,8.600,0
1990-06-01,8.440,8.440,8.440,8.440,0
1990-06-04,8.440,8.440,8.440,8.440,0
1990-06-05,8.470,8.470,8.470,8.470,0
1990-06-06,8.460,8.460,8.460,8.460,0
1990-06-07,8.460,8.460,8.460,8.460,0
1990-06-08,8.460,8.460,8.460,8.460,0
1990-06-11,8.480,8.480,8.480,8.480,0
1990-06-12,8.480,8.480,8.480,8.480,0
1990-06-13,8.400,8.400,8.400,8.400,0
1990-06-14,8.380,8.380,8.380,8.380,0
1990-06-15,8.460,8.460,8.460,8.460,0
1990-06-18,8.500,8.500,8.500,8.500,0
1990-06-19,8.510,8.510,8.510,8.510,0
1990-06-20,8.550,8.550,8.550,8.550,0
1990-06-21,8.520,8.520,8.520,8.520,0
1990-06-22,8.510,8.510,8.510,8.510,0
1990-06-25,8.580,8.580,8.580,8.580,0
1990-06-26,8.560,8.560,8.560,8.560,0
1990-06-27,8.520,8.520,8.520,8.520,0
1990-06-28,8.470,8.470,8.470,8.470,0
1990-06-29,8.430,8.430,8.430,8.430,0
1990-07-02,8.430,8.430,8.430,8.430,0
1990-07-03,8.400,8.400,8.400,8.400,0
1990-07-05,8.420,8.420,8.420,8.420,0
1990-07-06,8.510,8.510,8.510,8.510,0
1990-07-09,8.570,8.570,8.570,8.570,0
1990-07-10,8.570,8.570,8.570,8.570,0
1990-07-11,8.570,8.570,8.570,8.570,0
1990-07-12,8.500,8.500,8.500,8.500,0
1990-07-13,8.450,8.450,8.450,8.450,0
1990-07-16,8.440,8.440,8.440,8.440,0
1990-07-17,8.440,8.440,8.440,8.440,0
1990-07-18,8.500,8.500,8.500,8.500,0
1990-07-19,8.510,8.510,8.510,8.510,0
1990-07-20,8.480,8.480,8.480,8.480,0
1990-07-23,8.480,8.480,8.480,8.480,0
1990-07-24,8.530,8.530,8.530,8.530,0
1990-07-25,8.490,8.490,8.490,8.490,0
1990-07-26,8.490,8.490,8.490,8.490,0
1990-07-27,8.420,8.420,8.420,8.420,0
1990-07-30,8.340,8.340,8.340,8.340,0
1990-07-31,8.360,8.360,8.360,8.360,0
1990-08-01,8.290,8.290,8.290,8.290,0
1990-08-02,8.410,8.410,8.410,8.410,0
1990-08-03,8.430,8.430,8.430,8.430,0
1990-08-06,8.710,8.710,8.710,8.710,0
1990-08-07,8.780,8.780,8.780,8.780,0
1990-08-08,8.770,8.770,8.770,8.770,0
1990-08-09,8.660,8.660,8.660,8.660,0
1990-08-10,8.680,8.680,8.680,8.680,0
1990-08-13,8.710,8.710,8.710,8.710,0
1990-08-14,8.660,8.660,8.660,8.660,0
1990-08-15,8.640,8.640,8.640,8.640,0
1990-08-16,8.760,8.760,8.760,8.760,0
1990-08-17,8.800,8.800,8.800,8.800,0
1990-08-20,8.810,8.810,8.810,8.810,0
1990-08-21,8.840,8.840,8.840,8.840,0
1990-08-22,8.910,8.910,8.910,8.910,0
1990-08-23,9.000,9.000,9.000,9.000,0
1990-08-24,9.050,9.050,9.050,9.050,0
1990-08-27,8.900,8.900,8.900,8.900,0
1990-08-28,8.940,8.940,8.940,8.940,0
1990-08-29,8.840,8.840,8.840,8.840,0
1990-08-30,8.860,8.860,8.860,8.860,0
1990-08-31,8.860,8.860,8.860,8.860,0
1990-09-04,8.900,8.900,8.900,8.900,0
1990-09-05,8.860,8.860,8.860,8.860,0
1990-09-06,8.840,8.840,8.840,8.840,0
1990-09-07,8.810,8.810,8.810,8.810,0
1990-09-10,8.850,8.850,8.850,8.850,0
1990-09-11,8.830,8.830,8.830,8.830,0
1990-09-12,8.820,8.820,8.820,8.820,0
1990-09-13,8.820,8.820,8.820,8.820,0
1990-09-14,8.870,8.870,8.870,8.870,0
1990-09-17,8.900,8.900,8.900,8.900,0
1990-09-18,8.900,8.900,8.900,8.900,0
1990-09-19,8.880,8.880,8.880,8.880,0
1990-09-20,8.910,8.910,8.910,8.910,0
1990-09-21,8.990,8.990,8.990,8.990,0
1990-09-24,9.040,9.040,9.040,9.040,0
1990-09-25,9.020,9.020,9.020,9.020,0
1990-09-26,9.000,9.000,9.000,9.000,0
1990-09-27,8.910,8.910,8.910,8.910,0
1990-09-28,8.820,8.820,8.820,8.820,0
1990-10-01,8.710,8.710,8.710,8.710,0
1990-10-02,8.690,8.690,8.690,8.690,0
1990-10-03,8.710,8.710,8.710,8.710,0
1990-10-04,8.670,8.670,8.670,8.670,0
1990-10-05,8.650,8.650,8.650,8.650,0
1990-10-09,8.830,8.830,8.830,8.830,0
1990-10-10,8.890,8.890,8.890,8.890,0
1990-10-11,8.920,8.920,8.920,8.920,0
1990-10-12,8.840,8.840,8.840,8.840,0
1990-10-15,8.800,8.800,8.800,8.800,0
1990-10-16,8.790,8.790,8.790,8.790,0
1990-10-17,8.760,8.760,8.760,8.760,0
1990-10-18,8.710,8.710,8.710,8.710,0
1990-10-19,8.620,8.620,8.620,8.620,0
1990-10-22,8.630,8.630,8.630,8.630,0
1990-10-23,8.650,8.650,8.650,8.650,0
1990-10-24,8.660,8.660,8.660,8.660,0
1990-10-25,8.620,8.620,8.620,8.620,0
1990-10-26,8.630,8.630,8.630,8.630,0
1990-10-29,8.700,8.700,8.700,8.700,0
1990-10-30,8.700,8.700,8.700,8.700,0
1990-10-31,8.650,8.650,8.650,8.650,0
1990-11-01,8.570,8.570,8.570,8.570,0
1990-11-02,8.570,8.570,8.570,8.570,0
1990-11-05,8.500,8.500,8.500,8.500,0
1990-11-06,8.520,8.520,8.520,8.520,0
1990-11-07,8.570,8.570,8.570,8.570,0
1990-11-08,8.580,8.580,8.580,8.580,0
1990-11-09,8.490,8.490,8.490,8.490,0
1990-11-13,8.370,8.370,8.370,8.370,0
1990-11-14,8.360,8.360,8.360,8.360,0
1990-11-15,8.370,8.370,8.370,8.370,0
1990-11-16,8.300,8.300,8.300,8.300,0
1990-11-19,8.350,8.350,8.350,8.350,0
1990-11-20,8.310,8.310,8.310,8.310,0
1990-11-21,8.270,8.270,8.270,8.270,0
1990-11-23,8.280,8.280,8.280,8.280,0
1990-11-26,8.270,8.270,8.270,8.270,0
1990-11-27,8.280,8.280,8.280,8.280,0
1990-11-28,8.300,8.300,8.300,8.300,0
1990-11-29,8.320,8.320,8.320,8.320,0
1990-11-30,8.260,8.260,8.260,8.260,0
1990-12-03,8.220,8.220,8.220,8.220,0
1990-12-04,8.200,8.200,8.200,8.200,0
1990-12-05,8.160,8.160,8.160,8.160,0
1990-12-06,8.180,8.180,8.180,8.180,0
1990-12-07,8.030,8.030,8.030,8.030,0
1990-12-10,7.980,7.980,7.980,7.980,0
1990-12-11,7.940,7.940,7.940,7.940,0
1990-12-12,7.910,7.910,7.910,7.910,0
1990-12-13,7.980,7.980,7.980,7.980,0
1990-12-14,8.050,8.050,8.050,8.050,0
1990-12-17,8.020,8.020,8.020,8.020,0
1990-12-18,7.990,7.990,7.990,7.990,0
1990-12-19,8.000,8.000,8.000,8.000,0
1990-12-20,8.050,8.050,8.050,8.050,0
1990-12-21,8.110,8.110,8.110,8.110,0
1990-12-24,8.200,8.200,8.200,8.200,0
1990-12-26,8.150,8.150,8.150,8.150,0
1990-12-27,8.110,8.110,8.110,8.110,0
1990-12-28,8.140,8.140,8.140,8.140,0
1990-12-31,8.080,8.080,8.080,8.080,0
1991-01-02,7.970,7.970,7.970,7.970,0
1991-01-03,7.930,7.930,7.930,7.930,0
1991-01-04,8.020,8.020,8.020,8.020,0
1991-01-07,8.130,8.130,8.130,8.130,0
1991-01-08,8.160,8.160,8.160,8.160,0
1991-01-09,8.250,8.250,8.250,8.250,0
1991-01-10,8.160,8.160,8.160,8.160,0
1991-01-11,8.200,8.200,8.200,8.200,0
1991-01-14,8.230,8.230,8.230,8.230,0
1991-01-15,8.220,8.220,8.220,8.220,0
1991-01-16,8.240,8.240,8.240,8.240,0
1991-01-17,8.050,8.050,8.050,8.050,0
1991-01-18,8.030,8.030,8.030,8.030,0
1991-01-22,8.070,8.070,8.070,8.070,0
1991-01-23,8.040,8.040,8.040,8.040,0
1991-01-24,8.000,8.000,8.000,8.000,0
1991-01-25,8.060,8.060,8.060,8.060,0
1991-01-28,8.060,8.060,8.060,8.060,0
1991-01-29,8.050,8.050,8.050,8.050,0
1991-01-30,8.050,8.050,8.050,8.050,0
1991-01-31,8.030,8.030,8.030,8.030,0
1991-02-01,7.910,7.910,7.910,7.910,0
1991-02-04,7.880,7.880,7.880,7.880,0
1991-02-05,7.850,7.850,7.850,7.850,0
1991-02-06,7.790,7.790,7.790,7.790,0
1991-02-07,7.820,7.820,7.820,7.820,0
1991-02-08,7.770,7.770,7.770,7.770,0
1991-02-11,7.780,7.780,7.780,7.780,0
1991-02-12,7.780,7.780,7.780,7.780,0
1991-02-13,7.780,7.780,7.780,7.780,0
1991-02-14,7.800,7.800,7.800,7.800,0
1991-02-15,7.780,7.780,7.780,7.780,0
1991-02-19,7.800,7.800,7.800,7.800,0
