date,open,high,low,close,volume
2002-07-30,81.940,82.120,81.700,40.825,41300
2002-07-31,82.050,82.580,82.050,41.199,32600
2002-08-01,82.540,82.900,82.520,41.369,71400
2002-08-02,83.020,83.700,82.900,41.689,120300
2002-08-05,83.680,83.920,83.530,41.898,159300
2002-08-06,83.510,83.510,83.030,41.559,90100
2002-08-07,83.190,83.650,83.100,41.689,38100
2002-08-08,83.330,83.400,83.090,41.544,142600
2002-08-09,83.320,83.880,83.320,41.853,99600
2002-08-12,84.100,84.280,83.950,41.938,38100
2002-08-13,84.320,84.740,84.060,42.273,109300
2002-08-14,84.990,85.230,84.360,42.148,146100
2002-08-15,84.000,84.330,83.750,41.903,60500
2002-08-16,84.250,84.270,83.270,41.629,55800
2002-08-19,83.510,83.510,83.130,41.669,41600
2002-08-20,83.800,84.230,83.700,42.053,56900
2002-08-21,83.780,84.040,83.700,41.948,37900
2002-08-22,83.800,83.800,83.500,41.723,43600
2002-08-23,83.720,84.000,83.660,41.913,26500
2002-08-26,83.920,84.200,83.870,41.933,27800
2002-08-27,83.750,83.930,83.570,41.808,38800
2002-08-28,84.090,84.170,84.000,41.963,40200
2002-08-29,84.570,84.590,84.330,42.158,101500
2002-08-30,84.580,84.640,84.300,42.238,28900
2002-09-03,85.090,85.600,85.000,42.699,110700
2002-09-04,85.160,85.450,85.080,42.684,77300
2002-09-05,85.600,85.650,85.190,42.854,57900
2002-09-06,85.090,85.250,84.840,42.523,32200
2002-09-09,84.940,85.150,84.750,42.463,88800
2002-09-10,84.710,85.210,84.660,42.613,21400
2002-09-11,84.610,84.750,84.490,42.458,77500
2002-09-12,84.800,85.230,84.800,42.679,39900
2002-09-13,85.380,85.650,85.290,42.879,125900
2002-09-16,85.710,85.920,85.620,42.894,108700
2002-09-17,85.400,85.960,85.400,43.034,30400
2002-09-18,85.920,86.220,85.910,43.084,76400
2002-09-19,86.420,86.470,86.120,43.300,61100
2002-09-20,86.300,86.480,86.200,43.285,128600
2002-09-23,86.880,87.060,86.720,43.530,293700
2002-09-24,87.060,87.450,86.880,43.686,158200
2002-09-25,86.700,86.990,86.400,43.355,88900
2002-09-26,86.330,86.590,86.060,43.325,256100
2002-09-27,86.580,87.050,86.510,43.610,199400
2002-09-30,87.400,87.700,87.310,43.866,97200
2002-10-01,86.760,87.020,86.540,43.483,150100
