date,open,high,low,close,volume
2004-01-30,6.093,6.155,6.093,5.129,940800
2004-02-02,6.137,6.140,6.105,5.133,523200
2004-02-03,6.100,6.102,6.077,5.101,1848800
2004-02-04,5.938,5.938,5.919,4.948,408000
2004-02-05,5.963,5.963,5.919,4.973,20800
2004-02-06,5.988,6.069,5.988,5.073,8000
2004-02-09,6.080,6.099,6.052,5.068,25600
2004-02-10,6.102,6.102,6.081,5.084,1600
2004-02-11,6.077,6.145,6.077,5.125,1411200
2004-02-12,6.125,6.125,6.106,5.105,2400
2004-02-13,6.129,6.129,6.025,5.037,14400
2004-02-17,6.080,6.117,6.080,5.114,4000
2004-02-18,6.109,6.109,6.086,5.088,1600
2004-02-19,6.086,6.086,6.086,5.088,0
2004-02-20,6.012,6.012,5.934,4.989,19200
2004-02-23,6.000,6.000,5.841,4.883,10400
2004-02-24,5.863,5.875,5.863,4.911,5600
2004-02-25,5.905,5.905,5.900,4.932,24000
2004-02-26,5.900,5.900,5.900,4.932,800
2004-02-27,5.905,5.906,5.905,4.937,4800
2004-03-01,5.975,5.975,5.975,4.995,8000
2004-03-02,6.000,6.023,5.963,4.984,24000
2004-03-03,5.886,5.906,5.886,4.937,52000
2004-03-04,5.941,5.941,5.941,4.967,800
2004-03-05,5.919,5.981,5.904,4.979,499200
2004-03-08,5.956,5.956,5.906,4.949,19200
2004-03-09,5.747,5.780,5.699,4.808,645600
2004-03-10,5.756,5.756,5.664,4.735,32000
2004-03-11,5.671,5.671,5.602,4.683,32000
2004-03-12,5.681,5.709,5.681,4.772,69600
2004-03-15,5.635,5.635,5.606,4.687,2400
2004-03-16,5.637,5.637,5.613,4.692,9600
2004-03-17,5.707,5.720,5.707,4.782,14400
2004-03-18,5.648,5.676,5.637,4.745,3200
2004-03-19,5.659,5.659,5.594,4.676,4000
2004-03-22,5.492,5.492,5.472,4.577,164800
2004-03-23,5.550,5.556,5.496,4.595,96000
2004-03-24,5.548,5.548,5.548,4.637,4000
2004-03-25,5.610,5.710,5.610,4.773,4800
2004-03-26,5.700,5.731,5.700,4.791,16800
2004-03-29,5.760,5.782,5.755,4.825,14400
2004-03-30,5.771,5.771,5.771,4.825,0
2004-03-31,5.766,5.766,5.754,4.810,38400
2004-04-01,5.825,5.825,5.825,4.869,5600
2004-04-02,5.949,5.963,5.934,4.984,8000
2004-04-05,5.981,6.000,5.976,5.016,14400
2004-04-06,5.969,5.969,5.969,4.990,800
2004-04-07,5.911,5.921,5.875,4.931,172000
2004-04-08,5.923,5.923,5.923,4.951,800
2004-04-12,5.969,5.969,5.956,4.979,23200
2004-04-13,5.986,5.986,5.875,4.911,21600
2004-04-14,5.844,5.855,5.844,4.895,1600
2004-04-15,5.840,5.840,5.767,4.821,36800
2004-04-16,5.701,5.727,5.669,4.788,24800
2004-04-19,5.691,5.696,5.691,4.762,5600
2004-04-20,5.789,5.789,5.749,4.806,164800
2004-04-21,5.676,5.684,5.649,4.751,8000
2004-04-22,5.775,5.816,5.775,4.862,8000
2004-04-23,5.856,5.878,5.855,4.913,22400
2004-04-26,5.878,5.878,5.800,4.849,4000
2004-04-27,5.815,5.815,5.784,4.835,1600
2004-04-28,5.691,5.709,5.690,4.770,30400
