date,open,high,low,close,volume
2010-09-09,102.500,102.500,101.140,76.535,26500
2010-09-10,101.680,101.860,101.300,76.883,8600
2010-09-13,102.960,103.140,102.500,77.850,33750
2010-09-14,102.840,103.480,102.380,77.835,59400
2010-09-15,102.620,103.380,102.400,78.031,9250
2010-09-16,103.020,103.320,102.700,78.001,59550
2010-09-17,103.880,103.880,103.020,78.076,49350
2010-09-20,103.740,105.040,103.460,79.345,19000
2010-09-21,105.020,105.440,104.280,79.104,19250
2010-09-22,104.560,105.040,103.960,78.681,18100
2010-09-23,103.320,104.340,103.120,78.031,33350
2010-09-24,103.940,104.900,103.860,79.624,24100
2010-09-27,104.980,104.980,104.340,79.245,15000
2010-09-28,104.320,105.020,103.420,79.761,49850
2010-09-29,104.580,104.920,104.220,79.381,15900
2010-09-30,105.200,105.680,103.960,79.260,44750
2010-10-01,105.080,105.160,104.160,79.533,17100
2010-10-04,105.260,105.260,103.500,78.865,88700
2010-10-05,105.020,106.200,104.820,80.597,19850
2010-10-06,106.120,106.280,105.620,80.460,276900
2010-10-07,106.500,106.500,105.320,80.414,49900
2010-10-08,106.020,106.740,105.660,81.022,61550
2010-10-11,106.720,106.840,106.280,80.885,14200
2010-10-12,106.380,107.240,105.740,81.356,42050
2010-10-13,107.580,108.280,107.240,81.842,74450
2010-10-14,107.700,107.820,106.800,81.538,19100
2010-10-15,108.040,108.080,106.720,81.690,54950
2010-10-18,107.620,108.440,107.440,82.283,22850
2010-10-19,107.140,107.680,106.020,80.976,38550
2010-10-20,106.940,108.160,106.940,81.842,22800
2010-10-21,108.260,108.760,107.300,81.964,29400
2010-10-22,108.160,108.200,107.940,82.161,24850
2010-10-25,109.020,109.280,108.460,82.404,29600
2010-10-26,107.920,108.560,107.880,82.389,15000
2010-10-27,107.740,108.220,107.220,82.131,17150
2010-10-28,108.760,108.820,107.760,82.191,19250
2010-10-29,108.100,108.420,108.000,82.252,13400
2010-11-01,108.920,109.420,107.760,82.298,51550
2010-11-02,109.220,109.420,108.860,82.936,26100
2010-11-03,109.420,109.660,108.320,83.285,31850
2010-11-04,110.900,111.800,110.740,84.850,49000
2010-11-05,111.900,112.300,111.680,85.184,48300
2010-11-08,111.880,112.080,111.500,85.078,43400
2010-11-09,112.180,112.300,110.800,84.409,35700
2010-11-10,111.160,111.600,110.320,84.728,28200
2010-11-11,110.680,111.280,110.420,84.455,24000
2010-11-12,110.400,110.860,109.380,83.407,39450
2010-11-15,110.300,110.520,109.640,83.331,202750
2010-11-16,109.020,109.020,107.480,81.994,32850
