date,open,high,low,close,volume
1998-12-22,16.203,16.250,15.891,11.923,601000
1998-12-23,16.375,16.406,16.078,12.208,676600
1998-12-24,16.406,16.406,16.281,12.162,487400
1998-12-28,16.594,16.594,16.297,12.197,618600
1998-12-29,16.469,16.508,16.250,12.231,247600
1998-12-30,16.344,16.570,16.289,12.185,191200
1998-12-31,16.375,16.453,16.172,12.138,154400
1999-01-04,16.328,16.781,16.297,12.278,1301200
1999-01-05,16.531,17.016,16.531,12.592,590400
1999-01-06,17.344,17.469,17.203,12.964,1249400
1999-01-07,17.250,17.516,17.141,12.923,1069200
1999-01-08,17.750,17.781,17.242,12.976,1065600
1999-01-11,17.938,17.938,17.422,13.103,995800
1999-01-12,17.750,17.781,17.133,12.749,972000
1999-01-13,16.000,17.578,16.000,12.743,1096600
1999-01-14,17.172,17.312,16.781,12.569,732600
1999-01-15,17.000,17.398,16.922,12.941,1307800
1999-01-19,17.812,18.000,17.508,13.388,874600
1999-01-20,18.438,18.742,18.125,13.510,2264400
1999-01-21,18.125,18.156,17.562,13.162,2985800
1999-01-22,17.375,17.703,17.195,12.929,2582000
1999-01-25,17.594,17.688,17.297,13.156,1893200
1999-01-26,17.875,18.406,17.875,13.685,1427800
1999-01-27,18.625,18.742,18.000,13.394,2733800
1999-01-28,18.375,18.641,18.305,13.865,1807200
1999-01-29,18.688,18.922,18.469,14.068,1867200
1999-02-01,19.078,19.188,18.781,14.080,1826000
1999-02-02,19.000,19.000,18.312,13.842,2518400
1999-02-03,18.531,19.031,18.406,13.941,2668200
1999-02-04,18.875,18.875,17.938,13.464,3891800
1999-02-05,18.000,18.109,17.375,13.138,3664800
1999-02-08,17.875,18.250,17.562,13.359,2629200
1999-02-09,18.000,18.016,17.156,12.836,4171000
1999-02-10,17.328,17.703,17.125,12.929,2803600
1999-02-11,17.688,18.141,17.516,13.475,5333400
1999-02-12,17.688,17.891,17.297,12.941,5834800
1999-02-16,17.875,17.906,17.250,12.883,3452800
1999-02-17,16.875,17.484,16.781,12.592,5567000
1999-02-18,17.156,17.203,16.672,12.662,4151200
1999-02-19,17.312,17.438,17.078,12.778,3347200
1999-02-22,17.297,17.828,17.172,13.231,4736000
1999-02-23,18.000,18.234,17.781,13.406,4131000
1999-02-24,18.188,18.219,17.516,13.034,5001000
1999-02-25,17.188,17.562,17.062,13.069,5132400
1999-02-26,17.531,17.562,16.875,12.673,4685200
1999-03-01,16.812,17.094,16.719,12.615,2184200
1999-03-02,17.094,17.250,16.500,12.278,4960400
1999-03-03,16.750,16.859,16.438,12.487,3215600
1999-03-04,17.188,17.234,16.562,12.615,6398200
1999-03-05,17.438,17.500,17.133,12.906,3753800
1999-03-08,17.750,17.875,17.516,13.278,3318800
1999-03-09,17.750,18.094,17.594,13.138,1872000
1999-03-10,17.656,17.766,17.445,13.138,884000
1999-03-11,17.750,17.984,17.453,13.115,2432400
1999-03-12,17.781,17.781,17.281,12.999,1672000
1999-03-15,17.594,17.750,17.320,13.208,864200
1999-03-16,17.766,18.125,17.703,13.435,1517600
1999-03-17,18.047,18.062,17.781,13.348,850800
1999-03-18,17.875,18.203,17.812,13.534,642800
1999-03-19,18.344,18.438,17.750,13.208,1273000
1999-03-22,17.750,17.922,17.594,13.208,1547000
1999-03-23,17.625,17.625,17.109,12.824,2997200
1999-03-24,17.344,17.648,17.047,13.074,1233400
1999-03-25,17.922,18.047,17.781,13.382,1190200
1999-03-26,17.906,18.188,17.797,13.313,967000
1999-03-29,18.125,18.594,18.078,13.813,1899400
1999-03-30,18.469,18.750,18.375,13.789,1685000
1999-03-31,18.750,18.906,18.266,13.615,1549400
1999-04-01,18.750,18.766,18.250,13.830,637000
1999-04-05,18.812,19.250,18.797,14.307,2007000
1999-04-06,19.344,19.562,19.156,14.429,1080200
1999-04-07,19.750,19.781,18.969,14.394,1863400
1999-04-08,19.344,19.594,18.938,14.534,1213800
1999-04-09,19.492,19.680,19.344,14.510,557600
1999-04-12,18.812,19.305,18.719,14.289,2075000
1999-04-13,19.281,19.375,18.750,14.068,1601200
1999-04-14,19.188,19.242,18.375,13.720,951400
1999-04-15,18.656,18.688,18.047,13.836,3398400
1999-04-16,18.594,18.625,18.000,13.464,544200
1999-04-19,18.281,18.297,17.062,12.813,2416600
1999-04-20,17.406,17.688,17.062,13.138,2058800
1999-04-21,17.656,18.188,17.531,13.487,1015600
1999-04-22,18.906,18.992,18.594,14.109,2064600
1999-04-23,18.859,19.172,18.625,14.138,489000
1999-04-26,19.219,19.500,19.109,14.499,530200
1999-04-27,19.719,19.734,18.984,14.138,826000
1999-04-28,19.000,19.203,18.656,13.952,1788600
1999-04-29,18.750,18.781,18.297,13.807,968000
1999-04-30,18.875,18.875,17.969,13.696,1520000
1999-05-03,18.500,18.625,18.297,13.813,403200
1999-05-04,18.484,18.719,18.156,13.603,2869800
1999-05-05,18.375,18.656,17.875,13.882,886200
1999-05-06,18.500,18.797,18.125,13.534,686800
1999-05-07,18.469,18.594,18.141,13.766,739400
1999-05-10,18.688,18.875,18.531,13.882,486400
1999-05-11,18.766,19.125,18.766,14.092,931200
1999-05-12,19.234,19.422,18.750,14.371,589400
1999-05-13,19.438,19.641,19.234,14.330,1231000
1999-05-14,18.938,19.062,18.672,13.952,815600
1999-05-17,18.641,19.094,18.555,14.150,451200
1999-05-18,19.219,19.344,19.031,14.278,820200
1999-05-19,19.281,19.297,18.977,14.324,637400
1999-05-20,19.359,19.367,19.000,14.138,552000
1999-05-21,18.875,19.023,18.734,13.975,550000
1999-05-24,18.781,18.875,18.320,13.673,1409600
1999-05-25,18.500,18.625,17.961,13.388,712600
1999-05-26,18.219,18.375,17.688,13.667,1353800
1999-05-27,18.367,18.398,18.016,13.569,761400
1999-05-28,18.234,18.469,18.078,13.743,265800
1999-06-01,18.492,18.492,18.031,13.435,637600
1999-06-02,17.969,18.344,17.734,13.580,646000
1999-06-03,18.234,18.406,18.102,13.487,912200
1999-06-04,18.125,18.719,18.125,13.888,500000
1999-06-07,18.805,19.125,18.805,14.138,1003600
1999-06-08,19.000,19.055,18.508,13.813,508400
1999-06-09,18.688,18.891,18.609,14.022,563800
1999-06-10,18.656,18.719,18.414,13.813,502800
1999-06-11,18.625,18.742,18.250,13.627,210800
1999-06-14,18.469,18.469,18.156,13.563,341200
1999-06-15,18.188,18.547,18.188,13.685,830800
1999-06-16,18.844,19.234,18.812,14.249,719000
1999-06-17,18.969,19.422,18.953,14.406,682200
1999-06-18,19.359,19.531,19.211,14.534,409800
1999-06-21,19.617,20.039,19.594,14.900,1514000
1999-06-22,19.969,20.094,19.562,14.586,1052800
1999-06-23,19.500,19.758,19.312,14.696,915400
1999-06-24,19.688,19.703,19.242,14.394,533600
1999-06-25,19.375,19.672,19.281,14.411,546400
1999-06-28,19.562,19.719,19.445,14.650,437000
1999-06-29,19.688,19.969,19.688,14.836,215600
1999-06-30,19.930,20.312,19.727,15.063,630200
1999-07-01,20.328,20.562,20.047,15.231,946800
1999-07-02,20.438,20.734,20.438,15.429,444000
1999-07-06,20.844,21.062,20.531,15.342,656000
1999-07-07,20.438,20.906,20.438,15.522,1111200
1999-07-08,20.750,21.242,20.719,15.731,758400
1999-07-09,21.219,21.367,21.078,15.900,247400
1999-07-12,21.438,21.516,21.188,15.923,468800
1999-07-13,21.250,21.344,21.070,15.853,400200
1999-07-14,21.469,21.578,21.203,16.051,603800
1999-07-15,21.719,21.844,21.516,16.167,772000
1999-07-16,21.875,22.000,21.688,16.312,200800
1999-07-19,21.953,21.984,21.625,16.115,445400
1999-07-20,21.555,21.562,20.625,15.446,1616600
1999-07-21,20.750,21.062,20.656,15.580,795400
1999-07-22,20.938,20.938,20.195,15.097,1034600
1999-07-23,20.406,20.484,20.148,15.138,802800
1999-07-26,20.062,20.219,19.859,14.795,719800
1999-07-27,20.188,20.484,20.125,15.161,833800
1999-07-28,20.469,20.719,20.281,15.301,951200
1999-07-29,20.156,20.469,20.016,15.045,933200
1999-07-30,20.406,20.477,20.000,14.888,601800
